k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      0.50000000|[55, 20, 0, 5]                                                             |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 23 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 34 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 45 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       2|[99.93746159304683, 0.3093199995399718, 0.1962800313940337, 0.9460950658736755, 99.98650278540366, 0.044260142206937, 0.1971640688082813, 0.8118288151691946, 100.14048979107835, -0.0867184091024355, 0.3743429109740284, 0.7949842604367111, 99.85774221490898, 0.0841052986790346, 0.3098169378463344, 0.642152518167333, 100.03340962342429, 0.1197122080170987, 0.4729241061334205, 0.210400906646707, 99.90150918860459, 0.6820573303063598, 0.634402197355594, -0.0573649238521189, 300.06603378282574, 300.07972967580855, 299.9845070160108, 299.9932628214652, 299.92688263018806]|428.9530639648437500|      1.00000000|[98, 36, 0, 9]                                                             |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 23 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 33 points | iterate success | actual_k=4
       3|[99.93746159304683, 0.3093199995399718, 0.1962800313940337, 0.9460950658736755, 99.98650278540366, 0.044260142206937, 0.1971640688082813, 0.8118288151691946, 100.14048979107835, -0.0867184091024355, 0.3743429109740284, 0.7949842604367111, 99.85774221490898, 0.0841052986790346, 0.3098169378463344, 0.642152518167333, 100.03340962342429, 0.1197122080170987, 0.4729241061334205, 0.210400906646707, 99.90150918860459, 0.6820573303063598, 0.634402197355594, -0.0573649238521189, 300.06603378282574, 300.07972967580855, 299.9845070160108, 299.9932628214652, 299.92688263018806]|428.9530639648437500|      0.50000000|[152, 56, 0, 14]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 23 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 34 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 44 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       4|[99.93746159304683, 0.3093199995399718, 0.1962800313940337, 0.9460950658736755, 99.98650278540366, 0.044260142206937, 0.1971640688082813, 0.8118288151691946, 100.14048979107835, -0.0867184091024355, 0.3743429109740284, 0.7949842604367111, 99.85774221490898, 0.0841052986790346, 0.3098169378463344, 0.642152518167333, 100.03340962342429, 0.1197122080170987, 0.4729241061334205, 0.210400906646707, 99.90150918860459, 0.6820573303063598, 0.634402197355594, -0.0573649238521189, 300.06603378282574, 300.07972967580855, 299.9845070160108, 299.9932628214652, 299.92688263018806]|428.9530639648437500|      0.25000000|[204, 76, 0, 19]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 23 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 43 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       5|[99.94210459977388, 0.209925028961792, 0.1572676901993363, 0.9072918017358294, 99.96781080450474, 0.1428109004096775, 0.2006150678142835, 0.80537580976611, 100.19013892667094, -0.0043719946592187, 0.4243213703347996, 0.7971779092180807, 99.80213667408789, 0.0148615048697235, 0.2747752645932248, 0.5821881319136941, 100.0937756922062, 0.1423823929482002, 0.5040681953999395, 0.1795547368323614, 99.91272416241652, 0.6303234241371196, 0.6095707125550792, -0.0396539282174842, 300.0060122311478, 300.0501582396115, 299.9907717674927, 300.0181201018885, 299.9340379065457]|256.0519409179687500|      0.50000000|[250, 92, 0, 23]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 25 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 37 points | iterate success | actual_k=4
       6|[99.94210459977388, 0.209925028961792, 0.1572676901993363, 0.9072918017358294, 99.96781080450474, 0.1428109004096775, 0.2006150678142835, 0.80537580976611, 100.19013892667094, -0.0043719946592187, 0.4243213703347996, 0.7971779092180807, 99.80213667408789, 0.0148615048697235, 0.2747752645932248, 0.5821881319136941, 100.0937756922062, 0.1423823929482002, 0.5040681953999395, 0.1795547368323614, 99.91272416241652, 0.6303234241371196, 0.6095707125550792, -0.0396539282174842, 300.0060122311478, 300.0501582396115, 299.9907717674927, 300.0181201018885, 299.9340379065457]|256.0519409179687500|      0.25000000|[306, 112, 0, 28]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 23 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 34 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 45 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       7|[99.94832913748665, 0.3223481536526719, 0.1648546220459379, 0.9052394097901408, 99.98517484494536, 0.2041255976160152, 0.1827219352312191, 0.7797935118579586, 100.19469508962727, -0.0035140419486454, 0.4062217212338691, 0.7442206439610496, 99.81671055621204, 0.0656965276438282, 0.2933782159536186, 0.5966723056902454, 100.11003778993799, 0.0974310633856868, 0.5229626290654494, 0.2334260135628009, 99.92292948836106, 0.5640914598910505, 0.7002975735617192, 0.0409026838284649, 300.00006164945194, 300.0201248788148, 299.9603107327701, 300.10811836588573, 299.993183155354]|115.9234390258789062|      0.50000000|[329, 120, 0, 30]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
       8|[99.94832913748665, 0.3223481536526719, 0.1648546220459379, 0.9052394097901408, 99.98517484494536, 0.2041255976160152, 0.1827219352312191, 0.7797935118579586, 100.19469508962727, -0.0035140419486454, 0.4062217212338691, 0.7442206439610496, 99.81671055621204, 0.0656965276438282, 0.2933782159536186, 0.5966723056902454, 100.11003778993799, 0.0974310633856868, 0.5229626290654494, 0.2334260135628009, 99.92292948836106, 0.5640914598910505, 0.7002975735617192, 0.0409026838284649, 300.00006164945194, 300.0201248788148, 299.9603107327701, 300.10811836588573, 299.993183155354]|115.9234390258789062|      0.25000000|[383, 140, 0, 35]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 24 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 35 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 45 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       9|[99.94832913748665, 0.3223481536526719, 0.1648546220459379, 0.9052394097901408, 99.98517484494536, 0.2041255976160152, 0.1827219352312191, 0.7797935118579586, 100.19469508962727, -0.0035140419486454, 0.4062217212338691, 0.7442206439610496, 99.81671055621204, 0.0656965276438282, 0.2933782159536186, 0.5966723056902454, 100.11003778993799, 0.0974310633856868, 0.5229626290654494, 0.2334260135628009, 99.92292948836106, 0.5640914598910505, 0.7002975735617192, 0.0409026838284649, 300.00006164945194, 300.0201248788148, 299.9603107327701, 300.10811836588573, 299.993183155354]|115.9234390258789062|      0.12500000|[436, 160, 0, 40]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 23 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 33 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 44 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      10|[99.94832913748665, 0.3223481536526719, 0.1648546220459379, 0.9052394097901408, 99.98517484494536, 0.2041255976160152, 0.1827219352312191, 0.7797935118579586, 100.19469508962727, -0.0035140419486454, 0.4062217212338691, 0.7442206439610496, 99.81671055621204, 0.0656965276438282, 0.2933782159536186, 0.5966723056902454, 100.11003778993799, 0.0974310633856868, 0.5229626290654494, 0.2334260135628009, 99.92292948836106, 0.5640914598910505, 0.7002975735617192, 0.0409026838284649, 300.00006164945194, 300.0201248788148, 299.9603107327701, 300.10811836588573, 299.993183155354]|115.9234390258789062|      0.06250000|[492, 180, 0, 45]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 24 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 35 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 46 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
