k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, 10.0, 10.0]                                                              |83210000.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.83773571431676, 10.088547747016058, 9.017233701183192]                       |33320054.4030102752149105|      2.00000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       2|[10.396129424156928, 10.089234792745547, 7.096766051682399]                     |4185156.8730061841197312|      4.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       3|[10.396129424156928, 10.089234792745547, 7.096766051682399]                     |4185156.8730061841197312|      2.00000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[9.890030522890243, 10.687016794573031, 5.256515910960281]                      |1551653.2471771889831871|      4.00000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate success | actual_k=1
       5|[12.42505699164776, 7.778528346516181, 4.200894885109313]                       |779463.9562612527515739|      8.00000000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       6|[12.42505699164776, 7.778528346516181, 4.200894885109313]                       |779463.9562612527515739|      4.00000000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[13.043200809961345, 3.880866275798988, 4.853680150241167]                      |359668.3148200637660921|      8.00000000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       8|[13.043200809961345, 3.880866275798988, 4.853680150241167]                      |359668.3148200637660921|      4.00000000|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[9.62891847458194, 4.687351444431886, 2.9321552851688146]                       |90858.0818127548554912|      8.00000000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
      10|[9.62891847458194, 4.687351444431886, 2.9321552851688146]                       |90858.0818127548554912|      4.00000000|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[10.969510400553999, 1.0482154534224777, 3.9116972837367685]                    |23655.7891446699832159|      8.00000000|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      12|[10.969510400553999, 1.0482154534224777, 3.9116972837367685]                    |23655.7891446699832159|      4.00000000|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      13|[10.969510400553999, 1.0482154534224777, 3.9116972837367685]                    |23655.7891446699832159|      2.00000000|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      14|[10.617387312175566, -0.8200716891917343, 3.290800767904011]                    |3966.4542403765235576|      4.00000000|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      15|[10.617387312175566, -0.8200716891917343, 3.290800767904011]                    |3966.4542403765235576|      2.00000000|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
