k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, -1.0, 0.0]                                                                | 45.2064958913885775|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.8609715168242904, -0.6844648274176348, -0.9386738708035279]                  | 20.0365303807192561|      2.00000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       2|[0.8609715168242904, -0.6844648274176348, -0.9386738708035279]                  | 20.0365303807192561|      1.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[1.409810691319311, -0.5175810601315234, -1.757774211882702]                    |  3.6763439837118144|      2.00000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate success | actual_k=1
       4|[1.409810691319311, -0.5175810601315234, -1.757774211882702]                    |  3.6763439837118144|      1.00000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[2.1474128225934654, -1.057735713598146, -1.352587777906714]                    |  2.7954569399785107|      2.00000000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       6|[2.1474128225934654, -1.057735713598146, -1.352587777906714]                    |  2.7954569399785107|      1.00000000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[2.1474128225934654, -1.057735713598146, -1.352587777906714]                    |  2.7954569399785107|      0.50000000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[1.9938609796126034, -0.5883112884738606, -1.430450096225108]                   |  1.3250134190934051|      1.00000000|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       9|[1.9938609796126034, -0.5883112884738606, -1.430450096225108]                   |  1.3250134190934051|      0.50000000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[1.9938609796126034, -0.5883112884738606, -1.430450096225108]                   |  1.3250134190934051|      0.25000000|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[1.9938609796126034, -0.5883112884738606, -1.430450096225108]                   |  1.3250134190934051|      0.12500000|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      12|[1.9938609796126034, -0.5883112884738606, -1.430450096225108]                   |  1.3250134190934051|      0.06250000|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      13|[1.9938609796126034, -0.5883112884738606, -1.430450096225108]                   |  1.3250134190934051|      0.03125000|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      14|[2.01318987053268, -0.6126132702351775, -1.4339672198044573]                    |  1.2555127901259520|      0.06250000|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      15|[2.01318987053268, -0.6126132702351775, -1.4339672198044573]                    |  1.2555127901259520|      0.03125000|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
