k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.50000000|[81, 0, 1, 6]                                                              |  | used linear model with 81 points | iterate failure | actual_k=0
       2|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.25000000|[162, 0, 2, 12]                                                            |  | used linear model with 81 points | iterate failure | actual_k=0
       3|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.12500000|[243, 0, 3, 18]                                                            |  | used linear model with 81 points | iterate failure | actual_k=0
       4|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.06250000|[324, 0, 4, 24]                                                            |  | used linear model with 81 points | iterate failure | actual_k=0
       5|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.03125000|[405, 0, 5, 30]                                                            |  | used linear model with 81 points | iterate failure | actual_k=0
       6|[1.0203081261748403, 0.0198968282900191, 0.0158968810174116, 0.0196861150676375, 0.4265681753071843, 0.0244324236398321, 0.8031247820160623, 0.0202213582060978, 0.2203373081290872, 0.014908217847978, 2.691583084378568, 0.0158186968105534, 0.8121588804713529, 0.0181390956950661, 2.2717243311942648, 0.0194458175230016, 14.354697100366183, 0.0393073588958549, 12.158962300614977, 0.037616735399044, 0.2761472815544985, 0.0167036534915149, 0.2457924770212804, 0.0218674466786378, 1.1668139273423348, 0.0190295971557271, 0.1788909936897194, 0.0166797008293409, 0.1147323574630098, 0.0215380065916698, 3.7465114170552876, 0.0205400363736111, 0.8358909299016503, 0.0204442718174376, 0.1619561343845024, 0.0206773154695375, 0.386359570769702, 0.0165087833366339, 0.9227146688452299, 0.0212366867746346, 0.2616988150728328, 0.0222861662408757, 2.0732379133491867, 0.0222733404706707, 1.9475721664544492, 0.0212869175078666, 1.4853188902310965, 0.0214862769327155, 0.4805625414195632, 0.0188611147994248, 0.4919851455557469, 0.0194380815704347, 0.3320026210322048, 0.0219442349405104, 0.8411486324133364, 0.0162705715277201, 0.4609211977299755, 0.0194196977786787, 0.4900818662493882, 0.0197281849580624, 0.9837416124564481, 0.0205174626031615, -0.0179316018064105, 0.0216364623036986, 0.2657167754702634, 0.0222713986407788]|2286332.8147894432768226|      0.06250000|[486, 0, 6, 36]                                                            |  | used linear model with 81 points | iterate success | actual_k=0
       7|[1.0203081261748403, 0.0198968282900191, 0.0158968810174116, 0.0196861150676375, 0.4265681753071843, 0.0244324236398321, 0.8031247820160623, 0.0202213582060978, 0.2203373081290872, 0.014908217847978, 2.691583084378568, 0.0158186968105534, 0.8121588804713529, 0.0181390956950661, 2.2717243311942648, 0.0194458175230016, 14.354697100366183, 0.0393073588958549, 12.158962300614977, 0.037616735399044, 0.2761472815544985, 0.0167036534915149, 0.2457924770212804, 0.0218674466786378, 1.1668139273423348, 0.0190295971557271, 0.1788909936897194, 0.0166797008293409, 0.1147323574630098, 0.0215380065916698, 3.7465114170552876, 0.0205400363736111, 0.8358909299016503, 0.0204442718174376, 0.1619561343845024, 0.0206773154695375, 0.386359570769702, 0.0165087833366339, 0.9227146688452299, 0.0212366867746346, 0.2616988150728328, 0.0222861662408757, 2.0732379133491867, 0.0222733404706707, 1.9475721664544492, 0.0212869175078666, 1.4853188902310965, 0.0214862769327155, 0.4805625414195632, 0.0188611147994248, 0.4919851455557469, 0.0194380815704347, 0.3320026210322048, 0.0219442349405104, 0.8411486324133364, 0.0162705715277201, 0.4609211977299755, 0.0194196977786787, 0.4900818662493882, 0.0197281849580624, 0.9837416124564481, 0.0205174626031615, -0.0179316018064105, 0.0216364623036986, 0.2657167754702634, 0.0222713986407788]|2286332.8147894432768226|      0.03125000|[567, 0, 7, 42]                                                            |  | used linear model with 81 points | iterate failure | actual_k=0
       8|[1.0206400724758178, 0.0188830111920033, 0.0182563604212101, 0.0190383147209432, 0.427869972482823, 0.0201248440856899, 0.8010051170820639, 0.0196572653014872, 0.2214991577338985, 0.0157765170864269, 2.695836624179345, 0.0199292843054592, 0.8139320980933971, 0.0159173690730679, 2.2709333644295504, 0.0167092715276072, 14.355991639344195, 0.0578218724336757, 12.163845460420736, 0.0511332887625596, 0.2778813079525943, 0.0187597043230051, 0.2413951561367644, 0.0198140340995073, 1.1639413509447083, 0.0202261010236247, 0.1789786902695556, 0.0184893117973773, 0.1161812706958574, 0.0201952186750783, 3.7485556806446065, 0.026241235245426, 0.836868460622954, 0.0217200244266089, 0.1601794860962245, 0.0203220113746937, 0.3926608515539426, 0.0216028823952701, 0.9199941384924769, 0.0179803400812411, 0.2615679823906685, 0.0182829083177058, 2.0725092860042595, 0.023512293115618, 1.9503245735199406, 0.022307501304534, 1.490849964400381, 0.0191884369080868, 0.4818560442821428, 0.0193707136265935, 0.4906988849917772, 0.0217252647505478, 0.3350210787309446, 0.0211506531205528, 0.8413459595734678, 0.0151127716173334, 0.4655832625433128, 0.0235768428482444, 0.4897214633816165, 0.0182385482642652, 0.9865202801550261, 0.0231147718650105, -0.0218458185522519, 0.0207135856361473, 0.2689919629688909, 0.0232449755757182]|1910523.5995558234862983|      0.06250000|[648, 0, 8, 48]                                                            |  | used linear model with 81 points | iterate success | actual_k=0
       9|[1.0206400724758178, 0.0188830111920033, 0.0182563604212101, 0.0190383147209432, 0.427869972482823, 0.0201248440856899, 0.8010051170820639, 0.0196572653014872, 0.2214991577338985, 0.0157765170864269, 2.695836624179345, 0.0199292843054592, 0.8139320980933971, 0.0159173690730679, 2.2709333644295504, 0.0167092715276072, 14.355991639344195, 0.0578218724336757, 12.163845460420736, 0.0511332887625596, 0.2778813079525943, 0.0187597043230051, 0.2413951561367644, 0.0198140340995073, 1.1639413509447083, 0.0202261010236247, 0.1789786902695556, 0.0184893117973773, 0.1161812706958574, 0.0201952186750783, 3.7485556806446065, 0.026241235245426, 0.836868460622954, 0.0217200244266089, 0.1601794860962245, 0.0203220113746937, 0.3926608515539426, 0.0216028823952701, 0.9199941384924769, 0.0179803400812411, 0.2615679823906685, 0.0182829083177058, 2.0725092860042595, 0.023512293115618, 1.9503245735199406, 0.022307501304534, 1.490849964400381, 0.0191884369080868, 0.4818560442821428, 0.0193707136265935, 0.4906988849917772, 0.0217252647505478, 0.3350210787309446, 0.0211506531205528, 0.8413459595734678, 0.0151127716173334, 0.4655832625433128, 0.0235768428482444, 0.4897214633816165, 0.0182385482642652, 0.9865202801550261, 0.0231147718650105, -0.0218458185522519, 0.0207135856361473, 0.2689919629688909, 0.0232449755757182]|1910523.5995558234862983|      0.03125000|[729, 0, 9, 54]                                                            |  | used linear model with 81 points | iterate failure | actual_k=0
      10|[1.021369743049279, 0.0163013987151891, 0.0220377466958515, 0.0174416328204565, 0.4312152611011515, 0.0195340073826774, 0.8037309661551354, 0.0252366967297826, 0.2209804088150551, 0.0148311438296758, 2.696116361421445, 0.0285859540676433, 0.8119682379141396, 0.0149597281726165, 2.2648402328272623, 0.0269078158192572, 14.351695216088284, 0.0690786159957179, 12.162764197949544, 0.0645245246558234, 0.274517923714494, 0.0200648508333565, 0.2364163963575224, 0.0225361095137835, 1.1668901135190073, 0.0264583587053439, 0.1778074275405454, 0.0225691856220807, 0.1123507466817491, 0.01722799475482, 3.749973217125306, 0.0288299466737671, 0.8376601013710616, 0.0214539104192249, 0.1555292184054206, 0.0175557901539246, 0.3935844896559974, 0.017031355714483, 0.9234365556647973, 0.0199191189738019, 0.264802152744967, 0.017977543635466, 2.0711569437153834, 0.0255013071449535, 1.9514368990112034, 0.0247341056166764, 1.4887420873883432, 0.0219969259836305, 0.4794995962836192, 0.0250319117198755, 0.4889912830798813, 0.0217408403065399, 0.3308630493785227, 0.0251360173208263, 0.8397396925237551, 0.0156272952751422, 0.4670130759073915, 0.0215786878687228, 0.4929870244412389, 0.0175812133663935, 0.9875826269651301, 0.0227400009694769, -0.0226140069103988, 0.0174068907953291, 0.2683243659402077, 0.0245360599150275]|1728083.5122036386746913|      0.06250000|[810, 0, 10, 60]                                                           |  | used linear model with 81 points | iterate success | actual_k=0
      11|[1.021369743049279, 0.0163013987151891, 0.0220377466958515, 0.0174416328204565, 0.4312152611011515, 0.0195340073826774, 0.8037309661551354, 0.0252366967297826, 0.2209804088150551, 0.0148311438296758, 2.696116361421445, 0.0285859540676433, 0.8119682379141396, 0.0149597281726165, 2.2648402328272623, 0.0269078158192572, 14.351695216088284, 0.0690786159957179, 12.162764197949544, 0.0645245246558234, 0.274517923714494, 0.0200648508333565, 0.2364163963575224, 0.0225361095137835, 1.1668901135190073, 0.0264583587053439, 0.1778074275405454, 0.0225691856220807, 0.1123507466817491, 0.01722799475482, 3.749973217125306, 0.0288299466737671, 0.8376601013710616, 0.0214539104192249, 0.1555292184054206, 0.0175557901539246, 0.3935844896559974, 0.017031355714483, 0.9234365556647973, 0.0199191189738019, 0.264802152744967, 0.017977543635466, 2.0711569437153834, 0.0255013071449535, 1.9514368990112034, 0.0247341056166764, 1.4887420873883432, 0.0219969259836305, 0.4794995962836192, 0.0250319117198755, 0.4889912830798813, 0.0217408403065399, 0.3308630493785227, 0.0251360173208263, 0.8397396925237551, 0.0156272952751422, 0.4670130759073915, 0.0215786878687228, 0.4929870244412389, 0.0175812133663935, 0.9875826269651301, 0.0227400009694769, -0.0226140069103988, 0.0174068907953291, 0.2683243659402077, 0.0245360599150275]|1728083.5122036386746913|      0.03125000|[891, 0, 11, 66]                                                           |  | used linear model with 81 points | iterate failure | actual_k=0
