k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 5.0, 1.0]                                                                 |634.1111111111110858|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.2105657667516687, 4.024206763347452, 1.0590729817719384]                     |270.3753356933593750|      2.00000000|[5, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[1.493489773952178, 2.1802188652471726, 1.3514950264442513]                     | 38.7630844116210938|      4.00000000|[10, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[4.352136211610077, -0.4859490342870316, 0.5031500046758814]                    |  0.4863081872463226|      8.00000000|[15, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[4.352136211610077, -0.4859490342870316, 0.5031500046758814]                    |  0.4863081872463226|      4.00000000|[20, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[4.352136211610077, -0.4859490342870316, 0.5031500046758814]                    |  0.4863081872463226|      2.00000000|[24, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[4.352136211610077, -0.4859490342870316, 0.5031500046758814]                    |  0.4863081872463226|      1.00000000|[28, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[4.352136211610077, -0.4859490342870316, 0.5031500046758814]                    |  0.4863081872463226|      0.50000000|[33, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[4.843532958082199, -0.4410460550256213, 0.422447092646251]                     |  0.0687109380960464|      1.00000000|[38, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       9|[4.843532958082199, -0.4410460550256213, 0.422447092646251]                     |  0.0687109380960464|      0.50000000|[42, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[5.069575124429266, 0.0032882815830724, 0.3840812700480503]                     |  0.0105880359187722|      1.00000000|[47, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      11|[5.069575124429266, 0.0032882815830724, 0.3840812700480503]                     |  0.0105880359187722|      0.50000000|[52, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[5.069575124429266, 0.0032882815830724, 0.3840812700480503]                     |  0.0105880359187722|      0.25000000|[57, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[5.069575124429266, 0.0032882815830724, 0.3840812700480503]                     |  0.0105880359187722|      0.12500000|[62, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[5.069575124429266, 0.0032882815830724, 0.3840812700480503]                     |  0.0105880359187722|      0.06250000|[67, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[5.00937178520628, -0.0115182098587324, 0.3919917540778569]                     |  0.0061831111088395|      0.12500000|[72, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
