k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, 10.0, 10.0]                                                              |83210000.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.850064390071298, 10.220151389669748, 9.036126212358804]                      |33587009.4402623698115349|      2.00000000|[3, 1, 1, 2]                                                               |  | used linear model with 4 points | iterate success | actual_k=1
       2|[10.404231305252608, 10.205997498944832, 7.114486626615479]                     |4221439.9992540329694748|      4.00000000|[6, 2, 2, 4]                                                               |  | used linear model with 4 points | iterate success | actual_k=1
       3|[10.404231305252608, 10.205997498944832, 7.114486626615479]                     |4221439.9992540329694748|      2.00000000|[10, 2, 3, 6]                                                              |  | used linear model with 4 points | iterate failure | actual_k=1
       4|[10.932011607382726, 8.651973018306329, 5.97148362300627]                       |1540292.8475150724407285|      4.00000000|[13, 3, 4, 8]                                                              |  | used linear model with 4 points | iterate success | actual_k=1
       5|[8.072946465108801, 11.448665235797442, 6.036745808526102]                      |1302405.8202041608747095|      8.00000000|[16, 4, 5, 10]                                                             |  | used linear model with 4 points | iterate success | actual_k=1
       6|[8.072946465108801, 11.448665235797442, 6.036745808526102]                      |1302405.8202041608747095|      4.00000000|[19, 5, 6, 12]                                                             |  | used linear model with 4 points | iterate failure | actual_k=1
       7|[8.072946465108801, 11.448665235797442, 6.036745808526102]                      |1302405.8202041608747095|      2.00000000|[22, 6, 7, 14]                                                             |  | used linear model with 4 points | iterate failure | actual_k=1
       8|[8.072946465108801, 11.448665235797442, 6.036745808526102]                      |1302405.8202041608747095|      1.00000000|[25, 7, 8, 16]                                                             |  | used linear model with 4 points | iterate failure | actual_k=1
       9|[7.259638971335279, 11.050972713091266, 5.61204405675737]                       |979455.7821539326105267|      2.00000000|[28, 8, 9, 18]                                                             |  | used linear model with 4 points | iterate success | actual_k=1
      10|[7.259638971335279, 11.050972713091266, 5.61204405675737]                       |979455.7821539326105267|      1.00000000|[31, 9, 10, 20]                                                            |  | used linear model with 4 points | iterate failure | actual_k=1
      11|[7.239737408849619, 10.091618725192692, 5.893546905257578]                      |757675.7999649201519787|      2.00000000|[34, 10, 11, 22]                                                           |  | used linear model with 4 points | iterate success | actual_k=1
      12|[7.239737408849619, 10.091618725192692, 5.893546905257578]                      |757675.7999649201519787|      1.00000000|[37, 11, 12, 24]                                                           |  | used linear model with 4 points | iterate failure | actual_k=1
      13|[6.988950352551471, 9.124162144316005, 5.859877683233614]                       |695995.8309043392073363|      2.00000000|[40, 12, 13, 26]                                                           |  | used linear model with 4 points | iterate success | actual_k=1
      14|[5.313817639934641, 8.205564622338315, 5.268177600643261]                       |247197.5945436661422718|      4.00000000|[43, 13, 14, 28]                                                           |  | used linear model with 4 points | iterate success | actual_k=1
      15|[5.313817639934641, 8.205564622338315, 5.268177600643261]                       |247197.5945436661422718|      2.00000000|[47, 13, 15, 30]                                                           |  | used linear model with 4 points | iterate failure | actual_k=1
