k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.614944127497286, 0.0395075219406405, 0.147527283644249, 0.7729846599569771, -0.0004894004462272, -0.007815722536211, 0.0098736228282815, 0.0070226138975166, 0.0005701274179612, -0.0046629814208838, -0.0036867393821901, 0.0035133915176163, -0.0162090730521576, 0.0070069511334569, 0.0041618536420601, 0.0100459619381737, -0.0018339438523748, -0.0002087378814613, 0.0164085813119094, 0.0065244021019688, 0.0015057524172729, 0.0030983026323684]| 13.1521635055541992|      2.00000000|[126, 0, 0, 2]                                                             |  | trying linear partial model with 65 points | iterate success | actual_k=0
       2|[1.8196449418603284, 0.147174911561723, 0.3038887798427347, 2.3021848518609134, -0.2135760909547036, -0.0385252598849499, -0.0035312723725956, 0.018334868422667, -0.180386182722661, 0.0201786437960562, 0.0021671025550915, 0.0500048861099859, -0.0998201823531632, -0.1270665801769011, 0.0379413964480817, -0.199970038713372, -0.1099008199681701, -0.0797116433506626, 0.0269230131024532, 0.0584836005115581, -0.005176584968689, -0.0272070038806892]| 12.2581987380981445|      4.00000000|[251, 0, 0, 4]                                                             |  | trying linear partial model with 65 points | iterate success | actual_k=0
       3|[1.8196449418603284, 0.147174911561723, 0.3038887798427347, 2.3021848518609134, -0.2135760909547036, -0.0385252598849499, -0.0035312723725956, 0.018334868422667, -0.180386182722661, 0.0201786437960562, 0.0021671025550915, 0.0500048861099859, -0.0998201823531632, -0.1270665801769011, 0.0379413964480817, -0.199970038713372, -0.1099008199681701, -0.0797116433506626, 0.0269230131024532, 0.0584836005115581, -0.005176584968689, -0.0272070038806892]| 12.2581987380981445|      2.00000000|[376, 0, 0, 6]                                                             |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       4|[1.8196449418603284, 0.147174911561723, 0.3038887798427347, 2.3021848518609134, -0.2135760909547036, -0.0385252598849499, -0.0035312723725956, 0.018334868422667, -0.180386182722661, 0.0201786437960562, 0.0021671025550915, 0.0500048861099859, -0.0998201823531632, -0.1270665801769011, 0.0379413964480817, -0.199970038713372, -0.1099008199681701, -0.0797116433506626, 0.0269230131024532, 0.0584836005115581, -0.005176584968689, -0.0272070038806892]| 12.2581987380981445|      1.00000000|[501, 0, 0, 8]                                                             |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       5|[1.8196449418603284, 0.147174911561723, 0.3038887798427347, 2.3021848518609134, -0.2135760909547036, -0.0385252598849499, -0.0035312723725956, 0.018334868422667, -0.180386182722661, 0.0201786437960562, 0.0021671025550915, 0.0500048861099859, -0.0998201823531632, -0.1270665801769011, 0.0379413964480817, -0.199970038713372, -0.1099008199681701, -0.0797116433506626, 0.0269230131024532, 0.0584836005115581, -0.005176584968689, -0.0272070038806892]| 12.2581987380981445|      0.50000000|[626, 0, 0, 10]                                                            |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       6|[1.51654726172521, 0.1189312702125356, 0.2427955654600759, 1.9109241375040682, -0.2176227930118282, -0.0480915035913754, -0.0099675353658943, 0.0162245477350101, -0.1838256533474327, 0.0214316082241735, 0.0044733123157088, 0.0420816796226616, -0.1053409859637818, -0.1196872635702317, 0.039555365327642, -0.2044697549174485, -0.1157169073578359, -0.0753869844275981, 0.026812062618001, 0.0551174593100272, 0.005273496387615, -0.0264074714324916]| 12.1447095870971680|      1.00000000|[751, 0, 0, 12]                                                            |  | trying linear partial model with 65 points | iterate success | actual_k=0
       7|[1.51654726172521, 0.1189312702125356, 0.2427955654600759, 1.9109241375040682, -0.2176227930118282, -0.0480915035913754, -0.0099675353658943, 0.0162245477350101, -0.1838256533474327, 0.0214316082241735, 0.0044733123157088, 0.0420816796226616, -0.1053409859637818, -0.1196872635702317, 0.039555365327642, -0.2044697549174485, -0.1157169073578359, -0.0753869844275981, 0.026812062618001, 0.0551174593100272, 0.005273496387615, -0.0264074714324916]| 12.1447095870971680|      0.50000000|[876, 0, 0, 14]                                                            |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       8|[1.51654726172521, 0.1189312702125356, 0.2427955654600759, 1.9109241375040682, -0.2176227930118282, -0.0480915035913754, -0.0099675353658943, 0.0162245477350101, -0.1838256533474327, 0.0214316082241735, 0.0044733123157088, 0.0420816796226616, -0.1053409859637818, -0.1196872635702317, 0.039555365327642, -0.2044697549174485, -0.1157169073578359, -0.0753869844275981, 0.026812062618001, 0.0551174593100272, 0.005273496387615, -0.0264074714324916]| 12.1447095870971680|      0.25000000|[1001, 0, 0, 16]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       9|[1.51654726172521, 0.1189312702125356, 0.2427955654600759, 1.9109241375040682, -0.2176227930118282, -0.0480915035913754, -0.0099675353658943, 0.0162245477350101, -0.1838256533474327, 0.0214316082241735, 0.0044733123157088, 0.0420816796226616, -0.1053409859637818, -0.1196872635702317, 0.039555365327642, -0.2044697549174485, -0.1157169073578359, -0.0753869844275981, 0.026812062618001, 0.0551174593100272, 0.005273496387615, -0.0264074714324916]| 12.1447095870971680|      0.12500000|[1126, 0, 0, 18]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      10|[1.51654726172521, 0.1189312702125356, 0.2427955654600759, 1.9109241375040682, -0.2176227930118282, -0.0480915035913754, -0.0099675353658943, 0.0162245477350101, -0.1838256533474327, 0.0214316082241735, 0.0044733123157088, 0.0420816796226616, -0.1053409859637818, -0.1196872635702317, 0.039555365327642, -0.2044697549174485, -0.1157169073578359, -0.0753869844275981, 0.026812062618001, 0.0551174593100272, 0.005273496387615, -0.0264074714324916]| 12.1447095870971680|      0.06250000|[1251, 0, 0, 20]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      11|[1.51654726172521, 0.1189312702125356, 0.2427955654600759, 1.9109241375040682, -0.2176227930118282, -0.0480915035913754, -0.0099675353658943, 0.0162245477350101, -0.1838256533474327, 0.0214316082241735, 0.0044733123157088, 0.0420816796226616, -0.1053409859637818, -0.1196872635702317, 0.039555365327642, -0.2044697549174485, -0.1157169073578359, -0.0753869844275981, 0.026812062618001, 0.0551174593100272, 0.005273496387615, -0.0264074714324916]| 12.1447095870971680|      0.03125000|[1376, 0, 0, 22]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
