k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[11.0, 3.0, 0.5, 40.0, -0.7, -1.3, 25.0, -0.3, 1.4]                             |1153.9439484858455671|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.409626954089942, 2.798705629377717, 0.4651015725016084, 40.10544022203276, -1.0722726775374647, -1.4415528141576464, 25.5070605591604, -0.5751374892741519, 1.072632457232737]|973.1285189815151853|      2.00000000|[17, 0, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=0
       2|[10.409626954089942, 2.798705629377717, 0.4651015725016084, 40.10544022203276, -1.0722726775374647, -1.4415528141576464, 25.5070605591604, -0.5751374892741519, 1.072632457232737]|973.1285189815151853|      1.00000000|[34, 0, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       3|[10.409626954089942, 2.798705629377717, 0.4651015725016084, 40.10544022203276, -1.0722726775374647, -1.4415528141576464, 25.5070605591604, -0.5751374892741519, 1.072632457232737]|973.1285189815151853|      0.50000000|[51, 0, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       4|[10.431429103565147, 2.9340282218104825, 0.4810168603509841, 40.16303330218509, -0.855717104124696, -1.454562230367776, 25.858017859466425, -0.7801965814718694, 0.9487115801802068]|887.9800559175330363|      1.00000000|[68, 0, 4, 8]                                                              |  | used linear model with 17 points | iterate success | actual_k=0
       5|[10.431429103565147, 2.9340282218104825, 0.4810168603509841, 40.16303330218509, -0.855717104124696, -1.454562230367776, 25.858017859466425, -0.7801965814718694, 0.9487115801802068]|887.9800559175330363|      0.50000000|[85, 0, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=0
       6|[10.419115988145084, 3.126954334859122, 0.6486160835088238, 40.38111881028104, -0.7910278354201552, -1.4988152129594918, 26.15185234275216, -0.8025777567276083, 1.158460156148203]|864.2794232304452180|      1.00000000|[102, 0, 6, 12]                                                            |  | used linear model with 17 points | iterate success | actual_k=0
       7|[10.419115988145084, 3.126954334859122, 0.6486160835088238, 40.38111881028104, -0.7910278354201552, -1.4988152129594918, 26.15185234275216, -0.8025777567276083, 1.158460156148203]|864.2794232304452180|      0.50000000|[119, 0, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       8|[10.419115988145084, 3.126954334859122, 0.6486160835088238, 40.38111881028104, -0.7910278354201552, -1.4988152129594918, 26.15185234275216, -0.8025777567276083, 1.158460156148203]|864.2794232304452180|      0.25000000|[136, 0, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       9|[10.534457196100206, 3.0470023446580035, 0.630277582831397, 40.467593790350456, -0.760605061742628, -1.657357110689117, 26.125364588769127, -0.7122508060891328, 1.1502003372291483]|858.2841781673325841|      0.50000000|[153, 0, 9, 18]                                                            |  | used linear model with 17 points | iterate success | actual_k=0
      10|[10.534457196100206, 3.0470023446580035, 0.630277582831397, 40.467593790350456, -0.760605061742628, -1.657357110689117, 26.125364588769127, -0.7122508060891328, 1.1502003372291483]|858.2841781673325841|      0.25000000|[170, 0, 10, 20]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      11|[10.625264188642552, 3.056320894901975, 0.5672874224786071, 40.371004971504746, -0.6686589949887312, -1.5061427999958075, 26.160158557063756, -0.7504678843446287, 1.233140570225246]|849.8879941242028053|      0.50000000|[187, 0, 11, 22]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      12|[10.625264188642552, 3.056320894901975, 0.5672874224786071, 40.371004971504746, -0.6686589949887312, -1.5061427999958075, 26.160158557063756, -0.7504678843446287, 1.233140570225246]|849.8879941242028053|      0.25000000|[204, 0, 12, 24]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      13|[10.625264188642552, 3.056320894901975, 0.5672874224786071, 40.371004971504746, -0.6686589949887312, -1.5061427999958075, 26.160158557063756, -0.7504678843446287, 1.233140570225246]|849.8879941242028053|      0.12500000|[221, 0, 13, 26]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      14|[10.690490278432996, 3.084332534115287, 0.5030453789389316, 40.4086527152791, -0.6858140484809241, -1.461294695080093, 26.186074288996245, -0.7172067127772108, 1.2021900704022341]|847.9678089333835942|      0.25000000|[238, 0, 14, 28]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      15|[10.690490278432996, 3.084332534115287, 0.5030453789389316, 40.4086527152791, -0.6858140484809241, -1.461294695080093, 26.186074288996245, -0.7172067127772108, 1.2021900704022341]|847.9678089333835942|      0.12500000|[255, 0, 15, 30]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      16|[10.673093954641823, 3.02747080488862, 0.4765352590001479, 40.47574894987475, -0.6362684758861497, -1.406726956925212, 26.182226811775607, -0.6817266079046639, 1.2155458847918372]|845.4991824320675278|      0.25000000|[272, 0, 16, 32]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      17|[10.673093954641823, 3.02747080488862, 0.4765352590001479, 40.47574894987475, -0.6362684758861497, -1.406726956925212, 26.182226811775607, -0.6817266079046639, 1.2155458847918372]|845.4991824320675278|      0.12500000|[289, 0, 17, 34]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      18|[10.662604974579574, 3.116665535405253, 0.4596183137134875, 40.50297228101355, -0.6296121113908194, -1.3820718176276212, 26.220560931067226, -0.617035125398661, 1.2305563097167898]|843.8028002855718341|      0.25000000|[306, 0, 18, 36]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      19|[10.662604974579574, 3.116665535405253, 0.4596183137134875, 40.50297228101355, -0.6296121113908194, -1.3820718176276212, 26.220560931067226, -0.617035125398661, 1.2305563097167898]|843.8028002855718341|      0.12500000|[323, 0, 19, 38]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      20|[10.59392195408961, 3.1186492549987292, 0.4797941377281251, 40.50886702738265, -0.6687884295896434, -1.4219690376587473, 26.26497958298891, -0.5536753626658382, 1.2672693509636974]|842.4994526085050666|      0.25000000|[340, 0, 20, 40]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      21|[10.59392195408961, 3.1186492549987292, 0.4797941377281251, 40.50886702738265, -0.6687884295896434, -1.4219690376587473, 26.26497958298891, -0.5536753626658382, 1.2672693509636974]|842.4994526085050666|      0.12500000|[357, 0, 21, 42]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      22|[10.58472616157379, 3.1516154186624927, 0.5107469598678347, 40.55350712102399, -0.6885710374085233, -1.3823733485866974, 26.342987663869028, -0.5773062436848437, 1.3211210446143176]|841.3776898495358409|      0.25000000|[374, 0, 22, 44]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
