k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.7, 90.0, 1500.0, 10.0]                                                       |29053.0023566288800794|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.8502953519588319, 90.14886964618363, 1499.829084748533, 10.476054425836363]  |25464.5180355357369990|      2.00000000|[7, 2, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=1
       2|[2.3141350829993197, 89.56446632614511, 1500.567589677848, 12.17838692356227]   |15792.4279991027251526|      4.00000000|[14, 4, 2, 6]                                                              |  | used linear model with 9 points | iterate success | actual_k=1
       3|[2.3141350829993197, 89.56446632614511, 1500.567589677848, 12.17838692356227]   |15792.4279991027251526|      2.00000000|[21, 6, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       4|[2.5902744674524834, 89.27907973807427, 1499.359638517778, 13.722134160187618]  |9923.2758127280230838|      4.00000000|[28, 8, 4, 12]                                                             |  | used linear model with 9 points | iterate success | actual_k=1
       5|[2.5902744674524834, 89.27907973807427, 1499.359638517778, 13.722134160187618]  |9923.2758127280230838|      2.00000000|[35, 10, 5, 15]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       6|[2.5902744674524834, 89.27907973807427, 1499.359638517778, 13.722134160187618]  |9923.2758127280230838|      1.00000000|[42, 12, 6, 18]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       7|[2.5902744674524834, 89.27907973807427, 1499.359638517778, 13.722134160187618]  |9923.2758127280230838|      0.50000000|[49, 14, 7, 21]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       8|[2.254257429589919, 89.25904287402486, 1499.3772514463874, 14.09143195207234]   |9517.7026763779285830|      1.00000000|[56, 16, 8, 24]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       9|[2.254257429589919, 89.25904287402486, 1499.3772514463874, 14.09143195207234]   |9517.7026763779285830|      0.50000000|[63, 18, 9, 27]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
      10|[2.615130782574223, 89.19928339458225, 1499.3549371357906, 14.431580888959122]  |7867.4955831766201300|      1.00000000|[70, 20, 10, 30]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      11|[2.615130782574223, 89.19928339458225, 1499.3549371357906, 14.431580888959122]  |7867.4955831766201300|      0.50000000|[77, 22, 11, 33]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      12|[2.471484597376741, 89.09900883059026, 1499.1661265497087, 14.860138175535608]  |6938.8985657103639824|      1.00000000|[84, 24, 12, 36]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      13|[2.471484597376741, 89.09900883059026, 1499.1661265497087, 14.860138175535608]  |6938.8985657103639824|      0.50000000|[91, 26, 13, 39]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      14|[2.38169283778913, 88.8053205800481, 1499.341455976326, 15.213612705828435]     |6436.8961339799352572|      1.00000000|[98, 28, 14, 42]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
