k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 10.0, 1.0]                                                                |  1.8845685008804969|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1722934222798203, 10.054747913258788, 1.9835230768176797]                    |  0.9748521964904756|      2.00000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=0
       2|[0.1722934222798203, 10.054747913258788, 1.9835230768176797]                    |  0.9748521964904756|      1.00000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       3|[0.5438646483735012, 10.53025088675086, 1.1861324911324478]                     |  0.0703466415226503|      2.00000000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       4|[0.5438646483735012, 10.53025088675086, 1.1861324911324478]                     |  0.0703466415226503|      1.00000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[0.5438646483735012, 10.53025088675086, 1.1861324911324478]                     |  0.0703466415226503|      0.50000000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[0.5438646483735012, 10.53025088675086, 1.1861324911324478]                     |  0.0703466415226503|      0.25000000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[0.6630860018680484, 10.316733231013966, 1.1342048534088878]                    |  0.0334559409537199|      0.50000000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       8|[0.6630860018680484, 10.316733231013966, 1.1342048534088878]                    |  0.0334559409537199|      0.25000000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       9|[0.6630860018680484, 10.316733231013966, 1.1342048534088878]                    |  0.0334559409537199|      0.12500000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[0.6630860018680484, 10.316733231013966, 1.1342048534088878]                    |  0.0334559409537199|      0.06250000|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[0.723819811875539, 10.301989309842979, 1.1347255361123836]                     |  0.0164134969906334|      0.12500000|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      12|[0.723819811875539, 10.301989309842979, 1.1347255361123836]                     |  0.0164134969906334|      0.06250000|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[0.723819811875539, 10.301989309842979, 1.1347255361123836]                     |  0.0164134969906334|      0.03125000|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      14|[0.7542247513117613, 10.304824189408322, 1.141363729822246]                     |  0.0120764203009084|      0.06250000|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      15|[0.7853037666542174, 10.358935565878925, 1.1378560608241766]                    |  0.0096868640235805|      0.12500000|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
