k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.6049925040538005, 0.0508686004483591, 0.1329427814338368, 0.7831451196146173, 0.0043336009634712, 0.0080764469016698, -0.0053683298185288, -0.0014822580402424, -0.0032807465394253, -0.0009047404445761, -0.0063273774883355, 0.0004158678075047, 0.000198602254307, -0.0018335279851529, -0.0048196942578929, -0.0001996373353675, 0.0044640779854956, 0.0047163595295145, -0.0094563979577632, 0.007067818964308, 0.0055385295059557, -0.000826385740559]| 13.1515102386474609|      2.00000000|[95, 32, 0, 2]                                                             |  | trying linear partial model with 49 points | iterate success | actual_k=16
       2|[1.618794944746254, 0.0886040705467952, 0.4637715604610327, 2.4469050642363372, -0.0416855393696825, -0.1092765753882979, -0.0612187500624993, -0.0983972142820439, 0.0202211921590151, 0.0504762464958581, -0.0080973201541112, -0.1384138335118278, 0.0979954664336329, -0.1106445339642432, -0.0802370050781646, 0.0265124035102392, 0.0389762023888106, 0.0802316656877818, 0.0119392973678266, -0.0317008261207141, 0.0366272012201214, 0.0680145278621506]| 12.2617006301879883|      4.00000000|[189, 64, 0, 4]                                                            |  | trying linear partial model with 49 points | iterate success | actual_k=16
       3|[1.618794944746254, 0.0886040705467952, 0.4637715604610327, 2.4469050642363372, -0.0416855393696825, -0.1092765753882979, -0.0612187500624993, -0.0983972142820439, 0.0202211921590151, 0.0504762464958581, -0.0080973201541112, -0.1384138335118278, 0.0979954664336329, -0.1106445339642432, -0.0802370050781646, 0.0265124035102392, 0.0389762023888106, 0.0802316656877818, 0.0119392973678266, -0.0317008261207141, 0.0366272012201214, 0.0680145278621506]| 12.2617006301879883|      2.00000000|[284, 96, 0, 6]                                                            |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
       4|[1.618794944746254, 0.0886040705467952, 0.4637715604610327, 2.4469050642363372, -0.0416855393696825, -0.1092765753882979, -0.0612187500624993, -0.0983972142820439, 0.0202211921590151, 0.0504762464958581, -0.0080973201541112, -0.1384138335118278, 0.0979954664336329, -0.1106445339642432, -0.0802370050781646, 0.0265124035102392, 0.0389762023888106, 0.0802316656877818, 0.0119392973678266, -0.0317008261207141, 0.0366272012201214, 0.0680145278621506]| 12.2617006301879883|      1.00000000|[378, 128, 0, 8]                                                           |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
       5|[1.618794944746254, 0.0886040705467952, 0.4637715604610327, 2.4469050642363372, -0.0416855393696825, -0.1092765753882979, -0.0612187500624993, -0.0983972142820439, 0.0202211921590151, 0.0504762464958581, -0.0080973201541112, -0.1384138335118278, 0.0979954664336329, -0.1106445339642432, -0.0802370050781646, 0.0265124035102392, 0.0389762023888106, 0.0802316656877818, 0.0119392973678266, -0.0317008261207141, 0.0366272012201214, 0.0680145278621506]| 12.2617006301879883|      0.50000000|[471, 160, 0, 10]                                                          |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
       6|[1.3131884321152274, 0.0607355952569046, 0.3915161627286609, 2.065347495868033, -0.0551139626726796, -0.0941411698257962, -0.0583334834177016, -0.0995927535638847, 0.013598660531542, 0.0204745596426719, -0.0174802716087837, -0.1568403885994113, 0.1322719607122791, -0.1003431589316449, -0.107295840664962, 0.0234512235722565, 0.059914774204243, 0.0813575646132712, 0.0279216224445378, -0.0426878045054249, 0.0189738067883104, 0.0590555611154079]| 12.1441116333007812|      1.00000000|[565, 192, 0, 12]                                                          |  | trying linear partial model with 49 points | iterate success | actual_k=16
       7|[1.3131884321152274, 0.0607355952569046, 0.3915161627286609, 2.065347495868033, -0.0551139626726796, -0.0941411698257962, -0.0583334834177016, -0.0995927535638847, 0.013598660531542, 0.0204745596426719, -0.0174802716087837, -0.1568403885994113, 0.1322719607122791, -0.1003431589316449, -0.107295840664962, 0.0234512235722565, 0.059914774204243, 0.0813575646132712, 0.0279216224445378, -0.0426878045054249, 0.0189738067883104, 0.0590555611154079]| 12.1441116333007812|      0.50000000|[660, 224, 0, 14]                                                          |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
       8|[1.3131884321152274, 0.0607355952569046, 0.3915161627286609, 2.065347495868033, -0.0551139626726796, -0.0941411698257962, -0.0583334834177016, -0.0995927535638847, 0.013598660531542, 0.0204745596426719, -0.0174802716087837, -0.1568403885994113, 0.1322719607122791, -0.1003431589316449, -0.107295840664962, 0.0234512235722565, 0.059914774204243, 0.0813575646132712, 0.0279216224445378, -0.0426878045054249, 0.0189738067883104, 0.0590555611154079]| 12.1441116333007812|      0.25000000|[754, 256, 0, 16]                                                          |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
       9|[1.3131884321152274, 0.0607355952569046, 0.3915161627286609, 2.065347495868033, -0.0551139626726796, -0.0941411698257962, -0.0583334834177016, -0.0995927535638847, 0.013598660531542, 0.0204745596426719, -0.0174802716087837, -0.1568403885994113, 0.1322719607122791, -0.1003431589316449, -0.107295840664962, 0.0234512235722565, 0.059914774204243, 0.0813575646132712, 0.0279216224445378, -0.0426878045054249, 0.0189738067883104, 0.0590555611154079]| 12.1441116333007812|      0.12500000|[847, 288, 0, 18]                                                          |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
      10|[1.3131884321152274, 0.0607355952569046, 0.3915161627286609, 2.065347495868033, -0.0551139626726796, -0.0941411698257962, -0.0583334834177016, -0.0995927535638847, 0.013598660531542, 0.0204745596426719, -0.0174802716087837, -0.1568403885994113, 0.1322719607122791, -0.1003431589316449, -0.107295840664962, 0.0234512235722565, 0.059914774204243, 0.0813575646132712, 0.0279216224445378, -0.0426878045054249, 0.0189738067883104, 0.0590555611154079]| 12.1441116333007812|      0.06250000|[941, 320, 0, 20]                                                          |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
      11|[1.3131884321152274, 0.0607355952569046, 0.3915161627286609, 2.065347495868033, -0.0551139626726796, -0.0941411698257962, -0.0583334834177016, -0.0995927535638847, 0.013598660531542, 0.0204745596426719, -0.0174802716087837, -0.1568403885994113, 0.1322719607122791, -0.1003431589316449, -0.107295840664962, 0.0234512235722565, 0.059914774204243, 0.0813575646132712, 0.0279216224445378, -0.0426878045054249, 0.0189738067883104, 0.0590555611154079]| 12.1441116333007812|      0.03125000|[1035, 352, 0, 22]                                                         |  | trying linear partial model with 49 points | exploitation failed, decreasing delta | actual_k=16
