k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]                                                  |564.8131740000001173|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.4350247834704928, -0.6196043083696893, 0.8954289354338634, 0.4878470145105567, 0.9955827235446841, 0.6080961362851317]|520.5325927734375000|      2.00000000|[5, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[-0.1503785667703843, -0.5155188965290312, -0.9223862872238544, 1.0683684109927722, 0.5120690184029479, 0.4267126204944287]|468.4005126953125000|      4.00000000|[13, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | iterate success | actual_k=1
       3|[-0.1503785667703843, -0.5155188965290312, -0.9223862872238544, 1.0683684109927722, 0.5120690184029479, 0.4267126204944287]|468.4005126953125000|      2.00000000|[21, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[-1.225562870978168, -0.6158473523048433, -1.465924231768637, 0.5129201593268748, -0.4465480561074082, -0.7182808117860371]|380.6163635253906250|      4.00000000|[29, 15, 0, 15]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | iterate success | actual_k=1
       5|[-1.225562870978168, -0.6158473523048433, -1.465924231768637, 0.5129201593268748, -0.4465480561074082, -0.7182808117860371]|380.6163635253906250|      2.00000000|[37, 19, 0, 19]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[-0.8765189682992232, -0.649938082670636, -2.5361056476029415, 0.634337275569288, -1.5621119895542426, 0.4951823757827758]|165.6852874755859375|      4.00000000|[43, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | iterate success | actual_k=1
       7|[-0.8765189682992232, -0.649938082670636, -2.5361056476029415, 0.634337275569288, -1.5621119895542426, 0.4951823757827758]|165.6852874755859375|      2.00000000|[51, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[-0.8765189682992232, -0.649938082670636, -2.5361056476029415, 0.634337275569288, -1.5621119895542426, 0.4951823757827758]|165.6852874755859375|      1.00000000|[60, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[-0.8765189682992232, -0.649938082670636, -2.5361056476029415, 0.634337275569288, -1.5621119895542426, 0.4951823757827758]|165.6852874755859375|      0.50000000|[69, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[-0.6914494953218633, -0.3967071482658445, -2.4009619484389395, 0.712516444976702, -1.911578264973395, 0.5667428706389471]|110.1644821166992188|      1.00000000|[74, 36, 0, 36]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
