k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 1.0, 0.05, 26061.4, 38.7105, 37027.1]                                |10321.7592400255834946|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 1.0, 0.05, 26061.4, 38.7105, 37027.1]                                |10321.7592400255834946|      0.50000000|[15, 2, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       2|[0.0, 0.0, 1.0, 0.05, 26061.4, 38.7105, 37027.1]                                |10321.7592400255834946|      0.25000000|[30, 4, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       3|[0.0, 0.0, 1.0, 0.05, 26061.4, 38.7105, 37027.1]                                |10321.7592400255834946|      0.12500000|[45, 6, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       4|[0.0, 0.0, 1.0, 0.05, 26061.4, 38.7105, 37027.1]                                |10321.7592400255834946|      0.06250000|[60, 8, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       5|[0.0, 0.0, 1.0, 0.05, 26061.4, 38.7105, 37027.1]                                |10321.7592400255834946|      0.03125000|[75, 10, 5, 10]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       6|[0.0, 0.0, 1.0, 0.05, 26061.4, 38.7105, 37027.1]                                |10321.7592400255834946|      0.01562500|[90, 12, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       7|[0.0, 0.0, 1.0, 0.05, 26061.4, 38.7105, 37027.1]                                |10321.7592400255834946|      0.00781250|[105, 14, 7, 14]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       8|[0.0, 0.0, 1.0, 0.05, 26061.4, 38.7105, 37027.1]                                |10321.7592400255834946|      0.00390625|[120, 16, 8, 16]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       9|[0.0, 0.0, 1.0, 0.05, 26061.4, 38.7105, 37027.1]                                |10321.7592400255834946|      0.00195312|[135, 18, 9, 18]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
      10|[0.0, 0.0, 1.0, 0.05, 26061.4, 38.7105, 37027.1]                                |10321.7592400255834946|      0.00097656|[150, 20, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      11|[0.0, 0.0, 1.0, 0.05, 26061.4, 38.7105, 37027.1]                                |10321.7592400255834946|      0.00048828|[165, 22, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      12|[0.0, 0.0, 1.0, 0.05, 26061.4, 38.7105, 37027.1]                                |10321.7592400255834946|      0.00024414|[180, 24, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      13|[2.5723271427e-06, -0.0002432363197055, 1.0000005412901911, 0.0500121335016019, 26061.40000718133, 38.71049613123029, 37027.09998516535]|9330.1475896609827032|      0.00048828|[195, 26, 13, 26]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      14|[2.5723271427e-06, -0.0002432363197055, 1.0000005412901911, 0.0500121335016019, 26061.40000718133, 38.71049613123029, 37027.09998516535]|9330.1475896609827032|      0.00024414|[210, 28, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      15|[2.5723271427e-06, -0.0002432363197055, 1.0000005412901911, 0.0500121335016019, 26061.40000718133, 38.71049613123029, 37027.09998516535]|9330.1475896609827032|      0.00012207|[225, 30, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      16|[2.5723271427e-06, -0.0002432363197055, 1.0000005412901911, 0.0500121335016019, 26061.40000718133, 38.71049613123029, 37027.09998516535]|9330.1475896609827032|      0.00006104|[240, 32, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      17|[1.2281510739e-06, -0.000183740999858, 1.000003392175577, 0.0500252994123248, 26061.40000636717, 38.710495617397676, 37027.09998634635]|9310.2172143057250651|      0.00012207|[255, 34, 17, 34]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      18|[1.2281510739e-06, -0.000183740999858, 1.000003392175577, 0.0500252994123248, 26061.40000636717, 38.710495617397676, 37027.09998634635]|9310.2172143057250651|      0.00006104|[270, 36, 18, 36]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      19|[1.2281510739e-06, -0.000183740999858, 1.000003392175577, 0.0500252994123248, 26061.40000636717, 38.710495617397676, 37027.09998634635]|9310.2172143057250651|      0.00003052|[285, 38, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      20|[-7.852400439e-07, -0.000213648460523, 1.0000041810395923, 0.0500307827072525, 26061.400006545726, 38.71049667690573, 37027.09998536179]|9295.3032389659601904|      0.00006104|[300, 40, 20, 40]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      21|[-7.852400439e-07, -0.000213648460523, 1.0000041810395923, 0.0500307827072525, 26061.400006545726, 38.71049667690573, 37027.09998536179]|9295.3032389659601904|      0.00003052|[315, 42, 21, 42]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      22|[-4.443065823e-07, -0.0001957498769361, 1.000000727895909, 0.0500546901570571, 26061.400003693692, 38.710497435698485, 37027.099989679984]|9289.5156418862734427|      0.00006104|[330, 44, 22, 44]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      23|[-4.443065823e-07, -0.0001957498769361, 1.000000727895909, 0.0500546901570571, 26061.400003693692, 38.710497435698485, 37027.099989679984]|9289.5156418862734427|      0.00003052|[345, 46, 23, 46]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      24|[-3.9571927519e-06, -0.0002199983516777, 1.000000200629124, 0.0500723081831318, 26061.400005688563, 38.710501456122, 37027.099990101306]|9283.5268990812073753|      0.00006104|[360, 48, 24, 48]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      25|[-3.9571927519e-06, -0.0002199983516777, 1.000000200629124, 0.0500723081831318, 26061.400005688563, 38.710501456122, 37027.099990101306]|9283.5268990812073753|      0.00003052|[375, 50, 25, 50]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      26|[-6.86422239e-08, -0.0001943175149688, 0.999994854447493, 0.0500837862189374, 26061.40000341769, 38.710493107931484, 37027.099994740296]|9280.0324500469650957|      0.00006104|[390, 52, 26, 52]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      27|[-6.86422239e-08, -0.0001943175149688, 0.999994854447493, 0.0500837862189374, 26061.40000341769, 38.710493107931484, 37027.099994740296]|9280.0324500469650957|      0.00003052|[405, 54, 27, 54]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      28|[3.269588649e-07, -0.000220814472778, 0.9999950943930467, 0.0500989134123546, 26061.40000318473, 38.710493405721714, 37027.099994951954]|9274.7864087260932138|      0.00006104|[420, 56, 28, 56]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      29|[3.269588649e-07, -0.000220814472778, 0.9999950943930467, 0.0500989134123546, 26061.40000318473, 38.710493405721714, 37027.099994951954]|9274.7864087260932138|      0.00003052|[435, 58, 29, 58]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      30|[2.6391229849e-06, -0.0001951699003795, 0.9999940834365841, 0.0501147920384776, 26061.40000317749, 38.710493416790634, 37027.09999884803]|9268.5308767809783603|      0.00006104|[450, 60, 30, 60]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      31|[2.6391229849e-06, -0.0001951699003795, 0.9999940834365841, 0.0501147920384776, 26061.40000317749, 38.710493416790634, 37027.09999884803]|9268.5308767809783603|      0.00003052|[465, 62, 31, 62]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      32|[2.6326184512e-06, -0.000221129772079, 0.999994019491207, 0.0501308356950344, 26061.400003185718, 38.710493429623824, 37027.09999891404]|9263.9360137108142226|      0.00006104|[480, 64, 32, 64]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      33|[2.6326184512e-06, -0.000221129772079, 0.999994019491207, 0.0501308356950344, 26061.400003185718, 38.710493429623824, 37027.09999891404]|9263.9360137108142226|      0.00003052|[495, 66, 33, 66]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      34|[1.9121844035e-06, -0.0001936205632678, 0.9999950904395789, 0.0501439128252489, 26061.40000288469, 38.71049426445203, 37027.0999999634]|9259.1580030871336930|      0.00006104|[510, 68, 34, 68]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      35|[1.9121844035e-06, -0.0001936205632678, 0.9999950904395789, 0.0501439128252489, 26061.40000288469, 38.71049426445203, 37027.0999999634]|9259.1580030871336930|      0.00003052|[525, 70, 35, 70]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
