k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.50000000|[17, 0, 1, 5]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       2|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.25000000|[34, 0, 2, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=0
       3|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.12500000|[51, 0, 3, 15]                                                             |  | used linear model with 17 points | iterate failure | actual_k=0
       4|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.06250000|[68, 0, 4, 20]                                                             |  | used linear model with 17 points | iterate failure | actual_k=0
       5|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.03125000|[85, 0, 5, 25]                                                             |  | used linear model with 17 points | iterate failure | actual_k=0
       6|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.01562500|[102, 0, 6, 30]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       7|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.00781250|[119, 0, 7, 35]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       8|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.00390625|[136, 0, 8, 40]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       9|[-0.003672493011961, -0.0001538246245593, 0.0006916670042732, -0.0007713493748157, 0.0003965946681293, -0.0001093335822472, -0.0001430118470799, 0.0003882268081173, -0.000217412196679, -0.0002134664903166, 0.0002402851171928, 4.26931723616e-05, -3.76472871525e-05, 0.0002541044765101, 0.9996597892385153]|2122.6506931837329830|      0.00781250|[153, 0, 9, 45]                                                            |  | used linear model with 17 points | iterate success | actual_k=0
      10|[-0.003672493011961, -0.0001538246245593, 0.0006916670042732, -0.0007713493748157, 0.0003965946681293, -0.0001093335822472, -0.0001430118470799, 0.0003882268081173, -0.000217412196679, -0.0002134664903166, 0.0002402851171928, 4.26931723616e-05, -3.76472871525e-05, 0.0002541044765101, 0.9996597892385153]|2122.6506931837329830|      0.00390625|[170, 0, 10, 50]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      11|[-0.003672493011961, -0.0001538246245593, 0.0006916670042732, -0.0007713493748157, 0.0003965946681293, -0.0001093335822472, -0.0001430118470799, 0.0003882268081173, -0.000217412196679, -0.0002134664903166, 0.0002402851171928, 4.26931723616e-05, -3.76472871525e-05, 0.0002541044765101, 0.9996597892385153]|2122.6506931837329830|      0.00195312|[187, 0, 11, 55]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
