k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0, -8.0]                                                                |148.9993291872793577|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.045043883762376, 2.0019778950937237, -8.043851187601332]                     | 41.3003807067871094|      2.00000000|[9, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | iterate success | actual_k=0
       2|[2.3990328964515046, 0.1497276439082253, -7.377622408668273]                    |  6.7837433815002441|      4.00000000|[17, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       3|[2.3990328964515046, 0.1497276439082253, -7.377622408668273]                    |  6.7837433815002441|      2.00000000|[25, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[0.7418243876527646, -0.8172758378023023, -7.942037348871644]                   |  1.5718938112258911|      4.00000000|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       5|[0.7418243876527646, -0.8172758378023023, -7.942037348871644]                   |  1.5718938112258911|      2.00000000|[41, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[0.7418243876527646, -0.8172758378023023, -7.942037348871644]                   |  1.5718938112258911|      1.00000000|[49, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[-0.16072888858003, -0.5218142698461892, -7.628828081093112]                    |  1.0871238708496094|      2.00000000|[57, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       8|[-0.16072888858003, -0.5218142698461892, -7.628828081093112]                    |  1.0871238708496094|      1.00000000|[65, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[-0.16072888858003, -0.5218142698461892, -7.628828081093112]                    |  1.0871238708496094|      0.50000000|[73, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[-0.16072888858003, -0.5218142698461892, -7.628828081093112]                    |  1.0871238708496094|      0.25000000|[81, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      11|[0.0891504006726361, -0.529108763182402, -7.626157656117496]                    |  1.0690500736236572|      0.50000000|[89, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      12|[-0.0341912139178849, -0.9027630976160725, -7.9346528497091215]                 |  1.0081585645675659|      1.00000000|[97, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      13|[-0.0341912139178849, -0.9027630976160725, -7.9346528497091215]                 |  1.0081585645675659|      0.50000000|[105, 0, 0, 26]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      14|[-0.0341912139178849, -0.9027630976160725, -7.9346528497091215]                 |  1.0081585645675659|      0.25000000|[113, 0, 0, 28]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      15|[-0.0341912139178849, -0.9027630976160725, -7.9346528497091215]                 |  1.0081585645675659|      0.12500000|[121, 0, 0, 30]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
