k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      0.50000000|[15, 2, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       2|[20.064610360177312, 2.0032582246724404, 2.01783888668932, 2.0127801989060012, 0.6953113424578025]|4939.3185180945984030|      1.00000000|[30, 4, 2, 4]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       3|[20.064610360177312, 2.0032582246724404, 2.01783888668932, 2.0127801989060012, 0.6953113424578025]|4939.3185180945984030|      0.50000000|[45, 6, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       4|[20.064610360177312, 2.0032582246724404, 2.01783888668932, 2.0127801989060012, 0.6953113424578025]|4939.3185180945984030|      0.25000000|[60, 8, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       5|[20.064610360177312, 2.0032582246724404, 2.01783888668932, 2.0127801989060012, 0.6953113424578025]|4939.3185180945984030|      0.12500000|[75, 10, 5, 10]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       6|[20.067064985316698, 2.012622922160849, 2.016905941932925, 2.000850781367975, 0.5712625783863268]|4073.2307753383579438|      0.25000000|[90, 12, 6, 12]                                                            |  | used linear model with 17 points | iterate success | actual_k=2
       7|[20.067064985316698, 2.012622922160849, 2.016905941932925, 2.000850781367975, 0.5712625783863268]|4073.2307753383579438|      0.12500000|[105, 14, 7, 14]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       8|[20.06074766916505, 2.131122888632614, 2.031944674499644, 2.021361729883551, 0.5413295368334085]|3753.7488456833207238|      0.25000000|[120, 16, 8, 16]                                                           |  | used linear model with 17 points | iterate success | actual_k=2
       9|[20.06074766916505, 2.131122888632614, 2.031944674499644, 2.021361729883551, 0.5413295368334085]|3753.7488456833207238|      0.12500000|[135, 18, 9, 18]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
      10|[20.06074766916505, 2.131122888632614, 2.031944674499644, 2.021361729883551, 0.5413295368334085]|3753.7488456833207238|      0.06250000|[150, 20, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      11|[20.067316502175295, 2.1806238193674385, 2.038034605549855, 2.0288751429546297, 0.5776506003241246]|3698.9300580444341904|      0.12500000|[165, 22, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      12|[20.067316502175295, 2.1806238193674385, 2.038034605549855, 2.0288751429546297, 0.5776506003241246]|3698.9300580444341904|      0.06250000|[180, 24, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      13|[20.069227752902552, 2.204277113254489, 2.0561366525559897, 2.030069717437461, 0.5227506213173615]|3585.3151232552781948|      0.12500000|[195, 26, 13, 26]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      14|[20.089595146458006, 2.302472210761378, 1.98491766997062, 2.052134572533166, 0.5197688777870958]|3393.4698673234197486|      0.25000000|[210, 28, 14, 28]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      15|[20.089595146458006, 2.302472210761378, 1.98491766997062, 2.052134572533166, 0.5197688777870958]|3393.4698673234197486|      0.12500000|[225, 30, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      16|[20.089595146458006, 2.302472210761378, 1.98491766997062, 2.052134572533166, 0.5197688777870958]|3393.4698673234197486|      0.06250000|[240, 32, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      17|[20.08836488264786, 2.35470988965545, 2.0067824115600703, 2.0492255104552317, 0.5460259108976845]|3339.5432462494804895|      0.12500000|[255, 34, 17, 34]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      18|[20.08836488264786, 2.35470988965545, 2.0067824115600703, 2.0492255104552317, 0.5460259108976845]|3339.5432462494804895|      0.06250000|[270, 36, 18, 36]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      19|[20.08836488264786, 2.35470988965545, 2.0067824115600703, 2.0492255104552317, 0.5460259108976845]|3339.5432462494804895|      0.03125000|[285, 38, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
