k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]|1827.7085714285710765|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.3153139582005303, 0.070811278971982, 0.2676926718006808, -0.0558639316053428, 0.1132170642813083, 0.2880322540695274, 0.1198226328711579, -0.1302651416186247, 0.1209207000504, -0.0230766300417583, 0.1726805296599087, 0.1627308172650578, 0.0055131224878058, 0.1377383255307336, 0.2010211607854459, 0.133089840749009, 0.1324342687660378, 0.1201740704523116, 0.0345121327790299, 0.1623518506191423, 0.0944262094270051, -0.0329350476280941, 0.2469284605976843, 0.0642463523140003, 0.2135736314199267, 0.1096278796536011, 0.135660877870958, 0.0697265884212118, 0.131514684781712, 0.0814068557873715, 0.1379703341624633, -0.0354129944948349, 0.1372774941376312, 0.1682545494182158, -0.0185242942256021, 0.1515387697266148, 0.0747038172468084, 0.1046878333371786, 0.0679820444949969, 0.0500507966641981, 0.0646552824701091, 0.0256223427022026, -0.0477000097515355, -0.0265600394769159, 0.1502887735401976, 0.215608201763497, 0.3059431076198918, -0.0094046010071474, 0.1240853895014895, 0.072437342566998]|1750.4018014062999100|      2.00000000|[57, 8, 1, 2]                                                              |  | used linear model with 65 points | iterate success | actual_k=8
       2|[0.0714644427663467, 0.4546641007669698, 0.4131824383450223, 0.1420930093819156, 0.2309189433247353, 0.4407539025235295, 0.5480702962340577, 0.2217606332292606, 0.3080324682722683, 0.0005481693283507, 0.043840056768565, 0.3931905350897735, 0.320707093437653, 0.4298538379825089, 0.5129428735726826, 0.5301266345745023, 0.1618056494833457, 0.0692188669416188, 0.403967639492135, 0.38930737056457, 0.4639887250973348, 0.1321304719189138, 0.524979451319894, 0.038304895381164, 0.3452744899201238, 0.5547540588989213, 0.0913151931559477, 0.3635046423878329, 0.6367310436816034, 0.5247179368637052, 0.4516486539589187, 0.3258796422485455, 0.417493197058429, 0.59866222085523, 0.4320265034008647, 0.4544453302138053, 0.5070128102565428, 0.0642386850609411, 0.1224771607481953, 0.2659507275535087, 0.1358405180437997, 0.2308426260650529, 0.3725599790767612, 0.3844147698315986, 0.318566267619934, 0.5184122973524594, 0.2947609785233236, 0.1024852858058131, 0.1397920685079871, 0.3941498883328035]|1587.0435566134940473|      4.00000000|[114, 16, 2, 4]                                                            |  | used linear model with 65 points | iterate success | actual_k=8
       3|[0.0887995892807981, 1.0463257341604184, 0.7675225238392782, 0.414272441628507, 0.6500852383898806, 0.749431847994257, 1.2758415703749464, 0.9516053569888001, 0.594945680999754, 0.9857610860998717, 0.788752421233313, 0.884523518000881, 0.3683750996913505, 1.3557514225565077, 0.7049234180962747, 1.5639744525838855, 1.094868378694851, 0.3439859454049048, 0.5063678249330918, 1.1963030689759777, 0.6994964803622608, 0.1982650219803241, 0.7370868883726424, 0.957442493913565, 0.8341713620257218, 0.9317693503297728, 0.0372939271368316, 0.8728431348635687, 0.7745851263653112, 1.3978877252024557, 0.6030300005711811, 0.4077801314431192, 0.4287787103940339, 1.3055961218662866, 1.2749599944270817, 1.4137803641946973, 0.8962833739354549, 0.3185525073509955, 0.4731946039904031, 0.5874781481771026, 0.8840581192850427, 0.4014027233610358, -0.2782431110891344, 1.2264275673726612, 0.8268161254521343, 1.0998883072645622, 0.7696323477709978, 0.9384379842379486, 0.6662282895437409, 0.8385227916817959]|1285.1815313518495714|      8.00000000|[171, 24, 3, 6]                                                            |  | used linear model with 65 points | iterate success | actual_k=8
       4|[0.2998431713051481, 1.9041048518505477, 2.3260862711658508, 1.1195631584360466, 1.752465443850586, 2.4029377317714786, 1.9569568596571747, 1.2459706207178243, 3.1214298276237074, 1.8936613087457617, 1.0290310791171715, 1.5753563749166704, 2.4591572593573847, 1.430061415594966, 1.1598876776815445, 1.00749861901276, 1.2240938350011457, 0.1722759330387591, 1.1802267785970113, 0.5587977648954098, 1.5302500065799944, -0.3392479012601941, 1.5541984803482276, -0.5229948720198639, -0.6143288424666478, 0.8284799505898235, 1.3469200187239794, 1.355539413380193, 2.4375305082878587, 2.1290481168239586, 0.0262837028733585, 0.304533133514942, 1.9231017164041346, 1.9040798749008818, 0.1521475993683092, 2.0225515654896986, 0.1455278200390644, -0.8831814003790367, 3.4880394641620818, 2.327125733104523, 0.8104914842959482, 0.0216293996375658, -0.370749666340439, 1.2499875910039162, 2.0557774534072726, 1.626240486163765, -1.8669501408322176, 1.6929333934682051, 0.4359737974249566, 2.5255328587806085]|1094.4005402921429777|     16.00000000|[228, 32, 4, 8]                                                            |  | used linear model with 65 points | iterate success | actual_k=8
       5|[0.2998431713051481, 1.9041048518505477, 2.3260862711658508, 1.1195631584360466, 1.752465443850586, 2.4029377317714786, 1.9569568596571747, 1.2459706207178243, 3.1214298276237074, 1.8936613087457617, 1.0290310791171715, 1.5753563749166704, 2.4591572593573847, 1.430061415594966, 1.1598876776815445, 1.00749861901276, 1.2240938350011457, 0.1722759330387591, 1.1802267785970113, 0.5587977648954098, 1.5302500065799944, -0.3392479012601941, 1.5541984803482276, -0.5229948720198639, -0.6143288424666478, 0.8284799505898235, 1.3469200187239794, 1.355539413380193, 2.4375305082878587, 2.1290481168239586, 0.0262837028733585, 0.304533133514942, 1.9231017164041346, 1.9040798749008818, 0.1521475993683092, 2.0225515654896986, 0.1455278200390644, -0.8831814003790367, 3.4880394641620818, 2.327125733104523, 0.8104914842959482, 0.0216293996375658, -0.370749666340439, 1.2499875910039162, 2.0557774534072726, 1.626240486163765, -1.8669501408322176, 1.6929333934682051, 0.4359737974249566, 2.5255328587806085]|1094.4005402921429777|      8.00000000|[285, 40, 5, 10]                                                           |  | used linear model with 65 points | iterate failure | actual_k=8
       6|[0.2998431713051481, 1.9041048518505477, 2.3260862711658508, 1.1195631584360466, 1.752465443850586, 2.4029377317714786, 1.9569568596571747, 1.2459706207178243, 3.1214298276237074, 1.8936613087457617, 1.0290310791171715, 1.5753563749166704, 2.4591572593573847, 1.430061415594966, 1.1598876776815445, 1.00749861901276, 1.2240938350011457, 0.1722759330387591, 1.1802267785970113, 0.5587977648954098, 1.5302500065799944, -0.3392479012601941, 1.5541984803482276, -0.5229948720198639, -0.6143288424666478, 0.8284799505898235, 1.3469200187239794, 1.355539413380193, 2.4375305082878587, 2.1290481168239586, 0.0262837028733585, 0.304533133514942, 1.9231017164041346, 1.9040798749008818, 0.1521475993683092, 2.0225515654896986, 0.1455278200390644, -0.8831814003790367, 3.4880394641620818, 2.327125733104523, 0.8104914842959482, 0.0216293996375658, -0.370749666340439, 1.2499875910039162, 2.0557774534072726, 1.626240486163765, -1.8669501408322176, 1.6929333934682051, 0.4359737974249566, 2.5255328587806085]|1094.4005402921429777|      4.00000000|[342, 48, 6, 12]                                                           |  | used linear model with 65 points | iterate failure | actual_k=8
       7|[0.7085983144897268, 2.2875898851829026, 3.010450032877058, 1.498463279503115, 2.130713332568973, 2.838078643192479, 2.2752443087973653, 1.5889004332432983, 3.919639147198062, 2.334808484886683, 1.9200910526536186, 1.3795227899368547, 3.0948682109676677, 2.2797914823282235, 0.6505718840799397, 1.2911823657585841, 1.2133895173896683, 0.4076555429318361, 1.3126758045964633, 0.8491820615328268, 2.175673987382501, -0.8706371554095531, 1.7267156152277146, -0.0689069387632225, -0.7420604023316691, 2.214784115005411, 1.4442611034024768, 1.6393071361209048, 3.165774745497601, 2.8336665023043732, 1.1422302720610853, 1.0810442557262305, 2.694740352345903, 2.3936951540851665, 0.5723535735123142, 2.227199961107189, 0.7251848608017654, -0.6907177230632279, 3.1316290883902402, 2.3353373332108904, 1.5746524553446042, 0.3006131609564244, 0.2691389560671448, 1.7349213881774765, 2.3567133904561084, 2.2952212845852, -1.9319516983070553, 1.984740382534362, 1.105467135533224, 3.7342798432512034]|891.2839369622921595|      8.00000000|[399, 56, 7, 14]                                                           |  | used linear model with 65 points | iterate success | actual_k=8
       8|[0.7085983144897268, 2.2875898851829026, 3.010450032877058, 1.498463279503115, 2.130713332568973, 2.838078643192479, 2.2752443087973653, 1.5889004332432983, 3.919639147198062, 2.334808484886683, 1.9200910526536186, 1.3795227899368547, 3.0948682109676677, 2.2797914823282235, 0.6505718840799397, 1.2911823657585841, 1.2133895173896683, 0.4076555429318361, 1.3126758045964633, 0.8491820615328268, 2.175673987382501, -0.8706371554095531, 1.7267156152277146, -0.0689069387632225, -0.7420604023316691, 2.214784115005411, 1.4442611034024768, 1.6393071361209048, 3.165774745497601, 2.8336665023043732, 1.1422302720610853, 1.0810442557262305, 2.694740352345903, 2.3936951540851665, 0.5723535735123142, 2.227199961107189, 0.7251848608017654, -0.6907177230632279, 3.1316290883902402, 2.3353373332108904, 1.5746524553446042, 0.3006131609564244, 0.2691389560671448, 1.7349213881774765, 2.3567133904561084, 2.2952212845852, -1.9319516983070553, 1.984740382534362, 1.105467135533224, 3.7342798432512034]|891.2839369622921595|      4.00000000|[456, 64, 8, 16]                                                           |  | used linear model with 65 points | iterate failure | actual_k=8
       9|[0.8083604612294124, 2.283584793933467, 3.4237863156389134, 1.2386853537679903, 2.39664091569315, 2.9150608170788157, 3.4690550705109873, 1.879966792366473, 4.26998986435855, 2.1613026978065144, 2.6386038150250544, 2.0900561861784603, 3.258465195605395, 1.6609217968245589, 1.2721135629769913, 1.9318484817780521, 1.104085009975841, 0.1898325100135285, 1.0038810154319822, 2.0887990468037, 2.930355263452585, -0.7790812256184381, 2.6116928517933413, 0.8867181825557293, 0.3118511501211761, 1.7335964736314837, 1.135459765401545, 2.416095647515938, 3.5988871818712482, 3.862413383487254, 2.024058242052388, 1.1078619522596365, 3.6141535540924203, 1.6849558649153886, 0.820489248682713, 1.9533537286044491, 0.6770930272240994, -0.4869772814181538, 4.002872218813688, 2.075637196027909, 1.9055419703285477, 0.513759345257432, -0.3641886407282671, 2.186311259662119, 2.221217998251397, 2.465796947071987, -1.5060172477946288, 1.390550086208226, 1.1242211531568969, 3.4954146784369056]|784.5158532615208742|      8.00000000|[513, 72, 9, 18]                                                           |  | used linear model with 65 points | iterate success | actual_k=8
      10|[0.8083604612294124, 2.283584793933467, 3.4237863156389134, 1.2386853537679903, 2.39664091569315, 2.9150608170788157, 3.4690550705109873, 1.879966792366473, 4.26998986435855, 2.1613026978065144, 2.6386038150250544, 2.0900561861784603, 3.258465195605395, 1.6609217968245589, 1.2721135629769913, 1.9318484817780521, 1.104085009975841, 0.1898325100135285, 1.0038810154319822, 2.0887990468037, 2.930355263452585, -0.7790812256184381, 2.6116928517933413, 0.8867181825557293, 0.3118511501211761, 1.7335964736314837, 1.135459765401545, 2.416095647515938, 3.5988871818712482, 3.862413383487254, 2.024058242052388, 1.1078619522596365, 3.6141535540924203, 1.6849558649153886, 0.820489248682713, 1.9533537286044491, 0.6770930272240994, -0.4869772814181538, 4.002872218813688, 2.075637196027909, 1.9055419703285477, 0.513759345257432, -0.3641886407282671, 2.186311259662119, 2.221217998251397, 2.465796947071987, -1.5060172477946288, 1.390550086208226, 1.1242211531568969, 3.4954146784369056]|784.5158532615208742|      4.00000000|[570, 80, 10, 20]                                                          |  | used linear model with 65 points | iterate failure | actual_k=8
      11|[1.1585996949750301, 2.890801459467829, 2.640265963002442, 1.9916453109339016, 1.5949856212976767, 2.760476835569995, 3.630205861306265, 2.034193453644889, 4.920109536594117, 2.8524657175343977, 2.7703861130022482, 2.4009897893078347, 3.4412154459880355, 2.5087238996829013, 1.0532740867691601, 2.513418489753929, 1.2993646024079322, -0.639929037164467, 1.385169139858204, 2.7764381830453813, 3.158383763560569, 0.0826617943943752, 3.2657633029941193, 0.8225403566377609, 0.6584189393099908, 2.2561475504050654, 1.0307417615369145, 2.91963516192107, 3.4233320433664054, 3.476947977956815, 2.5238055205178784, 1.5965609865251338, 2.7016847425425463, 1.848778551327087, 2.0798870174008988, 3.2731548744056274, 1.5872953791784083, 0.4117456691101048, 3.424946151387183, 1.771261963639786, 1.851651973574641, 0.7159724121920628, -0.5659948346555959, 2.587835342737563, 2.77286817560214, 3.07728169693242, -1.3434113312846931, 1.1039654653737085, 1.4443149753406574, 3.075287545366522]|683.5442302309472780|      8.00000000|[627, 88, 11, 22]                                                          |  | used linear model with 65 points | iterate success | actual_k=8
