k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0, -8.0]                                                                |148.9993291872793577|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.1867321707806315, 2.0218144427288154, -7.908982903025778]                    | 43.1076393127441406|      2.00000000|[7, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | iterate success | actual_k=0
       2|[1.5121573240118713, 0.1534801703247415, -8.141954623771543]                    |  3.3173794746398926|      4.00000000|[13, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       3|[1.5121573240118713, 0.1534801703247415, -8.141954623771543]                    |  3.3173794746398926|      2.00000000|[19, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[1.5121573240118713, 0.1534801703247415, -8.141954623771543]                    |  3.3173794746398926|      1.00000000|[25, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[1.2876564436557982, -0.8106092451579643, -8.283838215753008]                   |  2.6811230182647705|      2.00000000|[31, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       6|[1.2876564436557982, -0.8106092451579643, -8.283838215753008]                   |  2.6811230182647705|      1.00000000|[37, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[0.5209084432308487, -0.3340128154462577, -8.713900242710045]                   |  1.3205002546310425|      2.00000000|[43, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       8|[0.5209084432308487, -0.3340128154462577, -8.713900242710045]                   |  1.3205002546310425|      1.00000000|[49, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[0.2025901738818296, -1.1791980957438546, -8.284557347849868]                   |  1.0851900577545166|      2.00000000|[55, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      10|[0.2025901738818296, -1.1791980957438546, -8.284557347849868]                   |  1.0851900577545166|      1.00000000|[61, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      11|[0.2025901738818296, -1.1791980957438546, -8.284557347849868]                   |  1.0851900577545166|      0.50000000|[67, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      12|[0.2025901738818296, -1.1791980957438546, -8.284557347849868]                   |  1.0851900577545166|      0.25000000|[73, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      13|[-0.0099902651676766, -1.0579375486514804, -8.233513869790695]                  |  1.0033257007598877|      0.50000000|[79, 0, 0, 26]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      14|[-0.0099902651676766, -1.0579375486514804, -8.233513869790695]                  |  1.0033257007598877|      0.25000000|[85, 0, 0, 28]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      15|[-0.0099902651676766, -1.0579375486514804, -8.233513869790695]                  |  1.0033257007598877|      0.12500000|[91, 0, 0, 30]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
