k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.3, 0.65, 0.65, 0.7, 0.6, 3.0, 5.0, 7.0, 2.0, 4.5, 5.5]                       |  3.1657058167640839|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.3, 0.65, 0.65, 0.7, 0.6, 3.0, 5.0, 7.0, 2.0, 4.5, 5.5]                       |  3.1657058167640839|      0.50000000|[17, 0, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       2|[1.5718139892462186, 0.4097712919341338, 0.5375843881971815, 0.7962377804953114, 0.5541112982892296, 3.1595384049678334, 5.041443609161584, 7.227893813403987, 2.117380125478283, 4.505402641057273, 5.461404378756462]|  2.4695652030489970|      1.00000000|[34, 0, 2, 4]                                                              |  | used linear model with 17 points | iterate success | actual_k=0
       3|[1.5718139892462186, 0.4097712919341338, 0.5375843881971815, 0.7962377804953114, 0.5541112982892296, 3.1595384049678334, 5.041443609161584, 7.227893813403987, 2.117380125478283, 4.505402641057273, 5.461404378756462]|  2.4695652030489970|      0.50000000|[51, 0, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       4|[1.5718139892462186, 0.4097712919341338, 0.5375843881971815, 0.7962377804953114, 0.5541112982892296, 3.1595384049678334, 5.041443609161584, 7.227893813403987, 2.117380125478283, 4.505402641057273, 5.461404378756462]|  2.4695652030489970|      0.25000000|[68, 0, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       5|[1.5718139892462186, 0.4097712919341338, 0.5375843881971815, 0.7962377804953114, 0.5541112982892296, 3.1595384049678334, 5.041443609161584, 7.227893813403987, 2.117380125478283, 4.505402641057273, 5.461404378756462]|  2.4695652030489970|      0.12500000|[85, 0, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=0
       6|[1.5172630171717982, 0.3494264331157759, 0.5546787380515852, 0.8168108658360154, 0.5744601894843421, 3.1792830000623846, 5.03173206510955, 7.247568466798093, 2.1324653311441932, 4.514941303326774, 5.543186643534971]|  1.9607789324972695|      0.25000000|[102, 0, 6, 12]                                                            |  | used linear model with 17 points | iterate success | actual_k=0
       7|[1.5172630171717982, 0.3494264331157759, 0.5546787380515852, 0.8168108658360154, 0.5744601894843421, 3.1792830000623846, 5.03173206510955, 7.247568466798093, 2.1324653311441932, 4.514941303326774, 5.543186643534971]|  1.9607789324972695|      0.12500000|[119, 0, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       8|[1.5230390469314732, 0.3098594511605388, 0.554190140215789, 0.8232704357896471, 0.5671916014171176, 3.1505170587351, 5.006136455091022, 7.280156284916288, 2.1989951824127654, 4.5569595810549925, 5.61526269350591]|  1.5887728138995176|      0.25000000|[136, 0, 8, 16]                                                            |  | used linear model with 17 points | iterate success | actual_k=0
       9|[1.5230390469314732, 0.3098594511605388, 0.554190140215789, 0.8232704357896471, 0.5671916014171176, 3.1505170587351, 5.006136455091022, 7.280156284916288, 2.1989951824127654, 4.5569595810549925, 5.61526269350591]|  1.5887728138995176|      0.12500000|[153, 0, 9, 18]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
      10|[1.5122105734019018, 0.304093693800052, 0.5780833208006564, 0.825875282151785, 0.5068637506709007, 3.1923346504285375, 4.991225127919498, 7.275284195628869, 2.238951443699286, 4.572362300087369, 5.70145340557933]|  1.2523110449851447|      0.25000000|[170, 0, 10, 20]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      11|[1.5122105734019018, 0.304093693800052, 0.5780833208006564, 0.825875282151785, 0.5068637506709007, 3.1923346504285375, 4.991225127919498, 7.275284195628869, 2.238951443699286, 4.572362300087369, 5.70145340557933]|  1.2523110449851447|      0.12500000|[187, 0, 11, 22]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      12|[1.4763875066710948, 0.2953757845930384, 0.6434197562551224, 0.822357514730069, 0.5350872032793074, 3.169287881060608, 4.95869804032187, 7.283394540719566, 2.2420853225431703, 4.622775243448337, 5.772034489646478]|  1.1024788197340474|      0.25000000|[204, 0, 12, 24]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      13|[1.4763875066710948, 0.2953757845930384, 0.6434197562551224, 0.822357514730069, 0.5350872032793074, 3.169287881060608, 4.95869804032187, 7.283394540719566, 2.2420853225431703, 4.622775243448337, 5.772034489646478]|  1.1024788197340474|      0.12500000|[221, 0, 13, 26]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      14|[1.4763875066710948, 0.2953757845930384, 0.6434197562551224, 0.822357514730069, 0.5350872032793074, 3.169287881060608, 4.95869804032187, 7.283394540719566, 2.2420853225431703, 4.622775243448337, 5.772034489646478]|  1.1024788197340474|      0.06250000|[238, 0, 14, 28]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      15|[1.4763875066710948, 0.2953757845930384, 0.6434197562551224, 0.822357514730069, 0.5350872032793074, 3.169287881060608, 4.95869804032187, 7.283394540719566, 2.2420853225431703, 4.622775243448337, 5.772034489646478]|  1.1024788197340474|      0.03125000|[255, 0, 15, 30]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      16|[1.4702528703247646, 0.2921215005470327, 0.6495889895662127, 0.8220453779824799, 0.5145792362745303, 3.1699036496792354, 4.955541955513778, 7.283965312891536, 2.2558886488230754, 4.637646907670605, 5.7651612985192005]|  1.0148235703031381|      0.06250000|[272, 0, 16, 32]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      17|[1.4521572462037895, 0.2757661795897485, 0.6652484789511578, 0.803000397063433, 0.4963042580974205, 3.1715029738120637, 4.957022423299536, 7.2798124675502525, 2.2880668316358124, 4.673779341388508, 5.767693524455984]|  0.8839264433089329|      0.12500000|[289, 0, 17, 34]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      18|[1.4053119212446101, 0.2309355800069008, 0.6660872926569541, 0.7493576791589736, 0.4625291700984343, 3.1871700377551035, 4.930788391122653, 7.230618751730421, 2.274985884092362, 4.726303462554314, 5.734255013683651]|  0.7636196057688356|      0.25000000|[306, 0, 18, 36]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      19|[1.4053119212446101, 0.2309355800069008, 0.6660872926569541, 0.7493576791589736, 0.4625291700984343, 3.1871700377551035, 4.930788391122653, 7.230618751730421, 2.274985884092362, 4.726303462554314, 5.734255013683651]|  0.7636196057688356|      0.12500000|[323, 0, 19, 38]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      20|[1.3224534626830728, 0.2655148427567783, 0.6876892564157043, 0.7849433839472748, 0.4493728373622513, 3.210495841842724, 4.954455376652223, 7.197521840446473, 2.315463997618949, 4.76455978817785, 5.7531236415110145]|  0.6818276004676876|      0.25000000|[340, 0, 20, 40]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      21|[1.3224534626830728, 0.2655148427567783, 0.6876892564157043, 0.7849433839472748, 0.4493728373622513, 3.210495841842724, 4.954455376652223, 7.197521840446473, 2.315463997618949, 4.76455978817785, 5.7531236415110145]|  0.6818276004676876|      0.12500000|[357, 0, 21, 42]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
