k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.50000000|[33, 0, 1, 3]                                                              |  | used linear model with 33 points | iterate failure | actual_k=0
       2|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.25000000|[66, 0, 2, 6]                                                              |  | used linear model with 33 points | iterate failure | actual_k=0
       3|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.12500000|[99, 0, 3, 9]                                                              |  | used linear model with 33 points | iterate failure | actual_k=0
       4|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.06250000|[132, 0, 4, 12]                                                            |  | used linear model with 33 points | iterate failure | actual_k=0
       5|[120.00461977242692, 0.0395053096405515, 0.8898790068801818, 109.99459003286948, 0.1886412796354136, 0.818951102762266, 99.9983801714914, 0.2779783678913539, 0.7165276780326403, 88.00347918745307, 0.3084854136721638, 0.7070779858192805, 85.99618539114987, 0.359147037661553, 0.6417807244756992, 83.99288142118733, 0.4735513343443447, 0.5210722000835695, 80.00029716000586, 0.661463699800382, 0.3446757584745478, 76.00302940710334, 0.8671194011910748, 0.1299605642306544, 886.3680158651964, 910.0041991849278, 922.5133586981153, 926.464092060533, 935.558549705443, 952.8277502338145, 975.7246170871599]|2266.6131473147029283|      0.12500000|[165, 0, 5, 15]                                                            |  | used linear model with 33 points | iterate success | actual_k=0
       6|[120.00461977242692, 0.0395053096405515, 0.8898790068801818, 109.99459003286948, 0.1886412796354136, 0.818951102762266, 99.9983801714914, 0.2779783678913539, 0.7165276780326403, 88.00347918745307, 0.3084854136721638, 0.7070779858192805, 85.99618539114987, 0.359147037661553, 0.6417807244756992, 83.99288142118733, 0.4735513343443447, 0.5210722000835695, 80.00029716000586, 0.661463699800382, 0.3446757584745478, 76.00302940710334, 0.8671194011910748, 0.1299605642306544, 886.3680158651964, 910.0041991849278, 922.5133586981153, 926.464092060533, 935.558549705443, 952.8277502338145, 975.7246170871599]|2266.6131473147029283|      0.06250000|[198, 0, 6, 18]                                                            |  | used linear model with 33 points | iterate failure | actual_k=0
       7|[120.00385267629449, 0.0305715550236281, 0.8826704473568114, 109.97884797328621, 0.1658307078841824, 0.8180176963261164, 99.99170299830081, 0.2777866366136448, 0.7227599354589009, 88.0083497064832, 0.3116588471283582, 0.702576952355561, 85.99978556275526, 0.3807619037733128, 0.6288313172771567, 84.01203692060828, 0.461025072584646, 0.5285413959786616, 79.99039402320379, 0.6476505926170274, 0.3454683250230194, 76.01413995946315, 0.8619421655015258, 0.1198851437363904, 886.373303152082, 910.0074516152423, 922.4942902781639, 926.4473543234012, 935.5443966617263, 952.8130739959277, 975.7238229378938]|1826.1381956448642541|      0.12500000|[231, 0, 7, 21]                                                            |  | used linear model with 33 points | iterate success | actual_k=0
       8|[120.00385267629449, 0.0305715550236281, 0.8826704473568114, 109.97884797328621, 0.1658307078841824, 0.8180176963261164, 99.99170299830081, 0.2777866366136448, 0.7227599354589009, 88.0083497064832, 0.3116588471283582, 0.702576952355561, 85.99978556275526, 0.3807619037733128, 0.6288313172771567, 84.01203692060828, 0.461025072584646, 0.5285413959786616, 79.99039402320379, 0.6476505926170274, 0.3454683250230194, 76.01413995946315, 0.8619421655015258, 0.1198851437363904, 886.373303152082, 910.0074516152423, 922.4942902781639, 926.4473543234012, 935.5443966617263, 952.8130739959277, 975.7238229378938]|1826.1381956448642541|      0.06250000|[264, 0, 8, 24]                                                            |  | used linear model with 33 points | iterate failure | actual_k=0
       9|[120.00385267629449, 0.0305715550236281, 0.8826704473568114, 109.97884797328621, 0.1658307078841824, 0.8180176963261164, 99.99170299830081, 0.2777866366136448, 0.7227599354589009, 88.0083497064832, 0.3116588471283582, 0.702576952355561, 85.99978556275526, 0.3807619037733128, 0.6288313172771567, 84.01203692060828, 0.461025072584646, 0.5285413959786616, 79.99039402320379, 0.6476505926170274, 0.3454683250230194, 76.01413995946315, 0.8619421655015258, 0.1198851437363904, 886.373303152082, 910.0074516152423, 922.4942902781639, 926.4473543234012, 935.5443966617263, 952.8130739959277, 975.7238229378938]|1826.1381956448642541|      0.03125000|[297, 0, 9, 27]                                                            |  | used linear model with 33 points | iterate failure | actual_k=0
      10|[120.00568192158718, 0.0116939478117261, 0.8774171657970796, 109.97713549136876, 0.1658257951049578, 0.8163615463364279, 99.99058819620306, 0.2705995499729145, 0.7151638661492608, 88.01650019956243, 0.3171937292263723, 0.7006038372461901, 85.99781361568084, 0.3721761244973767, 0.6327394796081645, 84.0177756394867, 0.4688748920516775, 0.531441243440926, 79.9928418000965, 0.6499804069941355, 0.3443047703318722, 76.01153097759813, 0.8627645722924243, 0.1281717570806959, 886.3697356886562, 910.006430439841, 922.4939902289466, 926.451539238332, 935.5419799761613, 952.8138195061231, 975.7167879898046]|1488.1586636618364992|      0.06250000|[330, 0, 10, 30]                                                           |  | used linear model with 33 points | iterate success | actual_k=0
      11|[120.00568192158718, 0.0116939478117261, 0.8774171657970796, 109.97713549136876, 0.1658257951049578, 0.8163615463364279, 99.99058819620306, 0.2705995499729145, 0.7151638661492608, 88.01650019956243, 0.3171937292263723, 0.7006038372461901, 85.99781361568084, 0.3721761244973767, 0.6327394796081645, 84.0177756394867, 0.4688748920516775, 0.531441243440926, 79.9928418000965, 0.6499804069941355, 0.3443047703318722, 76.01153097759813, 0.8627645722924243, 0.1281717570806959, 886.3697356886562, 910.006430439841, 922.4939902289466, 926.451539238332, 935.5419799761613, 952.8138195061231, 975.7167879898046]|1488.1586636618364992|      0.03125000|[363, 0, 11, 33]                                                           |  | used linear model with 33 points | iterate failure | actual_k=0
