k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.50000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       2|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.25000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       3|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.12500000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       4|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.06250000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       5|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.03125000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       6|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.01562500|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       7|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.00781250|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       8|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.00390625|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       9|[0.4997597895077366, 1.5004099252894998, -1.0001230444261577, 0.0138052069240169, 0.019266304168241]|  0.1648668579522050|      0.00781250|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
      10|[0.4997597895077366, 1.5004099252894998, -1.0001230444261577, 0.0138052069240169, 0.019266304168241]|  0.1648668579522050|      0.00390625|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      11|[0.4997597895077366, 1.5004099252894998, -1.0001230444261577, 0.0138052069240169, 0.019266304168241]|  0.1648668579522050|      0.00195312|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      12|[0.4997289146662802, 1.4989359912739304, -1.0009762509341464, 0.0146832285640956, 0.019643635828477]|  0.1566934055366736|      0.00390625|[192, 12, 12, 24]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      13|[0.4997289146662802, 1.4989359912739304, -1.0009762509341464, 0.0146832285640956, 0.019643635828477]|  0.1566934055366736|      0.00195312|[208, 13, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      14|[0.4997289146662802, 1.4989359912739304, -1.0009762509341464, 0.0146832285640956, 0.019643635828477]|  0.1566934055366736|      0.00097656|[224, 14, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      15|[0.4997289146662802, 1.4989359912739304, -1.0009762509341464, 0.0146832285640956, 0.019643635828477]|  0.1566934055366736|      0.00048828|[240, 15, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      16|[0.4996506720925098, 1.498947219925235, -1.000990720932029, 0.014363257514333, 0.0200036076921225]|  0.1539756707088261|      0.00097656|[256, 16, 16, 32]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      17|[0.4996506720925098, 1.498947219925235, -1.000990720932029, 0.014363257514333, 0.0200036076921225]|  0.1539756707088261|      0.00048828|[272, 17, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      18|[0.499526997282194, 1.4989450489556633, -1.0010093864824878, 0.0148241859801437, 0.0201051702537166]|  0.1530186871910670|      0.00097656|[288, 18, 18, 36]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      19|[0.499526997282194, 1.4989450489556633, -1.0010093864824878, 0.0148241859801437, 0.0201051702537166]|  0.1530186871910670|      0.00048828|[304, 19, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      20|[0.4994445937034913, 1.4989316049279042, -1.0010365056682038, 0.0145227930702534, 0.0204791680492585]|  0.1505282304817997|      0.00097656|[320, 20, 20, 40]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      21|[0.4994445937034913, 1.4989316049279042, -1.0010365056682038, 0.0145227930702534, 0.0204791680492585]|  0.1505282304817997|      0.00048828|[336, 21, 21, 42]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      22|[0.4993190555845468, 1.498913946932083, -1.001054512126413, 0.0149667194639196, 0.0206371303214827]|  0.1489526458165214|      0.00097656|[352, 22, 22, 44]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      23|[0.4993190555845468, 1.498913946932083, -1.001054512126413, 0.0149667194639196, 0.0206371303214827]|  0.1489526458165214|      0.00048828|[368, 23, 23, 46]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      24|[0.4992265693171296, 1.498903337226064, -1.0010679260424462, 0.0146715159914846, 0.0210145257113564]|  0.1471449255179157|      0.00097656|[384, 24, 24, 48]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      25|[0.4992265693171296, 1.498903337226064, -1.0010679260424462, 0.0146715159914846, 0.0210145257113564]|  0.1471449255179157|      0.00048828|[400, 25, 25, 50]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
