k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, -0.1, 0.003, -0.001, 1e-05]                                               |373285.3585472708800808|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.0, -0.1, 0.003, -0.001, 1e-05]                                               |373285.3585472708800808|      0.50000000|[11, 3, 1, 4]                                                              |  | trying linear partial model with 4 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[2.0, -0.1, 0.003, -0.001, 1e-05]                                               |373285.3585472708800808|      0.25000000|[20, 6, 2, 8]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[2.0, -0.1, 0.003, -0.001, 1e-05]                                               |373285.3585472708800808|      0.12500000|[30, 9, 2, 11]                                                             |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[2.0, -0.1, 0.003, -0.001, 1e-05]                                               |373285.3585472708800808|      0.06250000|[39, 12, 2, 14]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[2.0, -0.1, 0.003, -0.001, 1e-05]                                               |373285.3585472708800808|      0.03125000|[48, 15, 2, 17]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[2.0, -0.1, 0.003, -0.001, 1e-05]                                               |373285.3585472708800808|      0.01562500|[58, 18, 3, 21]                                                            |  | trying linear partial model with 4 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[2.0, -0.1, 0.003, -0.001, 1e-05]                                               |373285.3585472708800808|      0.00781250|[67, 21, 3, 24]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[2.0, -0.1, 0.003, -0.001, 1e-05]                                               |373285.3585472708800808|      0.00390625|[76, 24, 3, 27]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[2.0, -0.1, 0.003, -0.001, 1e-05]                                               |373285.3585472708800808|      0.00195312|[85, 27, 3, 30]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[2.0, -0.1, 0.003, -0.001, 1e-05]                                               |373285.3585472708800808|      0.00097656|[94, 30, 3, 33]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[2.0, -0.1, 0.003, -0.001, 1e-05]                                               |373285.3585472708800808|      0.00048828|[103, 33, 3, 36]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[2.0, -0.1, 0.003, -0.001, 1e-05]                                               |373285.3585472708800808|      0.00024414|[113, 36, 4, 40]                                                           |  | trying linear partial model with 4 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[2.0, -0.1, 0.003, -0.001, 1e-05]                                               |373285.3585472708800808|      0.00012207|[122, 39, 4, 43]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[2.0, -0.1, 0.003, -0.001, 1e-05]                                               |373285.3585472708800808|      0.00006104|[131, 42, 4, 46]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[2.0, -0.1, 0.003, -0.001, 1e-05]                                               |373285.3585472708800808|      0.00003052|[140, 45, 4, 49]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      16|[2.0, -0.1, 0.003, -0.001, 1e-05]                                               |373285.3585472708800808|      0.00001526|[149, 48, 5, 53]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
