k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.694358621175159, -1.3732949466107365, 0.2763505847318632, 0.4100939946860782, -0.475109878329128, -0.1098681224664051, -0.5956554363024344]|60250.3783692052529659|      2.00000000|[8, 0, 1, 3]                                                               |  | used linear model with 8 points | iterate success | actual_k=0
       2|[9.694358621175159, -1.3732949466107365, 0.2763505847318632, 0.4100939946860782, -0.475109878329128, -0.1098681224664051, -0.5956554363024344]|60250.3783692052529659|      1.00000000|[16, 0, 2, 6]                                                              |  | used linear model with 8 points | iterate failure | actual_k=0
       3|[9.694358621175159, -1.3732949466107365, 0.2763505847318632, 0.4100939946860782, -0.475109878329128, -0.1098681224664051, -0.5956554363024344]|60250.3783692052529659|      0.50000000|[24, 0, 3, 9]                                                              |  | used linear model with 8 points | iterate failure | actual_k=0
       4|[9.707934430462046, -1.4396453450148345, 0.3243157853837358, -0.0196281505937157, -0.3494689023253137, -0.0625102817230177, -0.7967104523684697]|55355.3350649815693032|      1.00000000|[32, 0, 4, 12]                                                             |  | used linear model with 8 points | iterate success | actual_k=0
       5|[9.857420820328477, -1.9125390971172982, 0.5316372824890091, -0.7480757105812639, -0.2256848671443485, 0.2955614170692505, -0.9887246154182501]|50575.6947541717308923|      2.00000000|[40, 0, 5, 15]                                                             |  | used linear model with 8 points | iterate success | actual_k=0
       6|[9.857420820328477, -1.9125390971172982, 0.5316372824890091, -0.7480757105812639, -0.2256848671443485, 0.2955614170692505, -0.9887246154182501]|50575.6947541717308923|      1.00000000|[48, 0, 6, 18]                                                             |  | used linear model with 8 points | iterate failure | actual_k=0
       7|[9.902410907787566, -1.8988441170179322, 0.5057851206237645, -1.5842034446851325, 0.0885930754303885, 0.5023220217972164, -0.5931366420378132]|39248.9379488909762586|      2.00000000|[56, 0, 7, 21]                                                             |  | used linear model with 8 points | iterate success | actual_k=0
       8|[9.902410907787566, -1.8988441170179322, 0.5057851206237645, -1.5842034446851325, 0.0885930754303885, 0.5023220217972164, -0.5931366420378132]|39248.9379488909762586|      1.00000000|[64, 0, 8, 24]                                                             |  | used linear model with 8 points | iterate failure | actual_k=0
       9|[10.45357978134405, -2.292877099068809, 0.3592865147615138, -2.1063073250031557, 0.0484612884662344, 0.578133512331668, -0.1037097975616873]|23964.7070718071045121|      2.00000000|[72, 0, 9, 27]                                                             |  | used linear model with 8 points | iterate success | actual_k=0
      10|[10.45357978134405, -2.292877099068809, 0.3592865147615138, -2.1063073250031557, 0.0484612884662344, 0.578133512331668, -0.1037097975616873]|23964.7070718071045121|      1.00000000|[80, 0, 10, 30]                                                            |  | used linear model with 8 points | iterate failure | actual_k=0
      11|[10.45357978134405, -2.292877099068809, 0.3592865147615138, -2.1063073250031557, 0.0484612884662344, 0.578133512331668, -0.1037097975616873]|23964.7070718071045121|      0.50000000|[88, 0, 11, 33]                                                            |  | used linear model with 8 points | iterate failure | actual_k=0
