k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.080427586107264, -0.5479564286962918, -0.6218823867508281, -0.3568298921691135, 0.3516523146644835, -0.0970474333930936, -0.1987565153752241]|44178.9992581041442463|      2.00000000|[35, 2, 1, 4]                                                              |  | used quadratic model with 37 points | iterate success | actual_k=1
       2|[10.080427586107264, -0.5479564286962918, -0.6218823867508281, -0.3568298921691135, 0.3516523146644835, -0.0970474333930936, -0.1987565153752241]|44178.9992581041442463|      1.00000000|[70, 4, 2, 8]                                                              |  | used quadratic model with 37 points | iterate failure | actual_k=1
       3|[10.080427586107264, -0.5479564286962918, -0.6218823867508281, -0.3568298921691135, 0.3516523146644835, -0.0970474333930936, -0.1987565153752241]|44178.9992581041442463|      0.50000000|[105, 6, 3, 12]                                                            |  | used quadratic model with 37 points | iterate failure | actual_k=1
       4|[9.987801804660874, -0.3401382935758854, -0.6436415985615259, -0.4689304902366456, 0.028168477660243, -0.3201392062494425, -0.0233132253307597]|8624.1753181593649060|      1.00000000|[139, 9, 4, 16]                                                            |  | used quadratic model with 37 points | iterate success | actual_k=1
       5|[9.987801804660874, -0.3401382935758854, -0.6436415985615259, -0.4689304902366456, 0.028168477660243, -0.3201392062494425, -0.0233132253307597]|8624.1753181593649060|      0.50000000|[173, 12, 5, 20]                                                           |  | used quadratic model with 37 points | iterate failure | actual_k=1
       6|[9.987801804660874, -0.3401382935758854, -0.6436415985615259, -0.4689304902366456, 0.028168477660243, -0.3201392062494425, -0.0233132253307597]|8624.1753181593649060|      0.25000000|[208, 14, 6, 24]                                                           |  | used quadratic model with 37 points | iterate failure | actual_k=1
       7|[9.987801804660874, -0.3401382935758854, -0.6436415985615259, -0.4689304902366456, 0.028168477660243, -0.3201392062494425, -0.0233132253307597]|8624.1753181593649060|      0.12500000|[242, 17, 7, 28]                                                           |  | used quadratic model with 37 points | iterate failure | actual_k=1
       8|[9.987801804660874, -0.3401382935758854, -0.6436415985615259, -0.4689304902366456, 0.028168477660243, -0.3201392062494425, -0.0233132253307597]|8624.1753181593649060|      0.06250000|[277, 19, 8, 32]                                                           |  | used quadratic model with 37 points | iterate failure | actual_k=1
       9|[9.987801804660874, -0.3401382935758854, -0.6436415985615259, -0.4689304902366456, 0.028168477660243, -0.3201392062494425, -0.0233132253307597]|8624.1753181593649060|      0.03125000|[311, 22, 9, 36]                                                           |  | used quadratic model with 37 points | iterate failure | actual_k=1
      10|[9.987801804660874, -0.3401382935758854, -0.6436415985615259, -0.4689304902366456, 0.028168477660243, -0.3201392062494425, -0.0233132253307597]|8624.1753181593649060|      0.01562500|[345, 25, 10, 40]                                                          |  | used quadratic model with 37 points | iterate failure | actual_k=1
      11|[9.987801804660874, -0.3401382935758854, -0.6436415985615259, -0.4689304902366456, 0.028168477660243, -0.3201392062494425, -0.0233132253307597]|8624.1753181593649060|      0.00781250|[380, 27, 11, 44]                                                          |  | used quadratic model with 37 points | iterate failure | actual_k=1
      12|[9.989277072515037, -0.3395958205996407, -0.6436603181840821, -0.4667279229298392, 0.0287952130119112, -0.3227226430679555, -0.0301430033591408]|5407.7867550741284504|      0.01562500|[415, 29, 12, 48]                                                          |  | used quadratic model with 37 points | iterate success | actual_k=1
      13|[9.989277072515037, -0.3395958205996407, -0.6436603181840821, -0.4667279229298392, 0.0287952130119112, -0.3227226430679555, -0.0301430033591408]|5407.7867550741284504|      0.00781250|[449, 32, 13, 52]                                                          |  | used quadratic model with 37 points | iterate failure | actual_k=1
      14|[9.989277072515037, -0.3395958205996407, -0.6436603181840821, -0.4667279229298392, 0.0287952130119112, -0.3227226430679555, -0.0301430033591408]|5407.7867550741284504|      0.00390625|[483, 35, 14, 56]                                                          |  | used quadratic model with 37 points | iterate failure | actual_k=1
      15|[9.989277072515037, -0.3395958205996407, -0.6436603181840821, -0.4667279229298392, 0.0287952130119112, -0.3227226430679555, -0.0301430033591408]|5407.7867550741284504|      0.00195312|[518, 37, 15, 60]                                                          |  | used quadratic model with 37 points | iterate failure | actual_k=1
      16|[9.989277072515037, -0.3395958205996407, -0.6436603181840821, -0.4667279229298392, 0.0287952130119112, -0.3227226430679555, -0.0301430033591408]|5407.7867550741284504|      0.00097656|[552, 40, 16, 64]                                                          |  | used quadratic model with 37 points | iterate failure | actual_k=1
      17|[9.98924408670029, -0.3396548292409768, -0.6436023208508375, -0.4667725449875882, 0.0287510605212253, -0.3228479210655489, -0.0291806596602143]|5388.2283800933782913|      0.00195312|[587, 42, 17, 68]                                                          |  | used quadratic model with 37 points | iterate success | actual_k=1
      18|[9.98924408670029, -0.3396548292409768, -0.6436023208508375, -0.4667725449875882, 0.0287510605212253, -0.3228479210655489, -0.0291806596602143]|5388.2283800933782913|      0.00097656|[622, 44, 18, 72]                                                          |  | used quadratic model with 37 points | iterate failure | actual_k=1
