k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.3493916121484112, 0.0688847942232078, -0.1037251329243805, -0.432858125697797, 0.7054109157585219, 0.2646914470856364, 0.0421617229902151, 0.0073075639720581, 0.3248972032721983]|509802.9397589337895624|      2.00000000|[13, 0, 1, 4]                                                              |  | used linear model with 13 points | iterate success | actual_k=0
       2|[-0.3493916121484112, 0.0688847942232078, -0.1037251329243805, -0.432858125697797, 0.7054109157585219, 0.2646914470856364, 0.0421617229902151, 0.0073075639720581, 0.3248972032721983]|509802.9397589337895624|      1.00000000|[26, 0, 2, 8]                                                              |  | used linear model with 13 points | iterate failure | actual_k=0
       3|[-0.1340585599294009, 0.2402583703358371, -0.1768716594124036, 0.2851889406030099, 1.2804859739015517, 0.0824875226529621, -0.0605990041564873, -0.0287408866984969, 0.4908849132257133]|78004.0588481568847783|      2.00000000|[39, 0, 3, 12]                                                             |  | used linear model with 13 points | iterate success | actual_k=0
       4|[-0.1340585599294009, 0.2402583703358371, -0.1768716594124036, 0.2851889406030099, 1.2804859739015517, 0.0824875226529621, -0.0605990041564873, -0.0287408866984969, 0.4908849132257133]|78004.0588481568847783|      1.00000000|[52, 0, 4, 16]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       5|[-0.1340585599294009, 0.2402583703358371, -0.1768716594124036, 0.2851889406030099, 1.2804859739015517, 0.0824875226529621, -0.0605990041564873, -0.0287408866984969, 0.4908849132257133]|78004.0588481568847783|      0.50000000|[65, 0, 5, 20]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       6|[-0.1765053115345008, 0.3439440897921672, -0.2258993391589393, -0.1643169535042665, 1.334074695376799, -0.0434922670975594, -0.0641978721130906, -0.119468528926058, 0.4134177122254914]|24082.6863317886563891|      1.00000000|[78, 0, 6, 24]                                                             |  | used linear model with 13 points | iterate success | actual_k=0
       7|[-0.1765053115345008, 0.3439440897921672, -0.2258993391589393, -0.1643169535042665, 1.334074695376799, -0.0434922670975594, -0.0641978721130906, -0.119468528926058, 0.4134177122254914]|24082.6863317886563891|      0.50000000|[91, 0, 7, 28]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       8|[-0.1765053115345008, 0.3439440897921672, -0.2258993391589393, -0.1643169535042665, 1.334074695376799, -0.0434922670975594, -0.0641978721130906, -0.119468528926058, 0.4134177122254914]|24082.6863317886563891|      0.25000000|[104, 0, 8, 32]                                                            |  | used linear model with 13 points | iterate failure | actual_k=0
       9|[-0.1583611921264454, 0.4893204145571787, -0.2173288264298271, -0.0093809053062308, 1.265456265482607, 0.0065665645453864, -0.1568139785485684, -0.1418723797306392, 0.387652791105534]|4557.4145766996425664|      0.50000000|[117, 0, 9, 36]                                                            |  | used linear model with 13 points | iterate success | actual_k=0
      10|[-0.1583611921264454, 0.4893204145571787, -0.2173288264298271, -0.0093809053062308, 1.265456265482607, 0.0065665645453864, -0.1568139785485684, -0.1418723797306392, 0.387652791105534]|4557.4145766996425664|      0.25000000|[130, 0, 10, 40]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      11|[-0.1583611921264454, 0.4893204145571787, -0.2173288264298271, -0.0093809053062308, 1.265456265482607, 0.0065665645453864, -0.1568139785485684, -0.1418723797306392, 0.387652791105534]|4557.4145766996425664|      0.12500000|[143, 0, 11, 44]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      12|[-0.1395069671319182, 0.4948818745326843, -0.260042132110243, -0.0048436287683055, 1.1976981309492294, 0.0292676796622243, -0.2438581637040397, -0.1183279651617623, 0.4001443863801172]|1611.2601203371089014|      0.25000000|[156, 0, 12, 48]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
      13|[-0.1395069671319182, 0.4948818745326843, -0.260042132110243, -0.0048436287683055, 1.1976981309492294, 0.0292676796622243, -0.2438581637040397, -0.1183279651617623, 0.4001443863801172]|1611.2601203371089014|      0.12500000|[169, 0, 13, 52]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      14|[-0.1395069671319182, 0.4948818745326843, -0.260042132110243, -0.0048436287683055, 1.1976981309492294, 0.0292676796622243, -0.2438581637040397, -0.1183279651617623, 0.4001443863801172]|1611.2601203371089014|      0.06250000|[182, 0, 14, 56]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      15|[-0.1308302710337257, 0.4894192177257076, -0.2622235736449344, -0.0509885592677595, 1.1693367491771243, 0.0398484073953094, -0.2500648693934849, -0.102043820199647, 0.3790021376961967]|983.0400347586755743|      0.12500000|[195, 0, 15, 60]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
      16|[-0.1308302710337257, 0.4894192177257076, -0.2622235736449344, -0.0509885592677595, 1.1693367491771243, 0.0398484073953094, -0.2500648693934849, -0.102043820199647, 0.3790021376961967]|983.0400347586755743|      0.06250000|[208, 0, 16, 64]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      17|[-0.1308302710337257, 0.4894192177257076, -0.2622235736449344, -0.0509885592677595, 1.1693367491771243, 0.0398484073953094, -0.2500648693934849, -0.102043820199647, 0.3790021376961967]|983.0400347586755743|      0.03125000|[221, 0, 17, 68]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      18|[-0.1359985120302513, 0.4921367739393314, -0.2674123831591365, -0.0259033450468658, 1.183947505085284, 0.0388969065458954, -0.2467533728753301, -0.1095262280661687, 0.3812254185601069]|625.7385963571234697|      0.06250000|[234, 0, 18, 72]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
      19|[-0.1359985120302513, 0.4921367739393314, -0.2674123831591365, -0.0259033450468658, 1.183947505085284, 0.0388969065458954, -0.2467533728753301, -0.1095262280661687, 0.3812254185601069]|625.7385963571234697|      0.03125000|[247, 0, 19, 76]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      20|[-0.1290972317197359, 0.4936121553305134, -0.2622931753409291, -0.0296560644887127, 1.1581298189363116, 0.0477968049556589, -0.2445605404887456, -0.1171850412992619, 0.3724366846282464]|316.1986567335383143|      0.06250000|[260, 0, 20, 80]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
      21|[-0.1290972317197359, 0.4936121553305134, -0.2622931753409291, -0.0296560644887127, 1.1581298189363116, 0.0477968049556589, -0.2445605404887456, -0.1171850412992619, 0.3724366846282464]|316.1986567335383143|      0.03125000|[273, 0, 21, 84]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      22|[-0.1221784134354579, 0.4945763884562533, -0.2553883635167916, -0.0227182816571672, 1.1317914939566398, 0.0452975318713408, -0.2494635938916347, -0.1212072285264316, 0.3820169664423232]|185.3614806903125611|      0.06250000|[286, 0, 22, 88]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
      23|[-0.1221784134354579, 0.4945763884562533, -0.2553883635167916, -0.0227182816571672, 1.1317914939566398, 0.0452975318713408, -0.2494635938916347, -0.1212072285264316, 0.3820169664423232]|185.3614806903125611|      0.03125000|[299, 0, 23, 92]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
