k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.6099297137825974, 0.0525471775140332, 0.1391224043922368, 0.7773129581964733, 0.0248818231214165, -0.0145802685453462, -0.0061014804984838, 0.003140585884145, -0.0103792342115505, -0.00140546925558, -0.0077285013311069, 0.0087684947792216, 0.0050184973576339, 0.0073797004300994, 0.005543491035955, -0.0151469191348038, -0.0107276126490979, -0.0048743121934264, -0.0019006383728857, 0.0007388683129803, -0.0060988947452437, -0.0029931607016379]| 13.1523599624633789|      2.00000000|[113, 16, 0, 2]                                                            |  | trying linear partial model with 57 points | iterate success | actual_k=8
       2|[1.916087834317502, 0.2702268211938948, 0.3623773519416097, 2.213745030894581, 0.1335249409111222, 0.0126380363296889, -0.0103735351304414, -0.190654219909484, 0.0542728113677677, 0.0792823673893839, 0.0093637743083362, -0.1137798049696764, 0.0464496283503046, -0.0006386455372777, 0.0514490672773346, 0.0820081919834349, -0.0855607335569009, 0.0297906484947018, -0.0706866302944914, -0.1017708729675534, 0.0517667536276165, -0.1391917703885864]| 12.2604980468750000|      4.00000000|[225, 32, 0, 4]                                                            |  | trying linear partial model with 57 points | iterate success | actual_k=8
       3|[1.916087834317502, 0.2702268211938948, 0.3623773519416097, 2.213745030894581, 0.1335249409111222, 0.0126380363296889, -0.0103735351304414, -0.190654219909484, 0.0542728113677677, 0.0792823673893839, 0.0093637743083362, -0.1137798049696764, 0.0464496283503046, -0.0006386455372777, 0.0514490672773346, 0.0820081919834349, -0.0855607335569009, 0.0297906484947018, -0.0706866302944914, -0.1017708729675534, 0.0517667536276165, -0.1391917703885864]| 12.2604980468750000|      2.00000000|[337, 48, 0, 6]                                                            |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
       4|[1.916087834317502, 0.2702268211938948, 0.3623773519416097, 2.213745030894581, 0.1335249409111222, 0.0126380363296889, -0.0103735351304414, -0.190654219909484, 0.0542728113677677, 0.0792823673893839, 0.0093637743083362, -0.1137798049696764, 0.0464496283503046, -0.0006386455372777, 0.0514490672773346, 0.0820081919834349, -0.0855607335569009, 0.0297906484947018, -0.0706866302944914, -0.1017708729675534, 0.0517667536276165, -0.1391917703885864]| 12.2604980468750000|      1.00000000|[449, 64, 0, 8]                                                            |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
       5|[1.916087834317502, 0.2702268211938948, 0.3623773519416097, 2.213745030894581, 0.1335249409111222, 0.0126380363296889, -0.0103735351304414, -0.190654219909484, 0.0542728113677677, 0.0792823673893839, 0.0093637743083362, -0.1137798049696764, 0.0464496283503046, -0.0006386455372777, 0.0514490672773346, 0.0820081919834349, -0.0855607335569009, 0.0297906484947018, -0.0706866302944914, -0.1017708729675534, 0.0517667536276165, -0.1391917703885864]| 12.2604980468750000|      0.50000000|[561, 80, 0, 10]                                                           |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
       6|[1.6040290462828437, 0.2480678606744263, 0.291581501580361, 1.8336136071888827, 0.130208423495779, 0.0131506932293246, -0.0193331976914392, -0.1866289436155165, 0.0632513206056038, 0.0569642858951279, 0.0281207279293273, -0.1064467541132379, 0.0689080807442208, -0.0085474395007338, 0.0479234399783188, 0.0956307692291641, -0.0915880880656516, 0.0463183701792933, -0.0850280314057272, -0.0953275868811423, 0.0453683990879155, -0.1519091878881361]| 12.1449613571166992|      1.00000000|[673, 96, 0, 12]                                                           |  | trying linear partial model with 57 points | iterate success | actual_k=8
       7|[1.6040290462828437, 0.2480678606744263, 0.291581501580361, 1.8336136071888827, 0.130208423495779, 0.0131506932293246, -0.0193331976914392, -0.1866289436155165, 0.0632513206056038, 0.0569642858951279, 0.0281207279293273, -0.1064467541132379, 0.0689080807442208, -0.0085474395007338, 0.0479234399783188, 0.0956307692291641, -0.0915880880656516, 0.0463183701792933, -0.0850280314057272, -0.0953275868811423, 0.0453683990879155, -0.1519091878881361]| 12.1449613571166992|      0.50000000|[785, 112, 0, 14]                                                          |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
       8|[1.6040290462828437, 0.2480678606744263, 0.291581501580361, 1.8336136071888827, 0.130208423495779, 0.0131506932293246, -0.0193331976914392, -0.1866289436155165, 0.0632513206056038, 0.0569642858951279, 0.0281207279293273, -0.1064467541132379, 0.0689080807442208, -0.0085474395007338, 0.0479234399783188, 0.0956307692291641, -0.0915880880656516, 0.0463183701792933, -0.0850280314057272, -0.0953275868811423, 0.0453683990879155, -0.1519091878881361]| 12.1449613571166992|      0.25000000|[897, 128, 0, 16]                                                          |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
       9|[1.6040290462828437, 0.2480678606744263, 0.291581501580361, 1.8336136071888827, 0.130208423495779, 0.0131506932293246, -0.0193331976914392, -0.1866289436155165, 0.0632513206056038, 0.0569642858951279, 0.0281207279293273, -0.1064467541132379, 0.0689080807442208, -0.0085474395007338, 0.0479234399783188, 0.0956307692291641, -0.0915880880656516, 0.0463183701792933, -0.0850280314057272, -0.0953275868811423, 0.0453683990879155, -0.1519091878881361]| 12.1449613571166992|      0.12500000|[1009, 144, 0, 18]                                                         |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
      10|[1.6040290462828437, 0.2480678606744263, 0.291581501580361, 1.8336136071888827, 0.130208423495779, 0.0131506932293246, -0.0193331976914392, -0.1866289436155165, 0.0632513206056038, 0.0569642858951279, 0.0281207279293273, -0.1064467541132379, 0.0689080807442208, -0.0085474395007338, 0.0479234399783188, 0.0956307692291641, -0.0915880880656516, 0.0463183701792933, -0.0850280314057272, -0.0953275868811423, 0.0453683990879155, -0.1519091878881361]| 12.1449613571166992|      0.06250000|[1121, 160, 0, 20]                                                         |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
      11|[1.6040290462828437, 0.2480678606744263, 0.291581501580361, 1.8336136071888827, 0.130208423495779, 0.0131506932293246, -0.0193331976914392, -0.1866289436155165, 0.0632513206056038, 0.0569642858951279, 0.0281207279293273, -0.1064467541132379, 0.0689080807442208, -0.0085474395007338, 0.0479234399783188, 0.0956307692291641, -0.0915880880656516, 0.0463183701792933, -0.0850280314057272, -0.0953275868811423, 0.0453683990879155, -0.1519091878881361]| 12.1449613571166992|      0.03125000|[1233, 176, 0, 22]                                                         |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
      12|[1.6040290462828437, 0.2480678606744263, 0.291581501580361, 1.8336136071888827, 0.130208423495779, 0.0131506932293246, -0.0193331976914392, -0.1866289436155165, 0.0632513206056038, 0.0569642858951279, 0.0281207279293273, -0.1064467541132379, 0.0689080807442208, -0.0085474395007338, 0.0479234399783188, 0.0956307692291641, -0.0915880880656516, 0.0463183701792933, -0.0850280314057272, -0.0953275868811423, 0.0453683990879155, -0.1519091878881361]| 12.1449613571166992|      0.01562500|[1345, 192, 0, 24]                                                         |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
      13|[1.6040290462828437, 0.2480678606744263, 0.291581501580361, 1.8336136071888827, 0.130208423495779, 0.0131506932293246, -0.0193331976914392, -0.1866289436155165, 0.0632513206056038, 0.0569642858951279, 0.0281207279293273, -0.1064467541132379, 0.0689080807442208, -0.0085474395007338, 0.0479234399783188, 0.0956307692291641, -0.0915880880656516, 0.0463183701792933, -0.0850280314057272, -0.0953275868811423, 0.0453683990879155, -0.1519091878881361]| 12.1449613571166992|      0.00781250|[1457, 208, 0, 26]                                                         |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
      14|[1.6040290462828437, 0.2480678606744263, 0.291581501580361, 1.8336136071888827, 0.130208423495779, 0.0131506932293246, -0.0193331976914392, -0.1866289436155165, 0.0632513206056038, 0.0569642858951279, 0.0281207279293273, -0.1064467541132379, 0.0689080807442208, -0.0085474395007338, 0.0479234399783188, 0.0956307692291641, -0.0915880880656516, 0.0463183701792933, -0.0850280314057272, -0.0953275868811423, 0.0453683990879155, -0.1519091878881361]| 12.1449613571166992|      0.00390625|[1569, 224, 0, 28]                                                         |  | trying linear partial model with 57 points | exploitation failed, decreasing delta | actual_k=8
