k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]                                                  |564.8131740000001173|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.2693155214759783, -0.0895636958486902, 1.3901486173286908, 0.6089827336938335, 0.5804274416026178, 0.337960789405277]|479.7011488941733433|      2.00000000|[15, 2, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       2|[0.2693155214759783, -0.0895636958486902, 1.3901486173286908, 0.6089827336938335, 0.5804274416026178, 0.337960789405277]|479.7011488941733433|      1.00000000|[30, 4, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       3|[0.4351838106185187, 0.6513762565273504, 1.7729866910048084, 0.4440925685611053, 0.6740618218549119, -0.1529307905297911]|304.0214430425888281|      2.00000000|[45, 6, 3, 6]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       4|[-0.1749612876137753, 1.2880620838397814, 0.8361694319203307, 1.3459122966418031, 0.5981629033164618, -1.3881182547202218]|174.1156389812711893|      4.00000000|[60, 8, 4, 8]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       5|[-0.1749612876137753, 1.2880620838397814, 0.8361694319203307, 1.3459122966418031, 0.5981629033164618, -1.3881182547202218]|174.1156389812711893|      2.00000000|[75, 10, 5, 10]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       6|[-0.1749612876137753, 1.2880620838397814, 0.8361694319203307, 1.3459122966418031, 0.5981629033164618, -1.3881182547202218]|174.1156389812711893|      1.00000000|[90, 12, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       7|[-0.1749612876137753, 1.2880620838397814, 0.8361694319203307, 1.3459122966418031, 0.5981629033164618, -1.3881182547202218]|174.1156389812711893|      0.50000000|[105, 14, 7, 14]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       8|[-0.3363165650009489, 1.576297834594997, 0.8128133072553645, 1.7008933282073682, 0.6110031813799457, -1.2691110600872093]| 82.0056727001321804|      1.00000000|[120, 16, 8, 16]                                                           |  | used linear model with 17 points | iterate success | actual_k=2
       9|[-0.3363165650009489, 1.576297834594997, 0.8128133072553645, 1.7008933282073682, 0.6110031813799457, -1.2691110600872093]| 82.0056727001321804|      0.50000000|[135, 18, 9, 18]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
      10|[-0.3363165650009489, 1.576297834594997, 0.8128133072553645, 1.7008933282073682, 0.6110031813799457, -1.2691110600872093]| 82.0056727001321804|      0.25000000|[150, 20, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      11|[-0.3389014729891598, 1.5546894864270655, 0.8126416976733573, 1.586255431339405, 0.5423806867957721, -1.4792906830981774]| 66.1804861225432575|      0.50000000|[165, 22, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      12|[-0.3389014729891598, 1.5546894864270655, 0.8126416976733573, 1.586255431339405, 0.5423806867957721, -1.4792906830981774]| 66.1804861225432575|      0.25000000|[180, 24, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      13|[-0.3389014729891598, 1.5546894864270655, 0.8126416976733573, 1.586255431339405, 0.5423806867957721, -1.4792906830981774]| 66.1804861225432575|      0.12500000|[195, 26, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      14|[-0.3697829486804328, 1.578865875573443, 0.8157511384268752, 1.7032347527456486, 0.5343922370836762, -1.4611470594329696]| 56.1005687399738875|      0.25000000|[210, 28, 14, 28]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      15|[-0.3697829486804328, 1.578865875573443, 0.8157511384268752, 1.7032347527456486, 0.5343922370836762, -1.4611470594329696]| 56.1005687399738875|      0.12500000|[225, 30, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      16|[-0.4038779064270854, 1.5342426169227408, 0.7048005738254977, 1.6991001869255904, 0.5379728220026435, -1.472608108049904]| 50.8051397753644807|      0.25000000|[240, 32, 16, 32]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      17|[-0.4038779064270854, 1.5342426169227408, 0.7048005738254977, 1.6991001869255904, 0.5379728220026435, -1.472608108049904]| 50.8051397753644807|      0.12500000|[255, 34, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      18|[-0.3934897539452585, 1.519320820730028, 0.6295385770572275, 1.7111249696766524, 0.4724058453794521, -1.5446250109625812]| 49.2778090431311853|      0.25000000|[270, 36, 18, 36]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      19|[-0.3934897539452585, 1.519320820730028, 0.6295385770572275, 1.7111249696766524, 0.4724058453794521, -1.5446250109625812]| 49.2778090431311853|      0.12500000|[285, 38, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      20|[-0.4513538460590369, 1.5091738127347654, 0.5694120669542626, 1.778526189447176, 0.4491800056941951, -1.4856655011292166]| 44.5055398490902903|      0.25000000|[300, 40, 20, 40]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      21|[-0.4513538460590369, 1.5091738127347654, 0.5694120669542626, 1.778526189447176, 0.4491800056941951, -1.4856655011292166]| 44.5055398490902903|      0.12500000|[315, 42, 21, 42]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      22|[-0.4513538460590369, 1.5091738127347654, 0.5694120669542626, 1.778526189447176, 0.4491800056941951, -1.4856655011292166]| 44.5055398490902903|      0.06250000|[330, 44, 22, 44]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      23|[-0.4365507403577502, 1.4755152113853782, 0.5279622152552181, 1.7580438172728052, 0.4347412173982972, -1.5000918739783977]| 41.4342036583812501|      0.12500000|[345, 46, 23, 46]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      24|[-0.4365507403577502, 1.4755152113853782, 0.5279622152552181, 1.7580438172728052, 0.4347412173982972, -1.5000918739783977]| 41.4342036583812501|      0.06250000|[360, 48, 24, 48]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      25|[-0.4365507403577502, 1.4755152113853782, 0.5279622152552181, 1.7580438172728052, 0.4347412173982972, -1.5000918739783977]| 41.4342036583812501|      0.03125000|[375, 50, 25, 50]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      26|[-0.438115273678093, 1.4648062556500083, 0.5226617303056683, 1.7645189347493861, 0.4215706410170351, -1.52491014614422]| 40.7069839536678444|      0.06250000|[390, 52, 26, 52]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      27|[-0.438115273678093, 1.4648062556500083, 0.5226617303056683, 1.7645189347493861, 0.4215706410170351, -1.52491014614422]| 40.7069839536678444|      0.03125000|[405, 54, 27, 54]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      28|[-0.4466514611094528, 1.445452890308264, 0.507203812792427, 1.771088105561332, 0.4084335410566696, -1.5335390881253865]| 39.6568725401394389|      0.06250000|[420, 56, 28, 56]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      29|[-0.4561932518684956, 1.386234861911187, 0.4974955998195859, 1.7621479482396283, 0.3998670788446206, -1.5413409632192547]| 39.2225774503418094|      0.12500000|[435, 58, 29, 58]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
