k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]                                                  |  0.7790700756449387|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]                                                  |  0.7790700756449387|      0.50000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       2|[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]                                                  |  0.7790700756449387|      0.25000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       3|[1.0585856014537627, 2.015269465635666, 1.1150800000293002, 0.8137337758095704, 1.0099544813401582, 1.1039084517344349]|  0.5993271675697538|      0.50000000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       4|[1.0585856014537627, 2.015269465635666, 1.1150800000293002, 0.8137337758095704, 1.0099544813401582, 1.1039084517344349]|  0.5993271675697538|      0.25000000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       5|[1.0585856014537627, 2.015269465635666, 1.1150800000293002, 0.8137337758095704, 1.0099544813401582, 1.1039084517344349]|  0.5993271675697538|      0.12500000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       6|[1.1263287180875814, 2.0065175576656302, 1.0632693947189942, 0.8255496303887568, 1.0741894358343078, 1.0405902739756063]|  0.4595033943624589|      0.25000000|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate success | actual_k=1
       7|[1.1263287180875814, 2.0065175576656302, 1.0632693947189942, 0.8255496303887568, 1.0741894358343078, 1.0405902739756063]|  0.4595033943624589|      0.12500000|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       8|[1.168281236882653, 1.9804606983249524, 1.084979473283613, 0.7575130432982506, 1.1570497469665895, 1.0755172033125067]|  0.3753394897459808|      0.25000000|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
       9|[1.168281236882653, 1.9804606983249524, 1.084979473283613, 0.7575130432982506, 1.1570497469665895, 1.0755172033125067]|  0.3753394897459808|      0.12500000|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
      10|[1.2265235510274366, 2.071775227652764, 1.1073098252575695, 0.7003870335645543, 1.1623934159279414, 1.0857107881263446]|  0.3559596389399909|      0.25000000|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      11|[1.2265235510274366, 2.071775227652764, 1.1073098252575695, 0.7003870335645543, 1.1623934159279414, 1.0857107881263446]|  0.3559596389399909|      0.12500000|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
