k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, 10.0, 10.0]                                                              |83210000.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.099168466612216, 10.075465948255793, 9.007795129076845]                     |33161150.5741700716316700|      2.00000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=0
       2|[9.330750988277265, 10.139018871564765, 7.162396634190649]                      |4095003.0493082529865205|      4.00000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       3|[8.899193086561533, 8.719778123858244, 3.4476269942915407]                      |656555.6658015808789060|      8.00000000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       4|[8.899193086561533, 8.719778123858244, 3.4476269942915407]                      |656555.6658015808789060|      4.00000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[6.58100127091458, 5.536025598713744, 2.7478366224633066]                       |66466.5903175898420159|      8.00000000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       6|[6.58100127091458, 5.536025598713744, 2.7478366224633066]                       |66466.5903175898420159|      4.00000000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[3.532744521880906, 3.3061279763070326, 1.4303817330816795]                     |3292.9678468620318199|      8.00000000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       8|[3.532744521880906, 3.3061279763070326, 1.4303817330816795]                     |3292.9678468620318199|      4.00000000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       9|[3.532744521880906, 3.3061279763070326, 1.4303817330816795]                     |3292.9678468620318199|      2.00000000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[2.9514848077892224, 1.513669957580318, 2.1006289978104187]                     |436.7821064657937313|      4.00000000|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      11|[2.9514848077892224, 1.513669957580318, 2.1006289978104187]                     |436.7821064657937313|      2.00000000|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      12|[2.9514848077892224, 1.513669957580318, 2.1006289978104187]                     |436.7821064657937313|      1.00000000|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[2.9514848077892224, 1.513669957580318, 2.1006289978104187]                     |436.7821064657937313|      0.50000000|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      14|[2.8648236283874886, 1.1413411315079993, 1.7783541380085572]                    |166.0876142854779687|      1.00000000|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      15|[2.8648236283874886, 1.1413411315079993, 1.7783541380085572]                    |166.0876142854779687|      0.50000000|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
