k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[200.0, 400.0, 250.0]                                                           |4515242499193466.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[199.91602919936744, 399.4500656260715, 250.83097598582208]                     |3886556867064124.0000000000000000|      2.00000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       2|[199.91602919936744, 399.4500656260715, 250.83097598582208]                     |3886556867064124.0000000000000000|      1.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[200.21344064361057, 398.9992372969392, 251.67258174298217]                     |3383469488766498.0000000000000000|      2.00000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate success | actual_k=1
       4|[200.00802636478855, 397.93102172769534, 253.35089055594867]                    |2519161623754128.0000000000000000|      4.00000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate success | actual_k=1
       5|[200.00802636478855, 397.93102172769534, 253.35089055594867]                    |2519161623754128.0000000000000000|      2.00000000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[199.8844826536496, 396.9534252415018, 255.09130489213993]                      |1883483469413160.7500000000000000|      4.00000000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       7|[200.00788242562908, 394.6379982562746, 258.35068679249423]                     |1067107386124224.7500000000000000|      8.00000000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       8|[198.00325981125545, 388.496092203659, 263.06857596189883]                      |380248402642300.2500000000000000|     16.00000000|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       9|[198.00325981125545, 388.496092203659, 263.06857596189883]                      |380248402642300.2500000000000000|      8.00000000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[199.03676251150677, 382.76656981758634, 268.55532776930414]                    |137417251842496.2812500000000000|     16.00000000|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      11|[199.03676251150677, 382.76656981758634, 268.55532776930414]                    |137417251842496.2812500000000000|      8.00000000|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      12|[199.03676251150677, 382.76656981758634, 268.55532776930414]                    |137417251842496.2812500000000000|      4.00000000|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      13|[198.61865723537395, 380.4544683326851, 271.79251400144886]                     |82219757987237.8125000000000000|      8.00000000|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      14|[197.6876863283549, 376.1830335474929, 278.49237504822696]                      |30505666927363.5468750000000000|     16.00000000|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      15|[195.74158037298412, 364.3613357428883, 289.097097233512]                       |4811232089328.5566406250000000|     32.00000000|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
