k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]                                                  |564.8131740000001173|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.0240077967941735, -0.0250136100255777, 1.0301518821592144, 0.401262634191721, 0.7461561917121273, 0.2417350748005629]|476.0170593261718750|      2.00000000|[33, 0, 0, 2]                                                              |  | trying linear partial model with 17 points | iterate success | actual_k=0
       2|[-0.0240077967941735, -0.0250136100255777, 1.0301518821592144, 0.401262634191721, 0.7461561917121273, 0.2417350748005629]|476.0170593261718750|      1.00000000|[65, 0, 0, 4]                                                              |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[0.6973772542563179, 0.6324276652052542, 0.9446886078700341, 0.3573351604583154, 0.5813976101185578, 0.3465949495581934]|433.5109252929687500|      2.00000000|[97, 0, 0, 6]                                                              |  | trying linear partial model with 17 points | iterate success | actual_k=0
       4|[0.6973772542563179, 0.6324276652052542, 0.9446886078700341, 0.3573351604583154, 0.5813976101185578, 0.3465949495581934]|433.5109252929687500|      1.00000000|[129, 0, 0, 8]                                                             |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[0.9125736086626856, 0.9793734859208384, 1.3541448453106473, -0.1226002425327753, 1.0676180266758115, -0.0994055343404736]|298.9706726074218750|      2.00000000|[161, 0, 0, 10]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
       6|[0.9125736086626856, 0.9793734859208384, 1.3541448453106473, -0.1226002425327753, 1.0676180266758115, -0.0994055343404736]|298.9706726074218750|      1.00000000|[193, 0, 0, 12]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[0.9125736086626856, 0.9793734859208384, 1.3541448453106473, -0.1226002425327753, 1.0676180266758115, -0.0994055343404736]|298.9706726074218750|      0.50000000|[225, 0, 0, 14]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[1.1192285882304291, 0.9676536504281106, 1.804841852351955, -0.123704843404086, 1.0044666601923988, -0.1056711139688227]|191.3570404052734375|      1.00000000|[257, 0, 0, 16]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
       9|[1.1192285882304291, 0.9676536504281106, 1.804841852351955, -0.123704843404086, 1.0044666601923988, -0.1056711139688227]|191.3570404052734375|      0.50000000|[289, 0, 0, 18]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[1.1192285882304291, 0.9676536504281106, 1.804841852351955, -0.123704843404086, 1.0044666601923988, -0.1056711139688227]|191.3570404052734375|      0.25000000|[321, 0, 0, 20]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
