k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[200.0, 400.0, 250.0]                                                           |4515242499193466.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[199.9347715611744, 399.47076140997484, 250.84596203555276]                     |3886332027863040.0000000000000000|      2.00000000|[9, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | iterate success | actual_k=0
       2|[199.76225399739872, 398.29119671669, 252.45184647241138]                       |2889671176617984.0000000000000000|      4.00000000|[17, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       3|[198.2246576985221, 397.9238473119084, 256.1261970322365]                       |1762947441360896.0000000000000000|      8.00000000|[25, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       4|[203.69392436131722, 396.95828335449136, 261.8842182561793]                     |876604972597248.0000000000000000|     16.00000000|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       5|[212.69311184094863, 387.87660506457246, 271.50387231154224]                    |168038313754624.0000000000000000|     32.00000000|[41, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       6|[210.8359236652678, 371.0639348072806, 298.66791050360206]                      |3892934344704.0000000000000000|     64.00000000|[49, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       7|[210.8359236652678, 371.0639348072806, 298.66791050360206]                      |3892934344704.0000000000000000|     32.00000000|[57, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[210.8359236652678, 371.0639348072806, 298.66791050360206]                      |3892934344704.0000000000000000|     16.00000000|[65, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[208.03722630121615, 360.7294487390592, 310.557640978688]                       |711212793856.0000000000000000|     32.00000000|[73, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      10|[208.03722630121615, 360.7294487390592, 310.557640978688]                       |711212793856.0000000000000000|     16.00000000|[81, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      11|[206.78945548262024, 352.8418207781889, 324.4222864171822]                      |141952974848.0000000000000000|     32.00000000|[89, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      12|[203.50829567822962, 335.72058319122056, 351.25691355878104]                    |5310558208.0000000000000000|     64.00000000|[97, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      13|[203.50829567822962, 335.72058319122056, 351.25691355878104]                    |5310558208.0000000000000000|     32.00000000|[105, 0, 0, 26]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      14|[202.10260175166627, 305.589836740275, 340.57224496805463]                      |1549667200.0000000000000000|     64.00000000|[113, 0, 0, 28]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      15|[202.10260175166627, 305.589836740275, 340.57224496805463]                      |1549667200.0000000000000000|     32.00000000|[121, 0, 0, 30]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
