k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[5.0, 2.5, 0.15]                                                                | 12.1107057543610033|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[5.0, 2.5, 0.15]                                                                | 12.1107057543610033|      0.50000000|[5, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[5.0, 2.5, 0.15]                                                                | 12.1107057543610033|      0.25000000|[10, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[5.003477807184946, 2.5008604832137187, 0.3999743275334954]                     |  6.7635979652404785|      0.50000000|[15, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[5.003477807184946, 2.5008604832137187, 0.3999743275334954]                     |  6.7635979652404785|      0.25000000|[20, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[5.003477807184946, 2.5008604832137187, 0.3999743275334954]                     |  6.7635979652404785|      0.12500000|[24, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[5.003477807184946, 2.5008604832137187, 0.3999743275334954]                     |  6.7635979652404785|      0.06250000|[28, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[5.003477807184946, 2.5008604832137187, 0.3999743275334954]                     |  6.7635979652404785|      0.03125000|[33, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[5.026795666964912, 2.505407462946067, 0.3796724830213465]                      |  6.6236968040466309|      0.06250000|[38, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       9|[5.026795666964912, 2.505407462946067, 0.3796724830213465]                      |  6.6236968040466309|      0.03125000|[42, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[5.026795666964912, 2.505407462946067, 0.3796724830213465]                      |  6.6236968040466309|      0.01562500|[47, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[5.026795666964912, 2.505407462946067, 0.3796724830213465]                      |  6.6236968040466309|      0.00781250|[52, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[5.027183889750283, 2.5060966402052993, 0.3719001298368678]                     |  6.6126990318298340|      0.01562500|[57, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      13|[5.027183889750283, 2.5060966402052993, 0.3719001298368678]                     |  6.6126990318298340|      0.00781250|[62, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[5.027183889750283, 2.5060966402052993, 0.3719001298368678]                     |  6.6126990318298340|      0.00390625|[67, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[5.027183889750283, 2.5060966402052993, 0.3719001298368678]                     |  6.6126990318298340|      0.00195312|[72, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
