k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]                                        |181.6199359999999956|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.0258138606055398, 1.114359357541793, 0.130769586928792, 0.6331542146775913, 0.200224338024598, 1.3164942819453849, 0.6922034217065798, 0.9944688818969561]|126.1451328958967224|      2.00000000|[13, 0, 1, 4]                                                              |  | used linear model with 13 points | iterate success | actual_k=0
       2|[-0.0258138606055398, 1.114359357541793, 0.130769586928792, 0.6331542146775913, 0.200224338024598, 1.3164942819453849, 0.6922034217065798, 0.9944688818969561]|126.1451328958967224|      1.00000000|[26, 0, 2, 8]                                                              |  | used linear model with 13 points | iterate failure | actual_k=0
       3|[0.245814259957508, 1.3456445873750238, 0.304016311160936, 0.4416439452254239, 0.7177137213614054, 1.777150734146558, 0.8997798814671598, 1.5263965840802032]| 80.0338562031338512|      2.00000000|[39, 0, 3, 12]                                                             |  | used linear model with 13 points | iterate success | actual_k=0
       4|[0.245814259957508, 1.3456445873750238, 0.304016311160936, 0.4416439452254239, 0.7177137213614054, 1.777150734146558, 0.8997798814671598, 1.5263965840802032]| 80.0338562031338512|      1.00000000|[52, 0, 4, 16]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       5|[0.245814259957508, 1.3456445873750238, 0.304016311160936, 0.4416439452254239, 0.7177137213614054, 1.777150734146558, 0.8997798814671598, 1.5263965840802032]| 80.0338562031338512|      0.50000000|[65, 0, 5, 20]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       6|[0.245814259957508, 1.3456445873750238, 0.304016311160936, 0.4416439452254239, 0.7177137213614054, 1.777150734146558, 0.8997798814671598, 1.5263965840802032]| 80.0338562031338512|      0.25000000|[78, 0, 6, 24]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       7|[0.182810853261808, 1.1810227849665917, 0.2106396140825205, 0.4234252805680604, 0.6646561267362842, 1.652194541704258, 0.9313439613548297, 1.5807441332533512]| 56.0266736315041101|      0.50000000|[91, 0, 7, 28]                                                             |  | used linear model with 13 points | iterate success | actual_k=0
       8|[0.182810853261808, 1.1810227849665917, 0.2106396140825205, 0.4234252805680604, 0.6646561267362842, 1.652194541704258, 0.9313439613548297, 1.5807441332533512]| 56.0266736315041101|      0.25000000|[104, 0, 8, 32]                                                            |  | used linear model with 13 points | iterate failure | actual_k=0
       9|[0.182810853261808, 1.1810227849665917, 0.2106396140825205, 0.4234252805680604, 0.6646561267362842, 1.652194541704258, 0.9313439613548297, 1.5807441332533512]| 56.0266736315041101|      0.12500000|[117, 0, 9, 36]                                                            |  | used linear model with 13 points | iterate failure | actual_k=0
      10|[0.1578129720828675, 1.1913728963753392, 0.2428188406459871, 0.3514659332742625, 0.6830206169284154, 1.7077678096125917, 0.8760157431339831, 1.5339202450370164]| 52.1217721153796063|      0.25000000|[130, 0, 10, 40]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
      11|[0.1578129720828675, 1.1913728963753392, 0.2428188406459871, 0.3514659332742625, 0.6830206169284154, 1.7077678096125917, 0.8760157431339831, 1.5339202450370164]| 52.1217721153796063|      0.12500000|[143, 0, 11, 44]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
