k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[11.0, 3.0, 0.5, 40.0, -0.7, -1.3, 25.0, -0.3, 1.4]                             |1153.9439484858455671|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.370430915905986, 3.2318777404676644, 0.3228539498257337, 40.23661606032487, -0.5035961193963983, -1.0335804087535214, 25.2301972309749, -0.2215313265282813, 0.857961608415407]|1019.8118286132812500|      2.00000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[10.370430915905986, 3.2318777404676644, 0.3228539498257337, 40.23661606032487, -0.5035961193963983, -1.0335804087535214, 25.2301972309749, -0.2215313265282813, 0.857961608415407]|1019.8118286132812500|      1.00000000|[19, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 10 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[10.779274515567225, 3.459846156791105, 0.5126727660815108, 40.11932768705255, -0.6181430841224148, -0.8915413042995227, 25.681909949644915, -0.8855347877359478, 0.6280736451825413]|922.6114501953125000|      2.00000000|[29, 9, 1, 10]                                                             |  | trying linear partial model with 4 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | iterate success | actual_k=1
       4|[10.779274515567225, 3.459846156791105, 0.5126727660815108, 40.11932768705255, -0.6181430841224148, -0.8915413042995227, 25.681909949644915, -0.8855347877359478, 0.6280736451825413]|922.6114501953125000|      1.00000000|[43, 13, 3, 16]                                                            |  | trying linear partial model with 4 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 12 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[10.800000025677893, 3.211694260769738, 0.6228785860943682, 40.51299978971668, -0.9867279110867854, -1.3337867382656874, 25.872486419195724, -0.6991274721192839, 1.235004585205217]|879.8834838867187500|      2.00000000|[49, 15, 3, 18]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       6|[10.800000025677893, 3.211694260769738, 0.6228785860943682, 40.51299978971668, -0.9867279110867854, -1.3337867382656874, 25.872486419195724, -0.6991274721192839, 1.235004585205217]|879.8834838867187500|      1.00000000|[62, 19, 4, 23]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[10.800000025677893, 3.211694260769738, 0.6228785860943682, 40.51299978971668, -0.9867279110867854, -1.3337867382656874, 25.872486419195724, -0.6991274721192839, 1.235004585205217]|879.8834838867187500|      0.50000000|[75, 23, 5, 28]                                                            |  | trying linear partial model with 4 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[10.832591230565262, 2.9295327289230273, 0.4033485619966174, 40.6190684230298, -0.8763329180166367, -1.3701052921940233, 26.132985897116377, -0.8640906211683141, 1.198952033823597]|858.1031494140625000|      1.00000000|[81, 25, 5, 30]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       9|[10.832591230565262, 2.9295327289230273, 0.4033485619966174, 40.6190684230298, -0.8763329180166367, -1.3701052921940233, 26.132985897116377, -0.8640906211683141, 1.198952033823597]|858.1031494140625000|      0.50000000|[93, 29, 5, 34]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 10 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[10.832591230565262, 2.9295327289230273, 0.4033485619966174, 40.6190684230298, -0.8763329180166367, -1.3701052921940233, 26.132985897116377, -0.8640906211683141, 1.198952033823597]|858.1031494140625000|      0.25000000|[106, 33, 6, 39]                                                           |  | trying linear partial model with 4 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
