k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.1607244659792602, 0.2051196024514698, -0.1690992741959759, 0.1574737036584726, 0.9203888550406408, -0.0081047693295121, 0.0111952331175153, 0.148606151530546, 0.0964914999475546]|35952.8894708428124432|      2.00000000|[55, 0, 1, 5]                                                              |  | used quadratic model with 55 points | iterate success | actual_k=0
       2|[-0.1607244659792602, 0.2051196024514698, -0.1690992741959759, 0.1574737036584726, 0.9203888550406408, -0.0081047693295121, 0.0111952331175153, 0.148606151530546, 0.0964914999475546]|35952.8894708428124432|      1.00000000|[110, 0, 2, 10]                                                            |  | used quadratic model with 55 points | iterate failure | actual_k=0
       3|[-0.1607244659792602, 0.2051196024514698, -0.1690992741959759, 0.1574737036584726, 0.9203888550406408, -0.0081047693295121, 0.0111952331175153, 0.148606151530546, 0.0964914999475546]|35952.8894708428124432|      0.50000000|[165, 0, 3, 15]                                                            |  | used quadratic model with 55 points | iterate failure | actual_k=0
       4|[-0.1607244659792602, 0.2051196024514698, -0.1690992741959759, 0.1574737036584726, 0.9203888550406408, -0.0081047693295121, 0.0111952331175153, 0.148606151530546, 0.0964914999475546]|35952.8894708428124432|      0.25000000|[220, 0, 4, 20]                                                            |  | used quadratic model with 55 points | iterate failure | actual_k=0
       5|[-0.1536926335400125, 0.1953589122349535, -0.1853094074268575, -0.0846034166422069, 0.9782321903620447, -0.0055599375637571, 0.0144155556481009, 0.1598664368474064, 0.0977913284641394]|9935.0785940659625339|      0.50000000|[275, 0, 5, 25]                                                            |  | used quadratic model with 55 points | iterate success | actual_k=0
       6|[-0.1536926335400125, 0.1953589122349535, -0.1853094074268575, -0.0846034166422069, 0.9782321903620447, -0.0055599375637571, 0.0144155556481009, 0.1598664368474064, 0.0977913284641394]|9935.0785940659625339|      0.25000000|[330, 0, 6, 30]                                                            |  | used quadratic model with 55 points | iterate failure | actual_k=0
       7|[-0.1536926335400125, 0.1953589122349535, -0.1853094074268575, -0.0846034166422069, 0.9782321903620447, -0.0055599375637571, 0.0144155556481009, 0.1598664368474064, 0.0977913284641394]|9935.0785940659625339|      0.12500000|[385, 0, 7, 35]                                                            |  | used quadratic model with 55 points | iterate failure | actual_k=0
       8|[-0.1372728230240537, 0.2061870293749917, -0.1852852684411101, 0.0304481619905832, 1.0143537946049113, 0.0101720773925739, 0.0037021878279754, 0.1666005136255533, 0.1147879382868699]|1184.0710975773272366|      0.25000000|[440, 0, 8, 40]                                                            |  | used quadratic model with 55 points | iterate success | actual_k=0
       9|[-0.1372728230240537, 0.2061870293749917, -0.1852852684411101, 0.0304481619905832, 1.0143537946049113, 0.0101720773925739, 0.0037021878279754, 0.1666005136255533, 0.1147879382868699]|1184.0710975773272366|      0.12500000|[495, 0, 9, 45]                                                            |  | used quadratic model with 55 points | iterate failure | actual_k=0
      10|[-0.1372728230240537, 0.2061870293749917, -0.1852852684411101, 0.0304481619905832, 1.0143537946049113, 0.0101720773925739, 0.0037021878279754, 0.1666005136255533, 0.1147879382868699]|1184.0710975773272366|      0.06250000|[550, 0, 10, 50]                                                           |  | used quadratic model with 55 points | iterate failure | actual_k=0
      11|[-0.1372728230240537, 0.2061870293749917, -0.1852852684411101, 0.0304481619905832, 1.0143537946049113, 0.0101720773925739, 0.0037021878279754, 0.1666005136255533, 0.1147879382868699]|1184.0710975773272366|      0.03125000|[605, 0, 11, 55]                                                           |  | used quadratic model with 55 points | iterate failure | actual_k=0
      12|[-0.1360042090688917, 0.207520928033349, -0.18465885533861, 5.49862373441e-05, 1.0146670838182734, 0.0036972878149338, 0.0026058560900528, 0.1645233553336794, 0.1160121634314944]|  1.8859109544452342|      0.06250000|[660, 0, 12, 60]                                                           |  | used quadratic model with 55 points | iterate success | actual_k=0
