k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[100.0, 1.0, 0.1]                                                               |19915.8527280256748782|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[100.0, 1.0, 0.1]                                                               |19915.8527280256748782|      0.50000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=0
       2|[100.0, 1.0, 0.1]                                                               |19915.8527280256748782|      0.25000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       3|[99.96414665439787, 1.074916567115146, -0.1358008600086423]                     |17949.3702147521289589|      0.50000000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       4|[99.96414665439787, 1.074916567115146, -0.1358008600086423]                     |17949.3702147521289589|      0.25000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[99.96414665439787, 1.074916567115146, -0.1358008600086423]                     |17949.3702147521289589|      0.12500000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[99.9974102960007, 0.993574364210601, -0.0469077996835835]                      |16380.3940111121883092|      0.25000000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       7|[99.9974102960007, 0.993574364210601, -0.0469077996835835]                      |16380.3940111121883092|      0.12500000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[99.98414966938773, 1.032437434764321, 0.0711549697611833]                      |14017.5921938364335801|      0.25000000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       9|[99.98414966938773, 1.032437434764321, 0.0711549697611833]                      |14017.5921938364335801|      0.12500000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[99.98414966938773, 1.032437434764321, 0.0711549697611833]                      |14017.5921938364335801|      0.06250000|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[99.97200622454137, 1.032198230057418, 0.0098464913232731]                      |2822.5942168342899095|      0.12500000|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      12|[99.97200622454137, 1.032198230057418, 0.0098464913232731]                      |2822.5942168342899095|      0.06250000|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[99.97200622454137, 1.032198230057418, 0.0098464913232731]                      |2822.5942168342899095|      0.03125000|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      14|[99.97200622454137, 1.032198230057418, 0.0098464913232731]                      |2822.5942168342899095|      0.01562500|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      15|[99.97625324053787, 1.033724332682445, 0.0248055852431404]                      |1872.8067659221492249|      0.03125000|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
