k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[4.1365481575, 0.02, 0.17712896, 0.02, 1.6563998369, 0.02, 1.1912670842, 0.02, 0.29540308, 0.02, 0.33044829, 0.02, 0.081689693, 0.02, 0.25366977, 0.02, 1.3979474874, 0.02, 1.1726179747, 0.02, 0.09020114, 0.02, 0.12924843, 0.02, 0.30391686, 0.02, 0.1048141, 0.02, 0.1179912, 0.02, 0.54496913, 0.02, 0.007783709, 0.02, 0.089054003, 0.02, 0.11016803, 0.02, 0.039888624, 0.02, 0.098350298, 0.02, 0.28456638, 0.02, 0.4217993, 0.02, 0.16224077, 0.02, 0.071969874, 0.02, 0.31414176, 0.02, 0.14023746, 0.02, 0.28639923, 0.02, 0.062871838, 0.02, 0.15213167, 0.02, 0.19259894, 0.02, 0.15142465, 0.02, 0.39070068, 0.02]|263050.2304652961902320|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[4.156982808994598, 0.132372963544096, 0.3581517675448542, 0.0306622947171784, 1.5651171658077132, 0.0443559169973718, 1.1433018481058927, 0.0339566839109135, 0.246612312893071, 0.2015450501186205, 0.3941105803595505, -0.0778475982621746, 0.1124873010094065, 0.1331588253980852, 0.0745908707086138, -0.0445508350118808, 1.4579695173114908, 0.0087108194749231, 1.1094825737038783, 0.1222934190115619, -0.0038292115794981, -0.0866121491140017, 0.2247505332647891, 0.2832366190254806, 0.5446272464275167, 0.1615978886763891, 0.027687741919313, 0.1415101442878852, 0.2110427653291969, 0.0272172733440787, 0.5649308137978336, 0.1573258118169606, -0.2233705568887838, -0.0390181815296782, 0.024789906340189, -0.0378772916939032, 0.0807080862243627, -0.1420988262487796, 0.1066667791668772, 0.2861418078555607, 0.292795725771499, 0.0165206782137873, 0.2070606816211692, 0.0036149286552372, 0.4855113734356201, 0.0074559260052903, 0.215279592949235, 0.2288450753023614, 0.3022949557995206, -0.1827104003822511, 0.3165309864310142, 0.2077695832760645, 0.0621171875299512, -0.1407536737738731, 0.5136907108482911, 0.1170196778621638, 0.1397517768785513, 0.0932619738347664, 0.1529245743073438, -0.0616742347719794, -0.0741454762882712, 0.1436353770571207, 0.0715928465828232, 0.089816869991385, 0.3664261920373298, 0.020954484854128]|134615.2187500000000000|      2.00000000|[95, 32, 0, 2]                                                             |  | trying linear partial model with 49 points | iterate success | actual_k=16
       2|[4.156982808994598, 0.132372963544096, 0.3581517675448542, 0.0306622947171784, 1.5651171658077132, 0.0443559169973718, 1.1433018481058927, 0.0339566839109135, 0.246612312893071, 0.2015450501186205, 0.3941105803595505, -0.0778475982621746, 0.1124873010094065, 0.1331588253980852, 0.0745908707086138, -0.0445508350118808, 1.4579695173114908, 0.0087108194749231, 1.1094825737038783, 0.1222934190115619, -0.0038292115794981, -0.0866121491140017, 0.2247505332647891, 0.2832366190254806, 0.5446272464275167, 0.1615978886763891, 0.027687741919313, 0.1415101442878852, 0.2110427653291969, 0.0272172733440787, 0.5649308137978336, 0.1573258118169606, -0.2233705568887838, -0.0390181815296782, 0.024789906340189, -0.0378772916939032, 0.0807080862243627, -0.1420988262487796, 0.1066667791668772, 0.2861418078555607, 0.292795725771499, 0.0165206782137873, 0.2070606816211692, 0.0036149286552372, 0.4855113734356201, 0.0074559260052903, 0.215279592949235, 0.2288450753023614, 0.3022949557995206, -0.1827104003822511, 0.3165309864310142, 0.2077695832760645, 0.0621171875299512, -0.1407536737738731, 0.5136907108482911, 0.1170196778621638, 0.1397517768785513, 0.0932619738347664, 0.1529245743073438, -0.0616742347719794, -0.0741454762882712, 0.1436353770571207, 0.0715928465828232, 0.089816869991385, 0.3664261920373298, 0.020954484854128]|134615.2187500000000000|      1.00000000|[235, 80, 0, 5]                                                            |  | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 95 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=16
       3|[4.156982808994598, 0.132372963544096, 0.3581517675448542, 0.0306622947171784, 1.5651171658077132, 0.0443559169973718, 1.1433018481058927, 0.0339566839109135, 0.246612312893071, 0.2015450501186205, 0.3941105803595505, -0.0778475982621746, 0.1124873010094065, 0.1331588253980852, 0.0745908707086138, -0.0445508350118808, 1.4579695173114908, 0.0087108194749231, 1.1094825737038783, 0.1222934190115619, -0.0038292115794981, -0.0866121491140017, 0.2247505332647891, 0.2832366190254806, 0.5446272464275167, 0.1615978886763891, 0.027687741919313, 0.1415101442878852, 0.2110427653291969, 0.0272172733440787, 0.5649308137978336, 0.1573258118169606, -0.2233705568887838, -0.0390181815296782, 0.024789906340189, -0.0378772916939032, 0.0807080862243627, -0.1420988262487796, 0.1066667791668772, 0.2861418078555607, 0.292795725771499, 0.0165206782137873, 0.2070606816211692, 0.0036149286552372, 0.4855113734356201, 0.0074559260052903, 0.215279592949235, 0.2288450753023614, 0.3022949557995206, -0.1827104003822511, 0.3165309864310142, 0.2077695832760645, 0.0621171875299512, -0.1407536737738731, 0.5136907108482911, 0.1170196778621638, 0.1397517768785513, 0.0932619738347664, 0.1529245743073438, -0.0616742347719794, -0.0741454762882712, 0.1436353770571207, 0.0715928465828232, 0.089816869991385, 0.3664261920373298, 0.020954484854128]|134615.2187500000000000|      0.50000000|[375, 128, 0, 8]                                                           |  | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 96 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=16
       4|[4.156982808994598, 0.132372963544096, 0.3581517675448542, 0.0306622947171784, 1.5651171658077132, 0.0443559169973718, 1.1433018481058927, 0.0339566839109135, 0.246612312893071, 0.2015450501186205, 0.3941105803595505, -0.0778475982621746, 0.1124873010094065, 0.1331588253980852, 0.0745908707086138, -0.0445508350118808, 1.4579695173114908, 0.0087108194749231, 1.1094825737038783, 0.1222934190115619, -0.0038292115794981, -0.0866121491140017, 0.2247505332647891, 0.2832366190254806, 0.5446272464275167, 0.1615978886763891, 0.027687741919313, 0.1415101442878852, 0.2110427653291969, 0.0272172733440787, 0.5649308137978336, 0.1573258118169606, -0.2233705568887838, -0.0390181815296782, 0.024789906340189, -0.0378772916939032, 0.0807080862243627, -0.1420988262487796, 0.1066667791668772, 0.2861418078555607, 0.292795725771499, 0.0165206782137873, 0.2070606816211692, 0.0036149286552372, 0.4855113734356201, 0.0074559260052903, 0.215279592949235, 0.2288450753023614, 0.3022949557995206, -0.1827104003822511, 0.3165309864310142, 0.2077695832760645, 0.0621171875299512, -0.1407536737738731, 0.5136907108482911, 0.1170196778621638, 0.1397517768785513, 0.0932619738347664, 0.1529245743073438, -0.0616742347719794, -0.0741454762882712, 0.1436353770571207, 0.0715928465828232, 0.089816869991385, 0.3664261920373298, 0.020954484854128]|134615.2187500000000000|      0.25000000|[515, 176, 0, 11]                                                          |  | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 95 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=16
       5|[4.156982808994598, 0.132372963544096, 0.3581517675448542, 0.0306622947171784, 1.5651171658077132, 0.0443559169973718, 1.1433018481058927, 0.0339566839109135, 0.246612312893071, 0.2015450501186205, 0.3941105803595505, -0.0778475982621746, 0.1124873010094065, 0.1331588253980852, 0.0745908707086138, -0.0445508350118808, 1.4579695173114908, 0.0087108194749231, 1.1094825737038783, 0.1222934190115619, -0.0038292115794981, -0.0866121491140017, 0.2247505332647891, 0.2832366190254806, 0.5446272464275167, 0.1615978886763891, 0.027687741919313, 0.1415101442878852, 0.2110427653291969, 0.0272172733440787, 0.5649308137978336, 0.1573258118169606, -0.2233705568887838, -0.0390181815296782, 0.024789906340189, -0.0378772916939032, 0.0807080862243627, -0.1420988262487796, 0.1066667791668772, 0.2861418078555607, 0.292795725771499, 0.0165206782137873, 0.2070606816211692, 0.0036149286552372, 0.4855113734356201, 0.0074559260052903, 0.215279592949235, 0.2288450753023614, 0.3022949557995206, -0.1827104003822511, 0.3165309864310142, 0.2077695832760645, 0.0621171875299512, -0.1407536737738731, 0.5136907108482911, 0.1170196778621638, 0.1397517768785513, 0.0932619738347664, 0.1529245743073438, -0.0616742347719794, -0.0741454762882712, 0.1436353770571207, 0.0715928465828232, 0.089816869991385, 0.3664261920373298, 0.020954484854128]|134615.2187500000000000|      0.12500000|[653, 224, 0, 14]                                                          |  | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 94 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=16
       6|[4.156982808994598, 0.132372963544096, 0.3581517675448542, 0.0306622947171784, 1.5651171658077132, 0.0443559169973718, 1.1433018481058927, 0.0339566839109135, 0.246612312893071, 0.2015450501186205, 0.3941105803595505, -0.0778475982621746, 0.1124873010094065, 0.1331588253980852, 0.0745908707086138, -0.0445508350118808, 1.4579695173114908, 0.0087108194749231, 1.1094825737038783, 0.1222934190115619, -0.0038292115794981, -0.0866121491140017, 0.2247505332647891, 0.2832366190254806, 0.5446272464275167, 0.1615978886763891, 0.027687741919313, 0.1415101442878852, 0.2110427653291969, 0.0272172733440787, 0.5649308137978336, 0.1573258118169606, -0.2233705568887838, -0.0390181815296782, 0.024789906340189, -0.0378772916939032, 0.0807080862243627, -0.1420988262487796, 0.1066667791668772, 0.2861418078555607, 0.292795725771499, 0.0165206782137873, 0.2070606816211692, 0.0036149286552372, 0.4855113734356201, 0.0074559260052903, 0.215279592949235, 0.2288450753023614, 0.3022949557995206, -0.1827104003822511, 0.3165309864310142, 0.2077695832760645, 0.0621171875299512, -0.1407536737738731, 0.5136907108482911, 0.1170196778621638, 0.1397517768785513, 0.0932619738347664, 0.1529245743073438, -0.0616742347719794, -0.0741454762882712, 0.1436353770571207, 0.0715928465828232, 0.089816869991385, 0.3664261920373298, 0.020954484854128]|134615.2187500000000000|      0.06250000|[795, 272, 0, 17]                                                          |  | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 95 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=16
       7|[4.156982808994598, 0.132372963544096, 0.3581517675448542, 0.0306622947171784, 1.5651171658077132, 0.0443559169973718, 1.1433018481058927, 0.0339566839109135, 0.246612312893071, 0.2015450501186205, 0.3941105803595505, -0.0778475982621746, 0.1124873010094065, 0.1331588253980852, 0.0745908707086138, -0.0445508350118808, 1.4579695173114908, 0.0087108194749231, 1.1094825737038783, 0.1222934190115619, -0.0038292115794981, -0.0866121491140017, 0.2247505332647891, 0.2832366190254806, 0.5446272464275167, 0.1615978886763891, 0.027687741919313, 0.1415101442878852, 0.2110427653291969, 0.0272172733440787, 0.5649308137978336, 0.1573258118169606, -0.2233705568887838, -0.0390181815296782, 0.024789906340189, -0.0378772916939032, 0.0807080862243627, -0.1420988262487796, 0.1066667791668772, 0.2861418078555607, 0.292795725771499, 0.0165206782137873, 0.2070606816211692, 0.0036149286552372, 0.4855113734356201, 0.0074559260052903, 0.215279592949235, 0.2288450753023614, 0.3022949557995206, -0.1827104003822511, 0.3165309864310142, 0.2077695832760645, 0.0621171875299512, -0.1407536737738731, 0.5136907108482911, 0.1170196778621638, 0.1397517768785513, 0.0932619738347664, 0.1529245743073438, -0.0616742347719794, -0.0741454762882712, 0.1436353770571207, 0.0715928465828232, 0.089816869991385, 0.3664261920373298, 0.020954484854128]|134615.2187500000000000|      0.03125000|[935, 320, 0, 20]                                                          |  | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 96 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=16
       8|[4.156982808994598, 0.132372963544096, 0.3581517675448542, 0.0306622947171784, 1.5651171658077132, 0.0443559169973718, 1.1433018481058927, 0.0339566839109135, 0.246612312893071, 0.2015450501186205, 0.3941105803595505, -0.0778475982621746, 0.1124873010094065, 0.1331588253980852, 0.0745908707086138, -0.0445508350118808, 1.4579695173114908, 0.0087108194749231, 1.1094825737038783, 0.1222934190115619, -0.0038292115794981, -0.0866121491140017, 0.2247505332647891, 0.2832366190254806, 0.5446272464275167, 0.1615978886763891, 0.027687741919313, 0.1415101442878852, 0.2110427653291969, 0.0272172733440787, 0.5649308137978336, 0.1573258118169606, -0.2233705568887838, -0.0390181815296782, 0.024789906340189, -0.0378772916939032, 0.0807080862243627, -0.1420988262487796, 0.1066667791668772, 0.2861418078555607, 0.292795725771499, 0.0165206782137873, 0.2070606816211692, 0.0036149286552372, 0.4855113734356201, 0.0074559260052903, 0.215279592949235, 0.2288450753023614, 0.3022949557995206, -0.1827104003822511, 0.3165309864310142, 0.2077695832760645, 0.0621171875299512, -0.1407536737738731, 0.5136907108482911, 0.1170196778621638, 0.1397517768785513, 0.0932619738347664, 0.1529245743073438, -0.0616742347719794, -0.0741454762882712, 0.1436353770571207, 0.0715928465828232, 0.089816869991385, 0.3664261920373298, 0.020954484854128]|134615.2187500000000000|      0.01562500|[1073, 368, 0, 23]                                                         |  | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 94 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=16
       9|[4.156982808994598, 0.132372963544096, 0.3581517675448542, 0.0306622947171784, 1.5651171658077132, 0.0443559169973718, 1.1433018481058927, 0.0339566839109135, 0.246612312893071, 0.2015450501186205, 0.3941105803595505, -0.0778475982621746, 0.1124873010094065, 0.1331588253980852, 0.0745908707086138, -0.0445508350118808, 1.4579695173114908, 0.0087108194749231, 1.1094825737038783, 0.1222934190115619, -0.0038292115794981, -0.0866121491140017, 0.2247505332647891, 0.2832366190254806, 0.5446272464275167, 0.1615978886763891, 0.027687741919313, 0.1415101442878852, 0.2110427653291969, 0.0272172733440787, 0.5649308137978336, 0.1573258118169606, -0.2233705568887838, -0.0390181815296782, 0.024789906340189, -0.0378772916939032, 0.0807080862243627, -0.1420988262487796, 0.1066667791668772, 0.2861418078555607, 0.292795725771499, 0.0165206782137873, 0.2070606816211692, 0.0036149286552372, 0.4855113734356201, 0.0074559260052903, 0.215279592949235, 0.2288450753023614, 0.3022949557995206, -0.1827104003822511, 0.3165309864310142, 0.2077695832760645, 0.0621171875299512, -0.1407536737738731, 0.5136907108482911, 0.1170196778621638, 0.1397517768785513, 0.0932619738347664, 0.1529245743073438, -0.0616742347719794, -0.0741454762882712, 0.1436353770571207, 0.0715928465828232, 0.089816869991385, 0.3664261920373298, 0.020954484854128]|134615.2187500000000000|      0.00781250|[1213, 416, 0, 26]                                                         |  | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 94 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=16
      10|[4.157262089424915, 0.1327108905549454, 0.3576217468300273, 0.0297244070933056, 1.567030034316078, 0.0452552777170509, 1.1446730153599178, 0.0333369904939435, 0.2458276627205714, 0.2012908180023265, 0.3952726736152599, -0.0768273573286316, 0.1129350411862377, 0.1321768493248028, 0.074376310534661, -0.0455343628060598, 1.4581543491603284, 0.0137466893530442, 1.1080063781215486, 0.123100815545294, -0.0035240969510111, -0.0865411729166701, 0.2256586019185641, 0.2832760275535329, 0.5440969281646465, 0.1620310726521532, 0.0263036544416376, 0.1412978761673996, 0.2106102293731363, 0.0271765609010814, 0.5650823019579192, 0.1566692363817004, -0.2246491393706506, -0.0376983890983303, 0.0241465648981235, -0.0378566477258156, 0.0809054919941273, -0.1425960820597519, 0.1073151418899774, 0.2868858983236066, 0.2930707945699711, 0.0165104999865346, 0.2054747072888252, 0.0048076766526133, 0.4860624102470793, 0.0085016177287286, 0.2149388813900193, 0.2279714402848542, 0.30210113428011, -0.1831465485282522, 0.3159475451184718, 0.2078939325824975, 0.0619835751536089, -0.1407160801196606, 0.5130010117419282, 0.1173873958534365, 0.1396879575198443, 0.09357403228623, 0.1532858651870558, -0.0622113546451581, -0.0738606432562701, 0.1447670474116086, 0.0705770630835704, 0.0898104875922959, 0.3663295940905589, 0.0209495456276344]|117692.9375000000000000|      0.01562500|[1307, 448, 0, 28]                                                         |  | trying linear partial model with 49 points | iterate success | actual_k=16
