k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.60955365384053, 0.0519686182417115, 0.1352852997417735, 0.7793853305530221, 1.609250672e-07, -2.422217912e-07, -5.32587174e-08, 2.27899544e-08, 3.16402345e-08, 1.762629297e-07, -1.543221612e-07, 8.62207278e-08, -1.82291335e-08, -3.8467728e-09, -6.20435433e-08, 5.87407109e-08, -2.13268219e-07, 4.22780265e-08, -6.55131027e-08, 8.23336644e-08, 1.427369123e-07, -6.57679062e-08]| 13.1512060165405273|      2.00000000|[126, 0, 0, 2]                                                             |  | trying linear partial model with 65 points | iterate success | actual_k=0
       2|[1.8277757838362618, 0.1555346144124414, 0.4060654853003667, 2.338836201063004, -2.31723038e-08, -2.64869134e-07, -1.666472351e-07, 1.933603884e-07, -1.291387777e-07, 2.706385252e-07, -9.77538378e-08, 1.195189602e-07, 1.335683736e-07, -2.518810034e-07, -9.89690093e-08, -1.58555833e-08, 9.89049229e-08, 5.15146164e-08, -1.414545041e-07, 1.692042788e-07, 2.587327355e-07, -1.604736199e-07]| 12.2813034057617188|      4.00000000|[251, 0, 0, 4]                                                             |  | trying linear partial model with 65 points | iterate success | actual_k=0
       3|[1.8277757838362618, 0.1555346144124414, 0.4060654853003667, 2.338836201063004, -2.31723038e-08, -2.64869134e-07, -1.666472351e-07, 1.933603884e-07, -1.291387777e-07, 2.706385252e-07, -9.77538378e-08, 1.195189602e-07, 1.335683736e-07, -2.518810034e-07, -9.89690093e-08, -1.58555833e-08, 9.89049229e-08, 5.15146164e-08, -1.414545041e-07, 1.692042788e-07, 2.587327355e-07, -1.604736199e-07]| 12.2813034057617188|      2.00000000|[376, 0, 0, 6]                                                             |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       4|[1.8277757838362618, 0.1555346144124414, 0.4060654853003667, 2.338836201063004, -2.31723038e-08, -2.64869134e-07, -1.666472351e-07, 1.933603884e-07, -1.291387777e-07, 2.706385252e-07, -9.77538378e-08, 1.195189602e-07, 1.335683736e-07, -2.518810034e-07, -9.89690093e-08, -1.58555833e-08, 9.89049229e-08, 5.15146164e-08, -1.414545041e-07, 1.692042788e-07, 2.587327355e-07, -1.604736199e-07]| 12.2813034057617188|      1.00000000|[501, 0, 0, 8]                                                             |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       5|[1.8277757838362618, 0.1555346144124414, 0.4060654853003667, 2.338836201063004, -2.31723038e-08, -2.64869134e-07, -1.666472351e-07, 1.933603884e-07, -1.291387777e-07, 2.706385252e-07, -9.77538378e-08, 1.195189602e-07, 1.335683736e-07, -2.518810034e-07, -9.89690093e-08, -1.58555833e-08, 9.89049229e-08, 5.15146164e-08, -1.414545041e-07, 1.692042788e-07, 2.587327355e-07, -1.604736199e-07]| 12.2813034057617188|      0.50000000|[626, 0, 0, 10]                                                            |  | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[1.521201677429742, 0.1287950986831783, 0.3388490308460855, 1.9505331443805018, -7.08268893e-08, -4.54876816e-08, 4.51524991e-08, 1.644606364e-07, 5.307616548e-07, 4.2240413e-07, -7.28593159e-08, -4.1846704e-08, 9.1392696e-08, -6.943184464e-07, 8.94908373e-08, 1.755079101e-07, -8.80492044e-08, -1.848954945e-07, -4.540140211e-07, 3.635762106e-07, -7.94910598e-08, 3.40400674e-08]| 12.1453084945678711|      1.00000000|[751, 0, 0, 12]                                                            |  | trying linear partial model with 65 points | iterate success | actual_k=0
       7|[1.521201677429742, 0.1287950986831783, 0.3388490308460855, 1.9505331443805018, -7.08268893e-08, -4.54876816e-08, 4.51524991e-08, 1.644606364e-07, 5.307616548e-07, 4.2240413e-07, -7.28593159e-08, -4.1846704e-08, 9.1392696e-08, -6.943184464e-07, 8.94908373e-08, 1.755079101e-07, -8.80492044e-08, -1.848954945e-07, -4.540140211e-07, 3.635762106e-07, -7.94910598e-08, 3.40400674e-08]| 12.1453084945678711|      0.50000000|[876, 0, 0, 14]                                                            |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       8|[1.521201677429742, 0.1287950986831783, 0.3388490308460855, 1.9505331443805018, -7.08268893e-08, -4.54876816e-08, 4.51524991e-08, 1.644606364e-07, 5.307616548e-07, 4.2240413e-07, -7.28593159e-08, -4.1846704e-08, 9.1392696e-08, -6.943184464e-07, 8.94908373e-08, 1.755079101e-07, -8.80492044e-08, -1.848954945e-07, -4.540140211e-07, 3.635762106e-07, -7.94910598e-08, 3.40400674e-08]| 12.1453084945678711|      0.25000000|[1001, 0, 0, 16]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       9|[1.521201677429742, 0.1287950986831783, 0.3388490308460855, 1.9505331443805018, -7.08268893e-08, -4.54876816e-08, 4.51524991e-08, 1.644606364e-07, 5.307616548e-07, 4.2240413e-07, -7.28593159e-08, -4.1846704e-08, 9.1392696e-08, -6.943184464e-07, 8.94908373e-08, 1.755079101e-07, -8.80492044e-08, -1.848954945e-07, -4.540140211e-07, 3.635762106e-07, -7.94910598e-08, 3.40400674e-08]| 12.1453084945678711|      0.12500000|[1126, 0, 0, 18]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      10|[1.521201677429742, 0.1287950986831783, 0.3388490308460855, 1.9505331443805018, -7.08268893e-08, -4.54876816e-08, 4.51524991e-08, 1.644606364e-07, 5.307616548e-07, 4.2240413e-07, -7.28593159e-08, -4.1846704e-08, 9.1392696e-08, -6.943184464e-07, 8.94908373e-08, 1.755079101e-07, -8.80492044e-08, -1.848954945e-07, -4.540140211e-07, 3.635762106e-07, -7.94910598e-08, 3.40400674e-08]| 12.1453084945678711|      0.06250000|[1251, 0, 0, 20]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      11|[1.4805471880705299, 0.1244605107105922, 0.3310305094543617, 1.9039118578781915, -2.7397105145e-06, 3.6966653891e-06, -2.5829853475e-06, 4.9568863189e-06, -9.156470458e-06, -1.4278712563e-06, 2.76603195e-08, 4.1998680862e-06, -3.4497333371e-06, 1.7545195694e-06, -9.122821915e-07, 1.9338074396e-06, -1.2266767537e-06, -2.6744469695e-06, -1.3833559779e-06, -2.2584809528e-06, -3.921228231e-07, 2.4701113083e-06]| 12.1448688507080078|      0.12500000|[1376, 0, 0, 22]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
