k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.50000000|[37, 12, 1, 4]                                                             |  | used linear model with 49 points | iterate failure | actual_k=4
       2|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.25000000|[74, 24, 2, 8]                                                             |  | used linear model with 49 points | iterate failure | actual_k=4
       3|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.12500000|[111, 36, 3, 12]                                                           |  | used linear model with 49 points | iterate failure | actual_k=4
       4|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.06250000|[148, 48, 4, 16]                                                           |  | used linear model with 49 points | iterate failure | actual_k=4
       5|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.03125000|[185, 60, 5, 20]                                                           |  | used linear model with 49 points | iterate failure | actual_k=4
       6|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.01562500|[222, 72, 6, 24]                                                           |  | used linear model with 49 points | iterate failure | actual_k=4
       7|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.00781250|[259, 84, 7, 28]                                                           |  | used linear model with 49 points | iterate failure | actual_k=4
       8|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.00390625|[296, 96, 8, 32]                                                           |  | used linear model with 49 points | iterate failure | actual_k=4
       9|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.00195312|[333, 108, 9, 36]                                                          |  | used linear model with 49 points | iterate failure | actual_k=4
      10|[107.47010448802824, 0.0936030212898828, 0.9087444141910345, 102.39990414592553, 0.1815532587806411, 0.8183216294431911, 97.43988063581243, 0.2840489268367034, 0.7159800875711602, 96.29995079643696, 0.3050857127138353, 0.695130176560852, 93.99017581129351, 0.3566234256721387, 0.6433919288771766, 89.71998657077395, 0.4680007040559935, 0.5322298816075461, 83.71015818839295, 0.657557991847481, 0.342214082919337, 78.31007827712311, 0.8760001149343374, 0.1237122668864143, 886.3699692101774, 910.0099345804645, 922.5199786755893, 926.4599570951428, 935.559754720812, 952.8303408944712, 975.7300662452946]|  0.5414545031496673|      0.00390625|[370, 120, 10, 40]                                                         |  | used linear model with 49 points | iterate success | actual_k=4
      11|[107.47010448802824, 0.0936030212898828, 0.9087444141910345, 102.39990414592553, 0.1815532587806411, 0.8183216294431911, 97.43988063581243, 0.2840489268367034, 0.7159800875711602, 96.29995079643696, 0.3050857127138353, 0.695130176560852, 93.99017581129351, 0.3566234256721387, 0.6433919288771766, 89.71998657077395, 0.4680007040559935, 0.5322298816075461, 83.71015818839295, 0.657557991847481, 0.342214082919337, 78.31007827712311, 0.8760001149343374, 0.1237122668864143, 886.3699692101774, 910.0099345804645, 922.5199786755893, 926.4599570951428, 935.559754720812, 952.8303408944712, 975.7300662452946]|  0.5414545031496673|      0.00195312|[407, 132, 11, 44]                                                         |  | used linear model with 49 points | iterate failure | actual_k=4
