k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0]                                                                      |  7.9524924420125593|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.142127400059272, 0.4861375648376935]                                         |  0.7870305426341382|      2.00000000|[4, 0, 1, 2]                                                               |  | used linear model with 4 points | iterate success | actual_k=0
       2|[0.142127400059272, 0.4861375648376935]                                         |  0.7870305426341382|      1.00000000|[8, 0, 2, 4]                                                               |  | used linear model with 4 points | iterate failure | actual_k=0
       3|[0.142127400059272, 0.4861375648376935]                                         |  0.7870305426341382|      0.50000000|[12, 0, 2, 5]                                                              |  | used linear model with 4 points | actual_k=0
       4|[-0.0948643017508348, 0.0458706761518086]                                       |  0.0046846320672984|      1.00000000|[15, 0, 3, 7]                                                              |  | used linear model with 4 points | iterate success | actual_k=0
       5|[-0.0948643017508348, 0.0458706761518086]                                       |  0.0046846320672984|      0.50000000|[19, 0, 4, 9]                                                              |  | used linear model with 4 points | iterate failure | actual_k=0
       6|[-0.0948643017508348, 0.0458706761518086]                                       |  0.0046846320672984|      0.25000000|[23, 0, 5, 11]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
       7|[-0.0948643017508348, 0.0458706761518086]                                       |  0.0046846320672984|      0.12500000|[27, 0, 5, 12]                                                             |  | used linear model with 4 points | actual_k=0
       8|[-0.0948643017508348, 0.0458706761518086]                                       |  0.0046846320672984|      0.06250000|[30, 0, 6, 14]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
       9|[-0.0948643017508348, 0.0458706761518086]                                       |  0.0046846320672984|      0.03125000|[34, 0, 7, 16]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
      10|[-0.0672639541343956, 0.0605261635695547]                                       |  0.0039590534750968|      0.06250000|[38, 0, 8, 18]                                                             |  | used linear model with 4 points | iterate success | actual_k=0
      11|[-0.0672639541343956, 0.0605261635695547]                                       |  0.0039590534750968|      0.03125000|[42, 0, 9, 20]                                                             |  | used linear model with 4 points | iterate failure | actual_k=0
