k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, -1.0, 0.0]                                                                | 45.2064958913885775|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.7721331894487642, -0.7597983984933907, -0.5883141409020687]                  |  7.7546171897997604|      2.00000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=0
       2|[1.7721331894487642, -0.7597983984933907, -0.5883141409020687]                  |  7.7546171897997604|      1.00000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       3|[1.7721331894487642, -0.7597983984933907, -0.5883141409020687]                  |  7.7546171897997604|      0.50000000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[2.066516813108062, -0.4187754402847378, -0.8052049523622145]                   |  1.5338871057503864|      1.00000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       5|[2.066516813108062, -0.4187754402847378, -0.8052049523622145]                   |  1.5338871057503864|      0.50000000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[2.066516813108062, -0.4187754402847378, -0.8052049523622145]                   |  1.5338871057503864|      0.25000000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[2.066516813108062, -0.4187754402847378, -0.8052049523622145]                   |  1.5338871057503864|      0.12500000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[2.1190487182430475, -0.5285548297183231, -0.8337336151152787]                  |  1.2124216223613007|      0.25000000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       9|[2.340956164573284, -0.5925236840995164, -0.929467992077532]                    |  0.9191692279671767|      0.50000000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
      10|[2.340956164573284, -0.5925236840995164, -0.929467992077532]                    |  0.9191692279671767|      0.25000000|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[2.4988877246647534, -0.7829089937955651, -0.9656765018371758]                  |  0.4505093754509479|      0.50000000|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      12|[2.4988877246647534, -0.7829089937955651, -0.9656765018371758]                  |  0.4505093754509479|      0.25000000|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[2.4988877246647534, -0.7829089937955651, -0.9656765018371758]                  |  0.4505093754509479|      0.12500000|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      14|[2.4988877246647534, -0.7829089937955651, -0.9656765018371758]                  |  0.4505093754509479|      0.06250000|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      15|[2.4988877246647534, -0.7829089937955651, -0.9656765018371758]                  |  0.4505093754509479|      0.03125000|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
