k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[4.1365481575, 0.02, 0.17712896, 0.02, 1.6563998369, 0.02, 1.1912670842, 0.02, 0.29540308, 0.02, 0.33044829, 0.02, 0.081689693, 0.02, 0.25366977, 0.02, 1.3979474874, 0.02, 1.1726179747, 0.02, 0.09020114, 0.02, 0.12924843, 0.02, 0.30391686, 0.02, 0.1048141, 0.02, 0.1179912, 0.02, 0.54496913, 0.02, 0.007783709, 0.02, 0.089054003, 0.02, 0.11016803, 0.02, 0.039888624, 0.02, 0.098350298, 0.02, 0.28456638, 0.02, 0.4217993, 0.02, 0.16224077, 0.02, 0.071969874, 0.02, 0.31414176, 0.02, 0.14023746, 0.02, 0.28639923, 0.02, 0.062871838, 0.02, 0.15213167, 0.02, 0.19259894, 0.02, 0.15142465, 0.02, 0.39070068, 0.02]|263050.2304652961902320|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[4.1365481575, 0.02, 0.17712896, 0.02, 1.6563998369, 0.02, 1.1912670842, 0.02, 0.29540308, 0.02, 0.33044829, 0.02, 0.081689693, 0.02, 0.25366977, 0.02, 1.3979474874, 0.02, 1.1726179747, 0.02, 0.09020114, 0.02, 0.12924843, 0.02, 0.30391686, 0.02, 0.1048141, 0.02, 0.1179912, 0.02, 0.54496913, 0.02, 0.007783709, 0.02, 0.089054003, 0.02, 0.11016803, 0.02, 0.039888624, 0.02, 0.098350298, 0.02, 0.28456638, 0.02, 0.4217993, 0.02, 0.16224077, 0.02, 0.071969874, 0.02, 0.31414176, 0.02, 0.14023746, 0.02, 0.28639923, 0.02, 0.062871838, 0.02, 0.15213167, 0.02, 0.19259894, 0.02, 0.15142465, 0.02, 0.39070068, 0.02]|263050.2304652961902320|      0.50000000|[113, 16, 1, 3]                                                            |  | used linear model with 129 points | iterate failure | actual_k=8
       2|[4.1365481575, 0.02, 0.17712896, 0.02, 1.6563998369, 0.02, 1.1912670842, 0.02, 0.29540308, 0.02, 0.33044829, 0.02, 0.081689693, 0.02, 0.25366977, 0.02, 1.3979474874, 0.02, 1.1726179747, 0.02, 0.09020114, 0.02, 0.12924843, 0.02, 0.30391686, 0.02, 0.1048141, 0.02, 0.1179912, 0.02, 0.54496913, 0.02, 0.007783709, 0.02, 0.089054003, 0.02, 0.11016803, 0.02, 0.039888624, 0.02, 0.098350298, 0.02, 0.28456638, 0.02, 0.4217993, 0.02, 0.16224077, 0.02, 0.071969874, 0.02, 0.31414176, 0.02, 0.14023746, 0.02, 0.28639923, 0.02, 0.062871838, 0.02, 0.15213167, 0.02, 0.19259894, 0.02, 0.15142465, 0.02, 0.39070068, 0.02]|263050.2304652961902320|      0.25000000|[226, 32, 2, 6]                                                            |  | used linear model with 129 points | iterate failure | actual_k=8
       3|[4.1365481575, 0.02, 0.17712896, 0.02, 1.6563998369, 0.02, 1.1912670842, 0.02, 0.29540308, 0.02, 0.33044829, 0.02, 0.081689693, 0.02, 0.25366977, 0.02, 1.3979474874, 0.02, 1.1726179747, 0.02, 0.09020114, 0.02, 0.12924843, 0.02, 0.30391686, 0.02, 0.1048141, 0.02, 0.1179912, 0.02, 0.54496913, 0.02, 0.007783709, 0.02, 0.089054003, 0.02, 0.11016803, 0.02, 0.039888624, 0.02, 0.098350298, 0.02, 0.28456638, 0.02, 0.4217993, 0.02, 0.16224077, 0.02, 0.071969874, 0.02, 0.31414176, 0.02, 0.14023746, 0.02, 0.28639923, 0.02, 0.062871838, 0.02, 0.15213167, 0.02, 0.19259894, 0.02, 0.15142465, 0.02, 0.39070068, 0.02]|263050.2304652961902320|      0.12500000|[339, 48, 3, 9]                                                            |  | used linear model with 129 points | iterate failure | actual_k=8
       4|[4.1365481575, 0.02, 0.17712896, 0.02, 1.6563998369, 0.02, 1.1912670842, 0.02, 0.29540308, 0.02, 0.33044829, 0.02, 0.081689693, 0.02, 0.25366977, 0.02, 1.3979474874, 0.02, 1.1726179747, 0.02, 0.09020114, 0.02, 0.12924843, 0.02, 0.30391686, 0.02, 0.1048141, 0.02, 0.1179912, 0.02, 0.54496913, 0.02, 0.007783709, 0.02, 0.089054003, 0.02, 0.11016803, 0.02, 0.039888624, 0.02, 0.098350298, 0.02, 0.28456638, 0.02, 0.4217993, 0.02, 0.16224077, 0.02, 0.071969874, 0.02, 0.31414176, 0.02, 0.14023746, 0.02, 0.28639923, 0.02, 0.062871838, 0.02, 0.15213167, 0.02, 0.19259894, 0.02, 0.15142465, 0.02, 0.39070068, 0.02]|263050.2304652961902320|      0.06250000|[452, 64, 4, 12]                                                           |  | used linear model with 129 points | iterate failure | actual_k=8
       5|[4.1365481575, 0.02, 0.17712896, 0.02, 1.6563998369, 0.02, 1.1912670842, 0.02, 0.29540308, 0.02, 0.33044829, 0.02, 0.081689693, 0.02, 0.25366977, 0.02, 1.3979474874, 0.02, 1.1726179747, 0.02, 0.09020114, 0.02, 0.12924843, 0.02, 0.30391686, 0.02, 0.1048141, 0.02, 0.1179912, 0.02, 0.54496913, 0.02, 0.007783709, 0.02, 0.089054003, 0.02, 0.11016803, 0.02, 0.039888624, 0.02, 0.098350298, 0.02, 0.28456638, 0.02, 0.4217993, 0.02, 0.16224077, 0.02, 0.071969874, 0.02, 0.31414176, 0.02, 0.14023746, 0.02, 0.28639923, 0.02, 0.062871838, 0.02, 0.15213167, 0.02, 0.19259894, 0.02, 0.15142465, 0.02, 0.39070068, 0.02]|263050.2304652961902320|      0.03125000|[565, 80, 5, 15]                                                           |  | used linear model with 129 points | iterate failure | actual_k=8
       6|[4.135341227469323, 0.0479217787606533, 0.1769373881963734, 0.0171244604391247, 1.6545120790841437, 0.0221324777201933, 1.1923132440886965, 0.0238616277220329, 0.2937215382693396, 0.021342288435942, 0.3269129296222986, 0.0201663037801904, 0.083478341771641, 0.0209171414589196, 0.2545307668037192, 0.0202757956853609, 1.3971386690810195, 0.0203814252796874, 1.1734250114333702, 0.0204489919233648, 0.0909723151521504, 0.0206591981951785, 0.1311980385764082, 0.0194202032863113, 0.3026840158074676, 0.0224974312124926, 0.1028474794614291, 0.0197531304157177, 0.1172631421856538, 0.0207556958748171, 0.5416232949231481, 0.0196426540000414, 0.0083856707878106, 0.0208348215039591, 0.0898866520478262, 0.021349112041317, 0.1077820512915496, 0.0201416262801299, 0.0390407539724392, 0.0205820404537792, 0.098387431405994, 0.0241138595538042, 0.2855886748103392, 0.0175413757773266, 0.4195308735995779, 0.0212400345291862, 0.1623332602981375, 0.0187436036006314, 0.0693015821550231, 0.0180944486709309, 0.3149639818136005, 0.0200885412286195, 0.1396680373683549, 0.0165688971896953, 0.2833245306432081, 0.0174780765354979, 0.0653666857476149, 0.0179635027121312, 0.1540455157362429, 0.0197156878171024, 0.1927765500488617, 0.0184159322720765, 0.1543651285659176, 0.0210980364316605, 0.3896286977704135, 0.0193044778041148]|175140.0785237618547399|      0.06250000|[678, 96, 6, 18]                                                           |  | used linear model with 129 points | iterate success | actual_k=8
       7|[4.135341227469323, 0.0479217787606533, 0.1769373881963734, 0.0171244604391247, 1.6545120790841437, 0.0221324777201933, 1.1923132440886965, 0.0238616277220329, 0.2937215382693396, 0.021342288435942, 0.3269129296222986, 0.0201663037801904, 0.083478341771641, 0.0209171414589196, 0.2545307668037192, 0.0202757956853609, 1.3971386690810195, 0.0203814252796874, 1.1734250114333702, 0.0204489919233648, 0.0909723151521504, 0.0206591981951785, 0.1311980385764082, 0.0194202032863113, 0.3026840158074676, 0.0224974312124926, 0.1028474794614291, 0.0197531304157177, 0.1172631421856538, 0.0207556958748171, 0.5416232949231481, 0.0196426540000414, 0.0083856707878106, 0.0208348215039591, 0.0898866520478262, 0.021349112041317, 0.1077820512915496, 0.0201416262801299, 0.0390407539724392, 0.0205820404537792, 0.098387431405994, 0.0241138595538042, 0.2855886748103392, 0.0175413757773266, 0.4195308735995779, 0.0212400345291862, 0.1623332602981375, 0.0187436036006314, 0.0693015821550231, 0.0180944486709309, 0.3149639818136005, 0.0200885412286195, 0.1396680373683549, 0.0165688971896953, 0.2833245306432081, 0.0174780765354979, 0.0653666857476149, 0.0179635027121312, 0.1540455157362429, 0.0197156878171024, 0.1927765500488617, 0.0184159322720765, 0.1543651285659176, 0.0210980364316605, 0.3896286977704135, 0.0193044778041148]|175140.0785237618547399|      0.03125000|[791, 112, 7, 21]                                                          |  | used linear model with 129 points | iterate failure | actual_k=8
       8|[4.1353039616533005, 0.0680058550009671, 0.1746416236306079, 0.0133332204768517, 1.656245176171072, 0.0312227326146207, 1.1926972676612064, 0.0304517027468154, 0.2944385927959945, 0.0218856888139127, 0.3238847563629352, 0.0198942524802104, 0.0821481550055066, 0.0196929701811417, 0.2530118947993539, 0.0205938334127051, 1.3947825413862862, 0.0339061411195071, 1.1732245958740464, 0.0266084645291272, 0.091897134066752, 0.019090351578885, 0.1350416611268455, 0.0193699331036682, 0.3038525431095477, 0.0224689388645052, 0.1011699233437, 0.0217346200440476, 0.1186216328893387, 0.0185294809258088, 0.5435171050499676, 0.0213664935065667, 0.0093142481797818, 0.019301867986369, 0.0900130436722425, 0.0228345640337136, 0.1051281795928641, 0.0229658000343464, 0.0440283570951136, 0.0199458029933289, 0.0968382672235772, 0.0221956954818837, 0.2886335761926495, 0.0175380508344669, 0.4185028094947146, 0.0193747680672173, 0.1634520296670565, 0.0150042452882505, 0.068752315246172, 0.0202910997432217, 0.3152744718675895, 0.0252495008808158, 0.1386360004983854, 0.015233260602239, 0.2833398851241258, 0.0156957679575789, 0.0678983739442065, 0.0190874784268159, 0.1545147869336732, 0.0193068852696971, 0.1948790258136297, 0.0193418369615319, 0.1569781790466596, 0.0209251710102549, 0.3877990335369648, 0.0187450475110868]|143789.9204009187524207|      0.06250000|[904, 128, 8, 24]                                                          |  | used linear model with 129 points | iterate success | actual_k=8
       9|[4.1353039616533005, 0.0680058550009671, 0.1746416236306079, 0.0133332204768517, 1.656245176171072, 0.0312227326146207, 1.1926972676612064, 0.0304517027468154, 0.2944385927959945, 0.0218856888139127, 0.3238847563629352, 0.0198942524802104, 0.0821481550055066, 0.0196929701811417, 0.2530118947993539, 0.0205938334127051, 1.3947825413862862, 0.0339061411195071, 1.1732245958740464, 0.0266084645291272, 0.091897134066752, 0.019090351578885, 0.1350416611268455, 0.0193699331036682, 0.3038525431095477, 0.0224689388645052, 0.1011699233437, 0.0217346200440476, 0.1186216328893387, 0.0185294809258088, 0.5435171050499676, 0.0213664935065667, 0.0093142481797818, 0.019301867986369, 0.0900130436722425, 0.0228345640337136, 0.1051281795928641, 0.0229658000343464, 0.0440283570951136, 0.0199458029933289, 0.0968382672235772, 0.0221956954818837, 0.2886335761926495, 0.0175380508344669, 0.4185028094947146, 0.0193747680672173, 0.1634520296670565, 0.0150042452882505, 0.068752315246172, 0.0202910997432217, 0.3152744718675895, 0.0252495008808158, 0.1386360004983854, 0.015233260602239, 0.2833398851241258, 0.0156957679575789, 0.0678983739442065, 0.0190874784268159, 0.1545147869336732, 0.0193068852696971, 0.1948790258136297, 0.0193418369615319, 0.1569781790466596, 0.0209251710102549, 0.3877990335369648, 0.0187450475110868]|143789.9204009187524207|      0.03125000|[1017, 144, 9, 27]                                                         |  | used linear model with 129 points | iterate failure | actual_k=8
      10|[4.135325805018939, 0.0842242632066335, 0.175081793196681, 0.0126135972906345, 1.654791564991401, 0.0454646533362472, 1.1905525184947328, 0.0406972977998642, 0.2910809502748969, 0.0208213380164211, 0.3227795920720457, 0.0209963269559142, 0.0830342373917968, 0.0185396413325057, 0.2497393625627732, 0.0200448658089407, 1.3961921177966743, 0.0399733676590261, 1.173647112441794, 0.0380180161566857, 0.0922084497138061, 0.0161038843957409, 0.1347628318391025, 0.0202437553271965, 0.3005231451846643, 0.0234248899733691, 0.0986697582774246, 0.0227881563245116, 0.1212781081812209, 0.0153963538100768, 0.5457283087530138, 0.0221203571619509, 0.0098262848536044, 0.0215195825875748, 0.0905121188706398, 0.0234003227871169, 0.1029351666376797, 0.0240645715413264, 0.0430439790458169, 0.0221384021610995, 0.0962171132751951, 0.018517159150369, 0.2864681432795394, 0.0198393486191209, 0.4203786383618633, 0.0197962101360052, 0.1607021906034878, 0.016429787385894, 0.0715452395428853, 0.0183880631118529, 0.3125353189890604, 0.0254253248140656, 0.1425225987347975, 0.0117180954467814, 0.2824488309668205, 0.0189200153274492, 0.0672770872177824, 0.0203843602760876, 0.1518825636098569, 0.0195204436344939, 0.1939351101320476, 0.0203117243875969, 0.156689206016761, 0.0208103447691946, 0.3853226743126364, 0.0232371926599141]|125823.6278017847071169|      0.06250000|[1130, 160, 10, 30]                                                        |  | used linear model with 129 points | iterate success | actual_k=8
      11|[4.135325805018939, 0.0842242632066335, 0.175081793196681, 0.0126135972906345, 1.654791564991401, 0.0454646533362472, 1.1905525184947328, 0.0406972977998642, 0.2910809502748969, 0.0208213380164211, 0.3227795920720457, 0.0209963269559142, 0.0830342373917968, 0.0185396413325057, 0.2497393625627732, 0.0200448658089407, 1.3961921177966743, 0.0399733676590261, 1.173647112441794, 0.0380180161566857, 0.0922084497138061, 0.0161038843957409, 0.1347628318391025, 0.0202437553271965, 0.3005231451846643, 0.0234248899733691, 0.0986697582774246, 0.0227881563245116, 0.1212781081812209, 0.0153963538100768, 0.5457283087530138, 0.0221203571619509, 0.0098262848536044, 0.0215195825875748, 0.0905121188706398, 0.0234003227871169, 0.1029351666376797, 0.0240645715413264, 0.0430439790458169, 0.0221384021610995, 0.0962171132751951, 0.018517159150369, 0.2864681432795394, 0.0198393486191209, 0.4203786383618633, 0.0197962101360052, 0.1607021906034878, 0.016429787385894, 0.0715452395428853, 0.0183880631118529, 0.3125353189890604, 0.0254253248140656, 0.1425225987347975, 0.0117180954467814, 0.2824488309668205, 0.0189200153274492, 0.0672770872177824, 0.0203843602760876, 0.1518825636098569, 0.0195204436344939, 0.1939351101320476, 0.0203117243875969, 0.156689206016761, 0.0208103447691946, 0.3853226743126364, 0.0232371926599141]|125823.6278017847071169|      0.03125000|[1243, 176, 11, 33]                                                        |  | used linear model with 129 points | iterate failure | actual_k=8
