k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]                                        |181.6199359999999956|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]                                        |181.6199359999999956|      0.50000000|[15, 2, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       2|[0.1409936799237425, 1.144493018106787, -0.0552249829294295, 0.9669336932646142, 1.027872494926552, 1.4420969535529002, 0.9900807698779734, 0.90632830139856]|100.7362793985556095|      1.00000000|[30, 4, 2, 4]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       3|[0.1409936799237425, 1.144493018106787, -0.0552249829294295, 0.9669336932646142, 1.027872494926552, 1.4420969535529002, 0.9900807698779734, 0.90632830139856]|100.7362793985556095|      0.50000000|[45, 6, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       4|[0.1747313316945, 1.1912791939716458, -0.1454048485624998, 1.0521199422343885, 0.9916001919379662, 1.6796782457689905, 1.004874261612212, 1.322626657927798]| 65.6221852254688542|      1.00000000|[60, 8, 4, 8]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       5|[0.1747313316945, 1.1912791939716458, -0.1454048485624998, 1.0521199422343885, 0.9916001919379662, 1.6796782457689905, 1.004874261612212, 1.322626657927798]| 65.6221852254688542|      0.50000000|[75, 10, 5, 10]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       6|[0.1747313316945, 1.1912791939716458, -0.1454048485624998, 1.0521199422343885, 0.9916001919379662, 1.6796782457689905, 1.004874261612212, 1.322626657927798]| 65.6221852254688542|      0.25000000|[90, 12, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       7|[0.1747313316945, 1.1912791939716458, -0.1454048485624998, 1.0521199422343885, 0.9916001919379662, 1.6796782457689905, 1.004874261612212, 1.322626657927798]| 65.6221852254688542|      0.12500000|[105, 14, 7, 14]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       8|[0.1366423356345141, 1.1624203919352056, -0.1654873079555532, 0.9988378150969836, 0.9904646917979112, 1.7095934465312306, 0.9989030730100161, 1.2268809322473924]| 54.0837001229798418|      0.25000000|[120, 16, 8, 16]                                                           |  | used linear model with 17 points | iterate success | actual_k=2
       9|[0.1366423356345141, 1.1624203919352056, -0.1654873079555532, 0.9988378150969836, 0.9904646917979112, 1.7095934465312306, 0.9989030730100161, 1.2268809322473924]| 54.0837001229798418|      0.12500000|[135, 18, 9, 18]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
      10|[0.1366423356345141, 1.1624203919352056, -0.1654873079555532, 0.9988378150969836, 0.9904646917979112, 1.7095934465312306, 0.9989030730100161, 1.2268809322473924]| 54.0837001229798418|      0.06250000|[150, 20, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      11|[0.1307411585680452, 1.1090827045220406, -0.1774446770921347, 0.9694025576857269, 0.9889786337021619, 1.7115043495129816, 0.9955919442611559, 1.227410708284165]| 51.7727952483782587|      0.12500000|[165, 22, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      12|[0.1486564781810465, 1.040698863225219, -0.24691155309784, 0.9170558835290155, 0.975505575328412, 1.7215879787732493, 0.9985434942388121, 1.2800410786716379]| 49.8982221888864856|      0.25000000|[180, 24, 12, 24]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      13|[0.1486564781810465, 1.040698863225219, -0.24691155309784, 0.9170558835290155, 0.975505575328412, 1.7215879787732493, 0.9985434942388121, 1.2800410786716379]| 49.8982221888864856|      0.12500000|[195, 26, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      14|[0.0975674236656788, 1.009312636179646, -0.3119219634355626, 0.8896342320684458, 0.970028632724838, 1.8014402024409029, 0.977916857551716, 1.2652194669680392]| 47.0514290381847289|      0.25000000|[210, 28, 14, 28]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      15|[0.0975674236656788, 1.009312636179646, -0.3119219634355626, 0.8896342320684458, 0.970028632724838, 1.8014402024409029, 0.977916857551716, 1.2652194669680392]| 47.0514290381847289|      0.12500000|[225, 30, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      16|[0.0975674236656788, 1.009312636179646, -0.3119219634355626, 0.8896342320684458, 0.970028632724838, 1.8014402024409029, 0.977916857551716, 1.2652194669680392]| 47.0514290381847289|      0.06250000|[240, 32, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      17|[0.0790350014427816, 0.967960892124975, -0.3187193267926132, 0.9026154303592379, 0.9719665342148669, 1.7904360426031989, 0.9745255715818064, 1.3039721328901162]| 45.3472246354162536|      0.12500000|[255, 34, 17, 34]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      18|[0.0790350014427816, 0.967960892124975, -0.3187193267926132, 0.9026154303592379, 0.9719665342148669, 1.7904360426031989, 0.9745255715818064, 1.3039721328901162]| 45.3472246354162536|      0.06250000|[270, 36, 18, 36]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
