k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      0.50000000|[41, 14, 1, 5]                                                             |  | used quadratic model with 55 points | iterate failure | actual_k=4
       2|[0.0449378760164998, 0.0336522440092833, 0.0638079388002395, -0.0004760909356208, 0.4797698754042198, 0.0362435346254396, 0.0401348646234011, -0.0560486815412563, 0.0808173548649874]|68813.0410323000542121|      1.00000000|[83, 27, 2, 10]                                                            |  | used quadratic model with 55 points | iterate success | actual_k=4
       3|[0.0449378760164998, 0.0336522440092833, 0.0638079388002395, -0.0004760909356208, 0.4797698754042198, 0.0362435346254396, 0.0401348646234011, -0.0560486815412563, 0.0808173548649874]|68813.0410323000542121|      0.50000000|[124, 41, 3, 15]                                                           |  | used quadratic model with 55 points | iterate failure | actual_k=4
       4|[0.0449378760164998, 0.0336522440092833, 0.0638079388002395, -0.0004760909356208, 0.4797698754042198, 0.0362435346254396, 0.0401348646234011, -0.0560486815412563, 0.0808173548649874]|68813.0410323000542121|      0.25000000|[167, 53, 4, 20]                                                           |  | used quadratic model with 55 points | iterate failure | actual_k=4
       5|[0.0449378760164998, 0.0336522440092833, 0.0638079388002395, -0.0004760909356208, 0.4797698754042198, 0.0362435346254396, 0.0401348646234011, -0.0560486815412563, 0.0808173548649874]|68813.0410323000542121|      0.12500000|[209, 66, 5, 25]                                                           |  | used quadratic model with 55 points | iterate failure | actual_k=4
       6|[0.0353198369138675, 0.017460706086717, 0.0513550501132321, -0.0286332382659149, 0.5954941302201838, 0.0358978560868961, 0.0155007973544543, -0.0552787807467573, 0.0987833053626619]|27730.4913129464512167|      0.25000000|[251, 79, 6, 30]                                                           |  | used quadratic model with 55 points | iterate success | actual_k=4
       7|[0.0353198369138675, 0.017460706086717, 0.0513550501132321, -0.0286332382659149, 0.5954941302201838, 0.0358978560868961, 0.0155007973544543, -0.0552787807467573, 0.0987833053626619]|27730.4913129464512167|      0.12500000|[293, 92, 7, 35]                                                           |  | used quadratic model with 55 points | iterate failure | actual_k=4
       8|[0.0503794065861178, 0.0248018570590201, 0.0440741339452519, 0.0116311586705602, 0.7043623500888992, -0.0018365716289627, 0.0130623574616878, -0.0721295325378844, 0.1089819967160744]|7746.2708373132454653|      0.25000000|[336, 104, 8, 40]                                                          |  | used quadratic model with 55 points | iterate success | actual_k=4
       9|[0.0503794065861178, 0.0248018570590201, 0.0440741339452519, 0.0116311586705602, 0.7043623500888992, -0.0018365716289627, 0.0130623574616878, -0.0721295325378844, 0.1089819967160744]|7746.2708373132454653|      0.12500000|[378, 117, 9, 45]                                                          |  | used quadratic model with 55 points | iterate failure | actual_k=4
      10|[0.0503794065861178, 0.0248018570590201, 0.0440741339452519, 0.0116311586705602, 0.7043623500888992, -0.0018365716289627, 0.0130623574616878, -0.0721295325378844, 0.1089819967160744]|7746.2708373132454653|      0.06250000|[419, 131, 10, 50]                                                         |  | used quadratic model with 55 points | iterate failure | actual_k=4
      11|[0.0476796642175653, 0.0329068469517896, 0.0444790456376076, -0.0225927970683073, 0.7544408390091925, 0.0052376700179317, 0.0201800125255841, -0.0779857093328325, 0.1046263495303981]|4239.6156256410467904|      0.12500000|[462, 143, 11, 55]                                                         |  | used quadratic model with 55 points | iterate success | actual_k=4
      12|[0.0476796642175653, 0.0329068469517896, 0.0444790456376076, -0.0225927970683073, 0.7544408390091925, 0.0052376700179317, 0.0201800125255841, -0.0779857093328325, 0.1046263495303981]|4239.6156256410467904|      0.06250000|[503, 157, 12, 60]                                                         |  | used quadratic model with 55 points | iterate failure | actual_k=4
      13|[0.0420056535385562, 0.0511059080219967, 0.0788090750542982, -0.022229575656507, 0.8015514964079425, 0.0049800799045712, 0.0251845482004891, -0.0746132793044501, 0.1150315345170232]|2185.0201173154146090|      0.12500000|[545, 170, 13, 65]                                                         |  | used quadratic model with 55 points | iterate success | actual_k=4
      14|[0.0420056535385562, 0.0511059080219967, 0.0788090750542982, -0.022229575656507, 0.8015514964079425, 0.0049800799045712, 0.0251845482004891, -0.0746132793044501, 0.1150315345170232]|2185.0201173154146090|      0.06250000|[587, 183, 14, 70]                                                         |  | used quadratic model with 55 points | iterate failure | actual_k=4
      15|[0.0512024953755306, 0.0313807644103736, 0.0610722067239196, 0.0016009512788705, 0.8442299541014061, 0.0274545533197986, 0.0141761181669983, -0.0845616510757524, 0.1131908937446963]|1098.2504004639445156|      0.12500000|[629, 196, 15, 75]                                                         |  | used quadratic model with 55 points | iterate success | actual_k=4
      16|[0.0512024953755306, 0.0313807644103736, 0.0610722067239196, 0.0016009512788705, 0.8442299541014061, 0.0274545533197986, 0.0141761181669983, -0.0845616510757524, 0.1131908937446963]|1098.2504004639445156|      0.06250000|[671, 209, 16, 80]                                                         |  | used quadratic model with 55 points | iterate failure | actual_k=4
      17|[0.0512024953755306, 0.0313807644103736, 0.0610722067239196, 0.0016009512788705, 0.8442299541014061, 0.0274545533197986, 0.0141761181669983, -0.0845616510757524, 0.1131908937446963]|1098.2504004639445156|      0.03125000|[713, 222, 17, 85]                                                         |  | used quadratic model with 55 points | iterate failure | actual_k=4
      18|[0.0535256121563178, 0.029727250757064, 0.0577610425991372, 0.0011541839442342, 0.8549217262200843, 0.000170655285857, 0.0203059374115499, -0.0856311146196199, 0.1209255296703103]|546.2532820199961634|      0.06250000|[754, 236, 18, 90]                                                         |  | used quadratic model with 55 points | iterate success | actual_k=4
