k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 2.0, 2.0, 2.0]                                                            |105126.8339513395767426|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.4790470307093764, 2.436573096237759, 2.5294970822464196, 2.54731226361414]   |84673.7342365348304156|      2.00000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=0
       2|[2.4790470307093764, 2.436573096237759, 2.5294970822464196, 2.54731226361414]   |84673.7342365348304156|      1.00000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       3|[3.259109371132147, 2.644624928525682, 2.9298584984684015, 2.113805727865812]   |75196.1996875325421570|      2.00000000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       4|[4.559504055106956, 3.6593858559332513, 3.3426067877973633, 1.0607754454175804] |46075.0278888281245600|      4.00000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       5|[4.559504055106956, 3.6593858559332513, 3.3426067877973633, 1.0607754454175804] |46075.0278888281245600|      2.00000000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[3.8667934439004927, 5.0792490821145995, 3.0589418491631264, 2.2539538187756865]|36171.6610967408851138|      4.00000000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       7|[3.8667934439004927, 5.0792490821145995, 3.0589418491631264, 2.2539538187756865]|36171.6610967408851138|      2.00000000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[3.8667934439004927, 5.0792490821145995, 3.0589418491631264, 2.2539538187756865]|36171.6610967408851138|      1.00000000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       9|[3.8667934439004927, 5.0792490821145995, 3.0589418491631264, 2.2539538187756865]|36171.6610967408851138|      0.50000000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[3.8667934439004927, 5.0792490821145995, 3.0589418491631264, 2.2539538187756865]|36171.6610967408851138|      0.25000000|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[3.9658160083244542, 5.154580035119817, 2.8421047455430752, 2.2527497640031595] |33012.1892073539420380|      0.50000000|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      12|[3.9658160083244542, 5.154580035119817, 2.8421047455430752, 2.2527497640031595] |33012.1892073539420380|      0.25000000|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[3.9658160083244542, 5.154580035119817, 2.8421047455430752, 2.2527497640031595] |33012.1892073539420380|      0.12500000|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      14|[3.953283174991755, 5.2151085030876825, 2.950549269532365, 2.2461151674928757]  |30427.7761924738661037|      0.25000000|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      15|[3.953283174991755, 5.2151085030876825, 2.950549269532365, 2.2461151674928757]  |30427.7761924738661037|      0.12500000|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      16|[3.953283174991755, 5.2151085030876825, 2.950549269532365, 2.2461151674928757]  |30427.7761924738661037|      0.06250000|[80, 0, 16, 32]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      17|[3.99014973641969, 5.235504921732887, 2.960905132193208, 2.201127959716891]     |30014.3357708513249236|      0.12500000|[85, 0, 17, 34]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      18|[4.095934523401858, 5.2275651410594595, 2.9568163771231215, 2.267119025839299]  |29834.4564281380517059|      0.25000000|[90, 0, 18, 36]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      19|[4.095934523401858, 5.2275651410594595, 2.9568163771231215, 2.267119025839299]  |29834.4564281380517059|      0.12500000|[95, 0, 19, 38]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      20|[4.095934523401858, 5.2275651410594595, 2.9568163771231215, 2.267119025839299]  |29834.4564281380517059|      0.06250000|[100, 0, 20, 40]                                                           |  | used linear model with 5 points | iterate failure | actual_k=0
