k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.005465363937104, -1.4666858043094726, 0.355770364090794, 0.1634126999823493, 0.6702522826517273, -0.1816411322939228, -0.3314385681130427]|58897.6176942344172858|      2.00000000|[13, 4, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=4
       2|[10.005465363937104, -1.4666858043094726, 0.355770364090794, 0.1634126999823493, 0.6702522826517273, -0.1816411322939228, -0.3314385681130427]|58897.6176942344172858|      1.00000000|[26, 8, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=4
       3|[10.005465363937104, -1.4666858043094726, 0.355770364090794, 0.1634126999823493, 0.6702522826517273, -0.1816411322939228, -0.3314385681130427]|58897.6176942344172858|      0.50000000|[39, 12, 3, 6]                                                             |  | used linear model with 17 points | iterate failure | actual_k=4
       4|[10.004309299200989, -1.4449612278606252, 0.4272629114628187, -0.2292862057424884, 0.6362760670588167, -0.1955034091931933, -0.6295267185960332]|53117.1380758794111898|      1.00000000|[52, 16, 4, 8]                                                             |  | used linear model with 17 points | iterate success | actual_k=4
       5|[9.58311588782973, -1.5734086397707374, 0.6801419036216538, -1.0562735298791825, 0.8074446407556304, -0.1369445746274185, -0.7892569158221477]|46976.6207853259329568|      2.00000000|[65, 20, 5, 10]                                                            |  | used linear model with 17 points | iterate success | actual_k=4
       6|[9.58311588782973, -1.5734086397707374, 0.6801419036216538, -1.0562735298791825, 0.8074446407556304, -0.1369445746274185, -0.7892569158221477]|46976.6207853259329568|      1.00000000|[78, 24, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       7|[9.58311588782973, -1.5734086397707374, 0.6801419036216538, -1.0562735298791825, 0.8074446407556304, -0.1369445746274185, -0.7892569158221477]|46976.6207853259329568|      0.50000000|[91, 28, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       8|[9.560467915522446, -1.5675195674482412, 0.6253351635052697, -1.2934780650394426, 0.7511262051465325, -0.1463872313524251, -0.3569125068617836]|34337.9921124545944622|      1.00000000|[104, 32, 8, 16]                                                           |  | used linear model with 17 points | iterate success | actual_k=4
       9|[9.520690284872224, -1.6076983939986316, 0.7441690488092806, -1.6398566557144263, 1.6461315522492967, -0.3413208540269221, -0.2030616276608156]|16711.0633679782222316|      2.00000000|[117, 36, 9, 18]                                                           |  | used linear model with 17 points | iterate success | actual_k=4
      10|[9.520690284872224, -1.6076983939986316, 0.7441690488092806, -1.6398566557144263, 1.6461315522492967, -0.3413208540269221, -0.2030616276608156]|16711.0633679782222316|      1.00000000|[130, 40, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      11|[9.520690284872224, -1.6076983939986316, 0.7441690488092806, -1.6398566557144263, 1.6461315522492967, -0.3413208540269221, -0.2030616276608156]|16711.0633679782222316|      0.50000000|[143, 44, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      12|[9.520690284872224, -1.6076983939986316, 0.7441690488092806, -1.6398566557144263, 1.6461315522492967, -0.3413208540269221, -0.2030616276608156]|16711.0633679782222316|      0.25000000|[156, 48, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      13|[9.520690284872224, -1.6076983939986316, 0.7441690488092806, -1.6398566557144263, 1.6461315522492967, -0.3413208540269221, -0.2030616276608156]|16711.0633679782222316|      0.12500000|[169, 52, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      14|[9.521940864838976, -1.6111383033708166, 0.7359511209353099, -1.6356907791765432, 1.645057682134885, -0.3434313309675607, -0.0784778931789513]|14420.0888041982179857|      0.25000000|[182, 56, 14, 28]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      15|[9.521940864838976, -1.6111383033708166, 0.7359511209353099, -1.6356907791765432, 1.645057682134885, -0.3434313309675607, -0.0784778931789513]|14420.0888041982179857|      0.12500000|[195, 60, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      16|[9.521940864838976, -1.6111383033708166, 0.7359511209353099, -1.6356907791765432, 1.645057682134885, -0.3434313309675607, -0.0784778931789513]|14420.0888041982179857|      0.06250000|[208, 64, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      17|[9.521940864838976, -1.6111383033708166, 0.7359511209353099, -1.6356907791765432, 1.645057682134885, -0.3434313309675607, -0.0784778931789513]|14420.0888041982179857|      0.03125000|[221, 68, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      18|[9.529114423820936, -1.6287485127593206, 0.740503423311837, -1.6504083593319305, 1.6478880866158856, -0.3540581677757477, -0.0945001153779445]|8256.6225799051444483|      0.06250000|[234, 72, 18, 36]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
