k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      0.50000000|[7, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       2|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      0.25000000|[13, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      0.12500000|[19, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      0.06250000|[25, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      0.03125000|[31, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      0.01562500|[37, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      0.00781250|[43, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[1.2020819772282598, -1.1985781528397588, 0.9726054832663708]                   |  0.0001695653190836|      0.01562500|[49, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       9|[1.2020819772282598, -1.1985781528397588, 0.9726054832663708]                   |  0.0001695653190836|      0.00781250|[55, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[1.2020819772282598, -1.1985781528397588, 0.9726054832663708]                   |  0.0001695653190836|      0.00390625|[61, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      11|[1.2020819772282598, -1.1985781528397588, 0.9726054832663708]                   |  0.0001695653190836|      0.00195312|[67, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      12|[1.2013516459555216, -1.199432047103668, 0.9742030370475464]                    |  0.0000937568038353|      0.00390625|[73, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      13|[1.2013516459555216, -1.199432047103668, 0.9742030370475464]                    |  0.0000937568038353|      0.00195312|[79, 0, 0, 26]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      14|[1.2013516459555216, -1.199432047103668, 0.9742030370475464]                    |  0.0000937568038353|      0.00097656|[85, 0, 0, 28]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      15|[1.2013516459555216, -1.199432047103668, 0.9742030370475464]                    |  0.0000937568038353|      0.00048828|[91, 0, 0, 30]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
