k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[105.0, 96.0, 230.0]                                                            |63019.3221809944880079|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[105.52073744687279, 96.47433344181293, 229.2901829127146]                      |61326.4882812500000000|      2.00000000|[7, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | iterate success | actual_k=0
       2|[106.55758985098973, 97.43001846416476, 227.87187292187014]                     |58012.2031250000000000|      4.00000000|[13, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       3|[108.6596245870583, 99.31375255890198, 225.03761890561017]                      |51669.2929687500000000|      8.00000000|[19, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       4|[112.85244987711546, 103.0737715168688, 219.3558521449285]                      |40126.3398437500000000|     16.00000000|[25, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       5|[121.80921506253172, 109.82381432076274, 207.9447487995497]                     |21646.9199218750000000|     32.00000000|[31, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       6|[139.60232392728537, 119.27170785834574, 183.0822753781557]                     |3037.4526367187500000|     64.00000000|[37, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       7|[139.60232392728537, 119.27170785834574, 183.0822753781557]                     |3037.4526367187500000|     32.00000000|[43, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[139.60232392728537, 119.27170785834574, 183.0822753781557]                     |3037.4526367187500000|     16.00000000|[49, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[139.60232392728537, 119.27170785834574, 183.0822753781557]                     |3037.4526367187500000|      8.00000000|[55, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[144.03325334450076, 122.54477360710095, 177.2810767861421]                     |2078.3552246093750000|     16.00000000|[61, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      11|[144.03325334450076, 122.54477360710095, 177.2810767861421]                     |2078.3552246093750000|      8.00000000|[67, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      12|[144.03325334450076, 122.54477360710095, 177.2810767861421]                     |2078.3552246093750000|      4.00000000|[73, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      13|[144.03325334450076, 122.54477360710095, 177.2810767861421]                     |2078.3552246093750000|      2.00000000|[79, 0, 0, 26]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      14|[144.03325334450076, 122.54477360710095, 177.2810767861421]                     |2078.3552246093750000|      1.00000000|[85, 0, 0, 28]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      15|[144.03325334450076, 122.54477360710095, 177.2810767861421]                     |2078.3552246093750000|      0.50000000|[91, 0, 0, 30]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
