k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      0.50000000|[17, 0, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       2|[9.834011954290794, -1.0018307586335105, 0.1331511005235091, 0.185117814443249, 0.3727379318167979, -0.0103723794644534, 0.0492078792214635]|33559.9647235842858208|      1.00000000|[34, 0, 2, 4]                                                              |  | used linear model with 17 points | iterate success | actual_k=0
       3|[9.834011954290794, -1.0018307586335105, 0.1331511005235091, 0.185117814443249, 0.3727379318167979, -0.0103723794644534, 0.0492078792214635]|33559.9647235842858208|      0.50000000|[51, 0, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       4|[9.834011954290794, -1.0018307586335105, 0.1331511005235091, 0.185117814443249, 0.3727379318167979, -0.0103723794644534, 0.0492078792214635]|33559.9647235842858208|      0.25000000|[68, 0, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       5|[9.834011954290794, -1.0018307586335105, 0.1331511005235091, 0.185117814443249, 0.3727379318167979, -0.0103723794644534, 0.0492078792214635]|33559.9647235842858208|      0.12500000|[85, 0, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=0
       6|[9.834011954290794, -1.0018307586335105, 0.1331511005235091, 0.185117814443249, 0.3727379318167979, -0.0103723794644534, 0.0492078792214635]|33559.9647235842858208|      0.06250000|[102, 0, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       7|[9.834011954290794, -1.0018307586335105, 0.1331511005235091, 0.185117814443249, 0.3727379318167979, -0.0103723794644534, 0.0492078792214635]|33559.9647235842858208|      0.03125000|[119, 0, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       8|[9.83639519976286, -1.0040986955016322, 0.1393104734112622, 0.1977502303545429, 0.3775019599148632, -0.0088354261246455, 0.0219468244368832]|14176.9772251173581026|      0.06250000|[136, 0, 8, 16]                                                            |  | used linear model with 17 points | iterate success | actual_k=0
       9|[9.83639519976286, -1.0040986955016322, 0.1393104734112622, 0.1977502303545429, 0.3775019599148632, -0.0088354261246455, 0.0219468244368832]|14176.9772251173581026|      0.03125000|[153, 0, 9, 18]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
      10|[9.83639519976286, -1.0040986955016322, 0.1393104734112622, 0.1977502303545429, 0.3775019599148632, -0.0088354261246455, 0.0219468244368832]|14176.9772251173581026|      0.01562500|[170, 0, 10, 20]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      11|[9.83639519976286, -1.0040986955016322, 0.1393104734112622, 0.1977502303545429, 0.3775019599148632, -0.0088354261246455, 0.0219468244368832]|14176.9772251173581026|      0.00781250|[187, 0, 11, 22]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
