k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.0, 0.0, 0.0]                                                                |2499.9997982897020847|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.0948809520867002, -0.9829609177804759, -0.157433919621173]                  |1375.1679403729692694|      2.00000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       2|[-0.4774359922093779, -0.760969935507499, -2.0467411273858525]                  |186.1374743348210643|      4.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       3|[-0.4774359922093779, -0.760969935507499, -2.0467411273858525]                  |186.1374743348210643|      2.00000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[-0.4774359922093779, -0.760969935507499, -2.0467411273858525]                  |186.1374743348210643|      1.00000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[0.1182382284819415, -1.4861896213056354, -2.392036117408357]                   | 29.8525250253151242|      2.00000000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       6|[0.1182382284819415, -1.4861896213056354, -2.392036117408357]                   | 29.8525250253151242|      1.00000000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[0.1182382284819415, -1.4861896213056354, -2.392036117408357]                   | 29.8525250253151242|      0.50000000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[0.0085371890484358, -1.011143665866214, -2.2811441782610244]                   |  9.4357903430732577|      1.00000000|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       9|[0.0085371890484358, -1.011143665866214, -2.2811441782610244]                   |  9.4357903430732577|      0.50000000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[0.0085371890484358, -1.011143665866214, -2.2811441782610244]                   |  9.4357903430732577|      0.25000000|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[0.0085371890484358, -1.011143665866214, -2.2811441782610244]                   |  9.4357903430732577|      0.12500000|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      12|[0.1012761928093891, -0.9809348514025328, -2.359322849969648]                   |  5.6387729330591245|      0.25000000|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      13|[0.2032643516747468, -0.9211535702754491, -2.139039818671141]                   |  4.9202473545285486|      0.50000000|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      14|[0.2032643516747468, -0.9211535702754491, -2.139039818671141]                   |  4.9202473545285486|      0.25000000|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      15|[0.2032643516747468, -0.9211535702754491, -2.139039818671141]                   |  4.9202473545285486|      0.12500000|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
