k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]                                        |772166.1146731314947829|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.830530805797113, 0.8549511691157053, 1.1777901182825472, 1.1218654680454039, 0.896196425738885, 0.7684167015184036, 0.5360672090484206, 0.2099741335061521]|89693.8437500000000000|      2.00000000|[24, 8, 0, 2]                                                              |  | trying linear partial model with 13 points | iterate success | actual_k=4
       2|[0.830530805797113, 0.8549511691157053, 1.1777901182825472, 1.1218654680454039, 0.896196425738885, 0.7684167015184036, 0.5360672090484206, 0.2099741335061521]|89693.8437500000000000|      1.00000000|[46, 16, 0, 4]                                                             |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       3|[0.830530805797113, 0.8549511691157053, 1.1777901182825472, 1.1218654680454039, 0.896196425738885, 0.7684167015184036, 0.5360672090484206, 0.2099741335061521]|89693.8437500000000000|      0.50000000|[69, 24, 0, 6]                                                             |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       4|[0.8242323960533795, 0.8417142696233803, 1.2175878860825144, 1.0807441040914492, 0.8506394872208938, 0.6961490406884279, 0.365517217915062, -0.248419732843169]|297.9355163574218750|      1.00000000|[91, 32, 0, 8]                                                             |  | trying linear partial model with 13 points | iterate success | actual_k=4
       5|[0.8242323960533795, 0.8417142696233803, 1.2175878860825144, 1.0807441040914492, 0.8506394872208938, 0.6961490406884279, 0.365517217915062, -0.248419732843169]|297.9355163574218750|      0.50000000|[115, 40, 0, 10]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       6|[0.8242323960533795, 0.8417142696233803, 1.2175878860825144, 1.0807441040914492, 0.8506394872208938, 0.6961490406884279, 0.365517217915062, -0.248419732843169]|297.9355163574218750|      0.25000000|[137, 48, 0, 12]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       7|[0.8242323960533795, 0.8417142696233803, 1.2175878860825144, 1.0807441040914492, 0.8506394872208938, 0.6961490406884279, 0.365517217915062, -0.248419732843169]|297.9355163574218750|      0.12500000|[159, 56, 0, 14]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       8|[0.8242323960533795, 0.8417142696233803, 1.2175878860825144, 1.0807441040914492, 0.8506394872208938, 0.6961490406884279, 0.365517217915062, -0.248419732843169]|297.9355163574218750|      0.06250000|[182, 64, 0, 16]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       9|[0.8242323960533795, 0.8417142696233803, 1.2175878860825144, 1.0807441040914492, 0.8506394872208938, 0.6961490406884279, 0.365517217915062, -0.248419732843169]|297.9355163574218750|      0.03125000|[205, 72, 0, 18]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      10|[0.8242323960533795, 0.8417142696233803, 1.2175878860825144, 1.0807441040914492, 0.8506394872208938, 0.6961490406884279, 0.365517217915062, -0.248419732843169]|297.9355163574218750|      0.01562500|[227, 80, 0, 20]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      11|[0.8250757652358491, 0.8407546202872257, 1.2171631597014863, 1.0817100673979796, 0.8487868260071366, 0.6977776916859723, 0.3710880981252484, -0.2341272388339218]|205.7973937988281250|      0.03125000|[249, 88, 0, 22]                                                           |  | trying linear partial model with 13 points | iterate success | actual_k=4
      12|[0.8250757652358491, 0.8407546202872257, 1.2171631597014863, 1.0817100673979796, 0.8487868260071366, 0.6977776916859723, 0.3710880981252484, -0.2341272388339218]|205.7973937988281250|      0.01562500|[272, 96, 0, 24]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      13|[0.8250757652358491, 0.8407546202872257, 1.2171631597014863, 1.0817100673979796, 0.8487868260071366, 0.6977776916859723, 0.3710880981252484, -0.2341272388339218]|205.7973937988281250|      0.00781250|[295, 104, 0, 26]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      14|[0.8250757652358491, 0.8407546202872257, 1.2171631597014863, 1.0817100673979796, 0.8487868260071366, 0.6977776916859723, 0.3710880981252484, -0.2341272388339218]|205.7973937988281250|      0.00390625|[317, 112, 0, 28]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      15|[0.8250757652358491, 0.8407546202872257, 1.2171631597014863, 1.0817100673979796, 0.8487868260071366, 0.6977776916859723, 0.3710880981252484, -0.2341272388339218]|205.7973937988281250|      0.00195312|[340, 120, 0, 30]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      16|[0.8250757652358491, 0.8407546202872257, 1.2171631597014863, 1.0817100673979796, 0.8487868260071366, 0.6977776916859723, 0.3710880981252484, -0.2341272388339218]|205.7973937988281250|      0.00097656|[363, 128, 0, 32]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      17|[0.8250757652358491, 0.8407546202872257, 1.2171631597014863, 1.0817100673979796, 0.8487868260071366, 0.6977776916859723, 0.3710880981252484, -0.2341272388339218]|205.7973937988281250|      0.00048828|[385, 136, 0, 34]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      18|[0.8250757652358491, 0.8407546202872257, 1.2171631597014863, 1.0817100673979796, 0.8487868260071366, 0.6977776916859723, 0.3710880981252484, -0.2341272388339218]|205.7973937988281250|      0.00024414|[408, 144, 0, 36]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      19|[0.8251371301765054, 0.8407529228015621, 1.217159060145224, 1.0817286299697588, 0.8488197269554565, 0.6978276426623096, 0.3711748174201175, -0.233916580524322]|205.7862091064453125|      0.00048828|[432, 152, 0, 38]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      20|[0.8251371301765054, 0.8407529228015621, 1.217159060145224, 1.0817286299697588, 0.8488197269554565, 0.6978276426623096, 0.3711748174201175, -0.233916580524322]|205.7862091064453125|      0.00024414|[456, 160, 1, 41]                                                          |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      21|[0.82523779971095, 0.8407225812522341, 1.2171931313891287, 1.0818112520212553, 0.8487747135598072, 0.6977964250821165, 0.3710164563661048, -0.2340283099314213]|205.7844696044921875|      0.00048828|[480, 168, 1, 43]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      22|[0.82523779971095, 0.8407225812522341, 1.2171931313891287, 1.0818112520212553, 0.8487747135598072, 0.6977964250821165, 0.3710164563661048, -0.2340283099314213]|205.7844696044921875|      0.00024414|[504, 176, 1, 45]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      23|[0.8253769958339008, 0.8406663034788833, 1.2171940655552107, 1.0817653628644133, 0.8488082782425667, 0.697835623445605, 0.3710070089409534, -0.2338488583905956]|205.7775573730468750|      0.00048828|[526, 184, 1, 47]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      24|[0.8257416559636478, 0.8408529884450651, 1.2172653355107177, 1.081691378002401, 0.8489007229841254, 0.6979360756522069, 0.3711987001632143, -0.2339170854025942]|205.7678833007812500|      0.00097656|[548, 192, 1, 49]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      25|[0.8257416559636478, 0.8408529884450651, 1.2172653355107177, 1.081691378002401, 0.8489007229841254, 0.6979360756522069, 0.3711987001632143, -0.2339170854025942]|205.7678833007812500|      0.00048828|[570, 200, 1, 51]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      26|[0.8257416559636478, 0.8408529884450651, 1.2172653355107177, 1.081691378002401, 0.8489007229841254, 0.6979360756522069, 0.3711987001632143, -0.2339170854025942]|205.7678833007812500|      0.00024414|[592, 208, 1, 53]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      27|[0.8257416559636478, 0.8408529884450651, 1.2172653355107177, 1.081691378002401, 0.8489007229841254, 0.6979360756522069, 0.3711987001632143, -0.2339170854025942]|205.7678833007812500|      0.00012207|[615, 216, 1, 55]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      28|[0.8257908442758942, 0.8408435521863324, 1.2172650882097984, 1.0816624600864226, 0.8488934628990923, 0.6979112407764575, 0.3711558673576643, -0.234012228410806]|205.7623901367187500|      0.00024414|[637, 224, 1, 57]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      29|[0.8257908442758942, 0.8408435521863324, 1.2172650882097984, 1.0816624600864226, 0.8488934628990923, 0.6979112407764575, 0.3711558673576643, -0.234012228410806]|205.7623901367187500|      0.00012207|[660, 232, 1, 59]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      30|[0.8258835453700412, 0.84086463732938, 1.2172419302612782, 1.0816624723800181, 0.8488213402862623, 0.697915392630666, 0.3711543323801896, -0.2340225011426255]|205.7595977783203125|      0.00024414|[682, 240, 1, 61]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      31|[0.8261029820488442, 0.8408472028401075, 1.2171776517575006, 1.081608946856541, 0.8487993160219215, 0.6979059438535639, 0.371212186603631, -0.2340376689000473]|205.7521820068359375|      0.00048828|[705, 248, 1, 63]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      32|[0.8261029820488442, 0.8408472028401075, 1.2171776517575006, 1.081608946856541, 0.8487993160219215, 0.6979059438535639, 0.371212186603631, -0.2340376689000473]|205.7521820068359375|      0.00024414|[727, 256, 1, 65]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      33|[0.8261029820488442, 0.8408472028401075, 1.2171776517575006, 1.081608946856541, 0.8487993160219215, 0.6979059438535639, 0.371212186603631, -0.2340376689000473]|205.7521820068359375|      0.00012207|[750, 264, 1, 67]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      34|[0.8262132648508571, 0.8408399141175337, 1.2171823534607087, 1.0816172477991155, 0.8488132990882201, 0.6979149589740792, 0.3712179220027851, -0.233989866867746]|205.7485656738281250|      0.00024414|[773, 272, 1, 69]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      35|[0.8263219560564531, 0.8408815413341318, 1.2172661217888716, 1.0817061463382964, 0.8488874837791344, 0.697981808177141, 0.3712928146307143, -0.234114594043349]|205.7450103759765625|      0.00048828|[795, 280, 1, 71]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      36|[0.8263219560564531, 0.8408815413341318, 1.2172661217888716, 1.0817061463382964, 0.8488874837791344, 0.697981808177141, 0.3712928146307143, -0.234114594043349]|205.7450103759765625|      0.00024414|[818, 288, 1, 73]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      37|[0.826486000443456, 0.840826477399955, 1.2173099626518367, 1.0817626814160324, 0.8488857386036704, 0.6981057545108247, 0.3712519538328901, -0.2342012454522886]|205.7432403564453125|      0.00048828|[840, 296, 1, 75]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      38|[0.826486000443456, 0.840826477399955, 1.2173099626518367, 1.0817626814160324, 0.8488857386036704, 0.6981057545108247, 0.3712519538328901, -0.2342012454522886]|205.7432403564453125|      0.00024414|[864, 304, 1, 77]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
