k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]                                                  |564.8131740000001173|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.2018874642205739, -0.2371402525989231, 1.0865311326984832, 0.8477086314578741, 0.5213652520998004, 0.1979810272618846]|480.8247680664062500|      2.00000000|[29, 4, 0, 2]                                                              |  | trying linear partial model with 15 points | iterate success | actual_k=2
       2|[-0.2018874642205739, -0.2371402525989231, 1.0865311326984832, 0.8477086314578741, 0.5213652520998004, 0.1979810272618846]|480.8247680664062500|      1.00000000|[57, 8, 0, 4]                                                              |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       3|[0.1134986925670158, 0.0786672851888455, 0.4876723521240688, 0.7786825177487989, 0.1053595376095444, -0.3161590054624501]|448.0431823730468750|      2.00000000|[85, 12, 0, 6]                                                             |  | trying linear partial model with 15 points | iterate success | actual_k=2
       4|[0.1134986925670158, 0.0786672851888455, 0.4876723521240688, 0.7786825177487989, 0.1053595376095444, -0.3161590054624501]|448.0431823730468750|      1.00000000|[113, 16, 0, 8]                                                            |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       5|[0.1405035793051569, 0.3997471714050785, 0.3977369174961285, 1.6838594898102264, 0.2549190282257289, -0.1008065771635153]|368.6566467285156250|      2.00000000|[141, 20, 0, 10]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
       6|[0.1405035793051569, 0.3997471714050785, 0.3977369174961285, 1.6838594898102264, 0.2549190282257289, -0.1008065771635153]|368.6566467285156250|      1.00000000|[169, 24, 0, 12]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       7|[0.1405035793051569, 0.3997471714050785, 0.3977369174961285, 1.6838594898102264, 0.2549190282257289, -0.1008065771635153]|368.6566467285156250|      0.50000000|[197, 28, 0, 14]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       8|[0.3693239836573928, 0.2414547215859177, 0.3871402950444891, 1.780274411904843, 0.2372335025974565, -0.5043704747753877]|205.1155853271484375|      1.00000000|[225, 32, 0, 16]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
       9|[1.214562248185737, 0.0892836520272359, 0.3807103670227604, 2.239801335752677, 0.4624582685183513, -0.4823770924311424]|141.6017456054687500|      2.00000000|[253, 36, 0, 18]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      10|[1.214562248185737, 0.0892836520272359, 0.3807103670227604, 2.239801335752677, 0.4624582685183513, -0.4823770924311424]|141.6017456054687500|      1.00000000|[281, 40, 0, 20]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      11|[1.214562248185737, 0.0892836520272359, 0.3807103670227604, 2.239801335752677, 0.4624582685183513, -0.4823770924311424]|141.6017456054687500|      0.50000000|[309, 44, 0, 22]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      12|[1.3493150529840083, -0.2251057284660554, 0.3904604270276899, 1.9852576447267838, 0.2459229757692038, -0.6280682442383106]|123.5366287231445312|      1.00000000|[337, 48, 0, 24]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
