k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0]                                                                 | 41.6816958616780084|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 1.0, 1.0]                                                                 | 41.6816958616780084|      0.50000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[0.6587303372478016, 1.2072042258702342, 1.3010007077508585]                    | 13.6836032867431641|      1.00000000|[13, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[0.4843287504923101, 1.733674569928422, 2.1331143198041764]                     |  1.6930514574050903|      2.00000000|[19, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[0.4843287504923101, 1.733674569928422, 2.1331143198041764]                     |  1.6930514574050903|      1.00000000|[25, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[0.4843287504923101, 1.733674569928422, 2.1331143198041764]                     |  1.6930514574050903|      0.50000000|[31, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[0.0244343933402857, 1.9278651273456815, 2.1050570984574284]                    |  0.7581455707550049|      1.00000000|[37, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       7|[0.0244343933402857, 1.9278651273456815, 2.1050570984574284]                    |  0.7581455707550049|      0.50000000|[43, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[0.0244343933402857, 1.9278651273456815, 2.1050570984574284]                    |  0.7581455707550049|      0.25000000|[49, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[0.2449860729591644, 1.8886828190390381, 1.9940539303357272]                    |  0.2663998007774353|      0.50000000|[55, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      10|[0.2449860729591644, 1.8886828190390381, 1.9940539303357272]                    |  0.2663998007774353|      0.25000000|[61, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[0.1323002121696688, 1.6721686513550431, 1.9399844197938583]                    |  0.0309993363916874|      0.50000000|[67, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      12|[0.1323002121696688, 1.6721686513550431, 1.9399844197938583]                    |  0.0309993363916874|      0.25000000|[73, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[0.1323002121696688, 1.6721686513550431, 1.9399844197938583]                    |  0.0309993363916874|      0.12500000|[79, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[0.1323002121696688, 1.6721686513550431, 1.9399844197938583]                    |  0.0309993363916874|      0.06250000|[85, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[0.105517469286088, 1.696003159568311, 1.8887901730285852]                      |  0.0219491658537251|      0.12500000|[91, 30, 1, 31]                                                            |  | trying linear partial model with 4 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=1
