k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]                                                  |564.8131740000001173|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.1362331979734839, 0.0318365411316315, 1.1454261366762608, 0.3316668726629139, 0.9779470694180793, 0.2843725212467814]|489.2129474201632320|      2.00000000|[13, 4, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=4
       2|[-0.1362331979734839, 0.0318365411316315, 1.1454261366762608, 0.3316668726629139, 0.9779470694180793, 0.2843725212467814]|489.2129474201632320|      1.00000000|[26, 8, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=4
       3|[0.3909743019462055, 0.2300882682051268, 0.6440803701752212, 0.531452573683194, 0.481031052579582, -0.0958393578804886]|454.4927716918974738|      2.00000000|[39, 12, 3, 6]                                                             |  | used linear model with 17 points | iterate success | actual_k=4
       4|[0.3909743019462055, 0.2300882682051268, 0.6440803701752212, 0.531452573683194, 0.481031052579582, -0.0958393578804886]|454.4927716918974738|      1.00000000|[52, 16, 4, 8]                                                             |  | used linear model with 17 points | iterate failure | actual_k=4
       5|[0.6789350631914854, 0.266435621855525, 0.8988540146926236, 1.2686442358321124, 0.7954320112302251, -0.5525103011018018]|292.1377644768205641|      2.00000000|[65, 20, 5, 10]                                                            |  | used linear model with 17 points | iterate success | actual_k=4
       6|[0.6789350631914854, 0.266435621855525, 0.8988540146926236, 1.2686442358321124, 0.7954320112302251, -0.5525103011018018]|292.1377644768205641|      1.00000000|[78, 24, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       7|[0.6789350631914854, 0.266435621855525, 0.8988540146926236, 1.2686442358321124, 0.7954320112302251, -0.5525103011018018]|292.1377644768205641|      0.50000000|[91, 28, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       8|[0.7199350810904309, 0.4089952390972659, 0.9987332099693028, 1.6435957969486163, 0.8311312288985249, -0.276545098423592]|219.0097135868383589|      1.00000000|[104, 32, 8, 16]                                                           |  | used linear model with 17 points | iterate success | actual_k=4
       9|[0.7199350810904309, 0.4089952390972659, 0.9987332099693028, 1.6435957969486163, 0.8311312288985249, -0.276545098423592]|219.0097135868383589|      0.50000000|[117, 36, 9, 18]                                                           |  | used linear model with 17 points | iterate failure | actual_k=4
      10|[0.8890544240763913, 0.3217111216367694, 1.1288558737479055, 1.8920216479337257, 0.7949033968793294, -0.6423597561231068]| 94.9264363824243844|      1.00000000|[130, 40, 10, 20]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      11|[0.8890544240763913, 0.3217111216367694, 1.1288558737479055, 1.8920216479337257, 0.7949033968793294, -0.6423597561231068]| 94.9264363824243844|      0.50000000|[143, 44, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      12|[0.8890544240763913, 0.3217111216367694, 1.1288558737479055, 1.8920216479337257, 0.7949033968793294, -0.6423597561231068]| 94.9264363824243844|      0.25000000|[156, 48, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      13|[0.7384268971876897, 0.3096511820120233, 1.0816717714549888, 2.058948103609507, 0.8441131969399007, -0.5577812691185946]| 89.7296743050038259|      0.50000000|[169, 52, 13, 26]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      14|[0.7384268971876897, 0.3096511820120233, 1.0816717714549888, 2.058948103609507, 0.8441131969399007, -0.5577812691185946]| 89.7296743050038259|      0.25000000|[182, 56, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      15|[0.7384268971876897, 0.3096511820120233, 1.0816717714549888, 2.058948103609507, 0.8441131969399007, -0.5577812691185946]| 89.7296743050038259|      0.12500000|[195, 60, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      16|[0.7617682200542351, 0.2211875374183008, 1.1198795247890305, 2.056533854039543, 0.8163714304997407, -0.628626873152958]| 82.0566200642797412|      0.25000000|[208, 64, 16, 32]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      17|[0.7617682200542351, 0.2211875374183008, 1.1198795247890305, 2.056533854039543, 0.8163714304997407, -0.628626873152958]| 82.0566200642797412|      0.12500000|[221, 68, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
