k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]                                                  |564.8131740000001173|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.0240077967941735, -0.0250136100255777, 1.0301518821592144, 0.401262634191721, 0.7461561917121273, 0.2417350748005629]|476.0170703344804224|      2.00000000|[17, 0, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=0
       2|[-0.0240077967941735, -0.0250136100255777, 1.0301518821592144, 0.401262634191721, 0.7461561917121273, 0.2417350748005629]|476.0170703344804224|      1.00000000|[34, 0, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       3|[0.4314435505867034, 0.5002472860013657, 0.5274468538996232, 0.4139360818362455, 0.6018994676456486, -0.2511970677128355]|458.5659499549652764|      2.00000000|[51, 0, 3, 6]                                                              |  | used linear model with 17 points | iterate success | actual_k=0
       4|[0.4314435505867034, 0.5002472860013657, 0.5274468538996232, 0.4139360818362455, 0.6018994676456486, -0.2511970677128355]|458.5659499549652764|      1.00000000|[68, 0, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       5|[0.4314435505867034, 0.5002472860013657, 0.5274468538996232, 0.4139360818362455, 0.6018994676456486, -0.2511970677128355]|458.5659499549652764|      0.50000000|[85, 0, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=0
       6|[0.5475293446588729, 0.5521226371277748, 0.8098664756071859, 0.7825142571321948, 0.5980203114437902, -0.116262733767124]|415.5998636084373743|      1.00000000|[102, 0, 6, 12]                                                            |  | used linear model with 17 points | iterate success | actual_k=0
       7|[0.8749587025595434, 0.7822833580435284, 0.9247165989473106, 1.5177055914916737, 0.7520264850526739, -0.6285139491625904]|167.3113228407596011|      2.00000000|[119, 0, 7, 14]                                                            |  | used linear model with 17 points | iterate success | actual_k=0
       8|[0.8749587025595434, 0.7822833580435284, 0.9247165989473106, 1.5177055914916737, 0.7520264850526739, -0.6285139491625904]|167.3113228407596011|      1.00000000|[136, 0, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       9|[0.8749587025595434, 0.7822833580435284, 0.9247165989473106, 1.5177055914916737, 0.7520264850526739, -0.6285139491625904]|167.3113228407596011|      0.50000000|[153, 0, 9, 18]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
      10|[0.982620167221263, 0.8178455341970238, 1.053427600803545, 1.9451925010884707, 0.7172357910429427, -0.8198836656513458]| 98.4085460498229878|      1.00000000|[170, 0, 10, 20]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      11|[0.982620167221263, 0.8178455341970238, 1.053427600803545, 1.9451925010884707, 0.7172357910429427, -0.8198836656513458]| 98.4085460498229878|      0.50000000|[187, 0, 11, 22]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      12|[0.982620167221263, 0.8178455341970238, 1.053427600803545, 1.9451925010884707, 0.7172357910429427, -0.8198836656513458]| 98.4085460498229878|      0.25000000|[204, 0, 12, 24]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      13|[0.982620167221263, 0.8178455341970238, 1.053427600803545, 1.9451925010884707, 0.7172357910429427, -0.8198836656513458]| 98.4085460498229878|      0.12500000|[221, 0, 13, 26]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      14|[0.9205386869368269, 0.7939293056480855, 1.0280540904964823, 1.8643736683040628, 0.6750051995956053, -0.7725552153728983]| 86.9562533267560411|      0.25000000|[238, 0, 14, 28]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      15|[0.7838385556117028, 0.7564614641132524, 0.9742024159645739, 1.95390970230088, 0.4977607683529556, -0.7813268917300278]| 75.5853405193853689|      0.50000000|[255, 0, 15, 30]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      16|[0.7838385556117028, 0.7564614641132524, 0.9742024159645739, 1.95390970230088, 0.4977607683529556, -0.7813268917300278]| 75.5853405193853689|      0.25000000|[272, 0, 16, 32]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      17|[0.7838385556117028, 0.7564614641132524, 0.9742024159645739, 1.95390970230088, 0.4977607683529556, -0.7813268917300278]| 75.5853405193853689|      0.12500000|[289, 0, 17, 34]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      18|[0.7772071417979057, 0.7414096688644556, 0.978777780573181, 2.0163832848851415, 0.4423967053037526, -0.8727894843626889]| 74.3057393017472094|      0.25000000|[306, 0, 18, 36]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      19|[0.7772071417979057, 0.7414096688644556, 0.978777780573181, 2.0163832848851415, 0.4423967053037526, -0.8727894843626889]| 74.3057393017472094|      0.12500000|[323, 0, 19, 38]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
