k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.50000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.25000000|[13, 4, 1, 5]                                                              |  | trying linear partial model with 4 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.12500000|[20, 6, 1, 7]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.06250000|[26, 8, 1, 9]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.03125000|[32, 10, 1, 11]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.01562500|[38, 12, 1, 13]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.00781250|[44, 14, 1, 15]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.00390625|[50, 16, 1, 17]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.00195312|[56, 18, 1, 19]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.00097656|[62, 20, 1, 21]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.00048828|[68, 22, 1, 23]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[0.1, -1e-05, 1000.0, -100.0]                                                   |  8.2217905805134084|      0.00024414|[74, 24, 1, 25]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[0.1000258031692102, 0.0001324787110142, 999.9998876643551, -100.00016130517977]|  5.1520886421203613|      0.00048828|[80, 26, 1, 27]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      14|[0.1000258031692102, 0.0001324787110142, 999.9998876643551, -100.00016130517977]|  5.1520886421203613|      0.00024414|[86, 28, 1, 29]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[0.1000258031692102, 0.0001324787110142, 999.9998876643551, -100.00016130517977]|  5.1520886421203613|      0.00012207|[92, 30, 1, 31]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      16|[0.1000258031692102, 0.0001324787110142, 999.9998876643551, -100.00016130517977]|  5.1520886421203613|      0.00006104|[98, 32, 1, 33]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      17|[0.1000258031692102, 0.0001324787110142, 999.9998876643551, -100.00016130517977]|  5.1520886421203613|      0.00003052|[104, 34, 1, 35]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      18|[0.1000258031692102, 0.0001324787110142, 999.9998876643551, -100.00016130517977]|  5.1520886421203613|      0.00001526|[110, 36, 1, 37]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      19|[0.1000258031692102, 0.0001324787110142, 999.9998876643551, -100.00016130517977]|  5.1520886421203613|      0.00000763|[116, 38, 1, 39]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      20|[0.1000250970344407, 0.0001345732724831, 999.9998840768538, -100.00016766534338]|  5.1515539188105262|      0.00001526|[122, 40, 2, 42]                                                           |  | trying linear partial model with 4 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=1
