k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      0.50000000|[13, 4, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=4
       2|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      0.25000000|[26, 8, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=4
       3|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      0.12500000|[39, 12, 3, 6]                                                             |  | used linear model with 17 points | iterate failure | actual_k=4
       4|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      0.06250000|[52, 16, 4, 8]                                                             |  | used linear model with 17 points | iterate failure | actual_k=4
       5|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      0.03125000|[65, 20, 5, 10]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       6|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      0.01562500|[78, 24, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       7|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      0.00781250|[91, 28, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       8|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      0.00390625|[104, 32, 8, 16]                                                           |  | used linear model with 17 points | iterate failure | actual_k=4
       9|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      0.00195312|[117, 36, 9, 18]                                                           |  | used linear model with 17 points | iterate failure | actual_k=4
      10|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      0.00097656|[130, 40, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      11|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      0.00048828|[143, 44, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      12|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |  1.6510732406215207|      0.00024414|[156, 48, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      13|[-0.000118759490853, 2.67389518709e-05, 0.0099290497991905, 0.000539226829304, -6.3609897775e-06, 0.0980690604351535, 0.0001611142084979, 6.33334416427e-05]|  1.1972033885359201|      0.00048828|[169, 52, 13, 26]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      14|[-0.000118759490853, 2.67389518709e-05, 0.0099290497991905, 0.000539226829304, -6.3609897775e-06, 0.0980690604351535, 0.0001611142084979, 6.33334416427e-05]|  1.1972033885359201|      0.00024414|[182, 56, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      15|[-0.000118759490853, 2.67389518709e-05, 0.0099290497991905, 0.000539226829304, -6.3609897775e-06, 0.0980690604351535, 0.0001611142084979, 6.33334416427e-05]|  1.1972033885359201|      0.00012207|[195, 60, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      16|[-0.000118759490853, 2.67389518709e-05, 0.0099290497991905, 0.000539226829304, -6.3609897775e-06, 0.0980690604351535, 0.0001611142084979, 6.33334416427e-05]|  1.1972033885359201|      0.00006104|[208, 64, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      17|[-0.000118759490853, 2.67389518709e-05, 0.0099290497991905, 0.000539226829304, -6.3609897775e-06, 0.0980690604351535, 0.0001611142084979, 6.33334416427e-05]|  1.1972033885359201|      0.00003052|[221, 68, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      18|[-0.0001295987464283, 2.77827867345e-05, 0.0099290490394356, 0.0005410767985799, -9.4035198212e-06, 0.0980652990992718, 0.0001624200624266, 3.53296696842e-05]|  0.8422205911677074|      0.00006104|[234, 72, 18, 36]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      19|[-0.0001295987464283, 2.77827867345e-05, 0.0099290490394356, 0.0005410767985799, -9.4035198212e-06, 0.0980652990992718, 0.0001624200624266, 3.53296696842e-05]|  0.8422205911677074|      0.00003052|[247, 76, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      20|[-0.0001295987464283, 2.77827867345e-05, 0.0099290490394356, 0.0005410767985799, -9.4035198212e-06, 0.0980652990992718, 0.0001624200624266, 3.53296696842e-05]|  0.8422205911677074|      0.00001526|[260, 80, 20, 40]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      21|[-0.0001295987464283, 2.77827867345e-05, 0.0099290490394356, 0.0005410767985799, -9.4035198212e-06, 0.0980652990992718, 0.0001624200624266, 3.53296696842e-05]|  0.8422205911677074|      0.00000763|[273, 84, 21, 42]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      22|[-0.0001295987464283, 2.77827867345e-05, 0.0099290490394356, 0.0005410767985799, -9.4035198212e-06, 0.0980652990992718, 0.0001624200624266, 3.53296696842e-05]|  0.8422205911677074|      0.00000381|[286, 88, 22, 44]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      23|[-0.0001293839729372, 2.84941314875e-05, 0.0099292811236809, 0.0005413133098606, -9.7527805811e-06, 0.0980657448843575, 0.0001659976332529, 3.62073114658e-05]|  0.8289753058199923|      0.00000763|[299, 92, 23, 46]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      24|[-0.0001293839729372, 2.84941314875e-05, 0.0099292811236809, 0.0005413133098606, -9.7527805811e-06, 0.0980657448843575, 0.0001659976332529, 3.62073114658e-05]|  0.8289753058199923|      0.00000381|[312, 96, 24, 48]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      25|[-0.0001293839729372, 2.84941314875e-05, 0.0099292811236809, 0.0005413133098606, -9.7527805811e-06, 0.0980657448843575, 0.0001659976332529, 3.62073114658e-05]|  0.8289753058199923|      0.00000191|[325, 100, 25, 50]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      26|[-0.0001293839729372, 2.84941314875e-05, 0.0099292811236809, 0.0005413133098606, -9.7527805811e-06, 0.0980657448843575, 0.0001659976332529, 3.62073114658e-05]|  0.8289753058199923|      0.00000095|[338, 104, 26, 52]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      27|[-0.0001294483244106, 2.84664342388e-05, 0.0099293754120145, 0.0005415828443082, -9.757589306e-06, 0.0980657900824147, 0.0001665746799279, 3.69058803532e-05]|  0.8284600689389255|      0.00000191|[351, 108, 27, 54]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      28|[-0.0001294483244106, 2.84664342388e-05, 0.0099293754120145, 0.0005415828443082, -9.757589306e-06, 0.0980657900824147, 0.0001665746799279, 3.69058803532e-05]|  0.8284600689389255|      0.00000095|[364, 112, 28, 56]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      29|[-0.0001294483244106, 2.84664342388e-05, 0.0099293754120145, 0.0005415828443082, -9.757589306e-06, 0.0980657900824147, 0.0001665746799279, 3.69058803532e-05]|  0.8284600689389255|      0.00000048|[377, 116, 29, 58]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      30|[-0.0001294569067194, 2.87689984815e-05, 0.0099291918142039, 0.0005415804270748, -9.5599212977e-06, 0.0980658882423414, 0.0001667180544834, 3.67248371995e-05]|  0.8284032660457468|      0.00000095|[390, 120, 30, 60]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      31|[-0.0001294569067194, 2.87689984815e-05, 0.0099291918142039, 0.0005415804270748, -9.5599212977e-06, 0.0980658882423414, 0.0001667180544834, 3.67248371995e-05]|  0.8284032660457468|      0.00000048|[403, 124, 31, 62]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      32|[-0.0001294569067194, 2.87689984815e-05, 0.0099291918142039, 0.0005415804270748, -9.5599212977e-06, 0.0980658882423414, 0.0001667180544834, 3.67248371995e-05]|  0.8284032660457468|      0.00000024|[416, 128, 32, 64]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      33|[-0.0001294569067194, 2.87689984815e-05, 0.0099291918142039, 0.0005415804270748, -9.5599212977e-06, 0.0980658882423414, 0.0001667180544834, 3.67248371995e-05]|  0.8284032660457468|      0.00000012|[429, 132, 33, 66]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      34|[-0.0001294690848196, 2.88110374789e-05, 0.0099291955707669, 0.0005416088200008, -9.4699966921e-06, 0.0980659062536525, 0.0001667593334509, 3.67617181714e-05]|  0.8283949297475848|      0.00000024|[442, 136, 34, 68]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      35|[-0.000129377048703, 2.88306979586e-05, 0.0099291617529406, 0.0005416305180186, -9.2866401447e-06, 0.0980659323803607, 0.0001666903078531, 3.6847187621e-05]|  0.8283815953248791|      0.00000048|[455, 140, 35, 70]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      36|[-0.000129377048703, 2.88306979586e-05, 0.0099291617529406, 0.0005416305180186, -9.2866401447e-06, 0.0980659323803607, 0.0001666903078531, 3.6847187621e-05]|  0.8283815953248791|      0.00000024|[468, 144, 36, 72]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      37|[-0.0001293456544869, 2.88379212816e-05, 0.0099291976414081, 0.0005416442085473, -9.2167944645e-06, 0.0980659594401397, 0.0001667187152656, 3.66282981484e-05]|  0.8283729963656179|      0.00000048|[481, 148, 37, 74]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      38|[-0.0001293456544869, 2.88379212816e-05, 0.0099291976414081, 0.0005416442085473, -9.2167944645e-06, 0.0980659594401397, 0.0001667187152656, 3.66282981484e-05]|  0.8283729963656179|      0.00000024|[494, 152, 38, 76]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      39|[-0.0001292321276404, 2.88937959731e-05, 0.0099292514926278, 0.000541670225092, -9.0489251127e-06, 0.0980659716237574, 0.0001667815907746, 3.66988274964e-05]|  0.8283472704184011|      0.00000048|[507, 156, 39, 78]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      40|[-0.0001292321276404, 2.88937959731e-05, 0.0099292514926278, 0.000541670225092, -9.0489251127e-06, 0.0980659716237574, 0.0001667815907746, 3.66988274964e-05]|  0.8283472704184011|      0.00000024|[520, 160, 40, 80]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
