k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-506.0, -506.2]                                                                |25614.3346824171749176|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-505.2910737911613, -505.4947173400532]                                        |25542.2230969559386722|      2.00000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=0
       2|[-503.8735835650462, -504.0837880509433]                                        |25399.4952412042475771|      4.00000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       3|[-501.0391413008133, -501.26138888521035]                                       |25115.2552499008852465|      8.00000000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       4|[-495.4193149088395, -495.56774757897455]                                       |24551.3895040439419972|     16.00000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       5|[-484.21761416501226, -484.14312940392205]                                      |23443.2412017213137005|     32.00000000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       6|[-461.22848757918155, -461.8832987931413]                                       |21303.9434011348166678|     64.00000000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       7|[-416.3421208543991, -416.26297347373634]                                       |17330.7827455449114495|    128.00000000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       8|[-416.3421208543991, -416.26297347373634]                                       |17330.7827455449114495|     64.00000000|[40, 0, 7, 15]                                                             |  | used linear model with 5 points | actual_k=0
       9|[-371.54506485722567, -370.55494601699627]                                      |13767.8401022603811725|    128.00000000|[44, 0, 8, 17]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
      10|[-371.54506485722567, -370.55494601699627]                                      |13767.8401022603811725|     64.00000000|[49, 0, 8, 18]                                                             |  | used linear model with 5 points | actual_k=0
      11|[-327.0665144368002, -324.53692180367665]                                       |10614.8469870916051150|    128.00000000|[53, 0, 9, 20]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
