k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.50000000|[37, 12, 1, 4]                                                             |  | used linear model with 49 points | iterate failure | actual_k=4
       2|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.25000000|[74, 24, 2, 8]                                                             |  | used linear model with 49 points | iterate failure | actual_k=4
       3|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.12500000|[111, 36, 3, 12]                                                           |  | used linear model with 49 points | iterate failure | actual_k=4
       4|[120.00012052623187, 0.0109573452190035, 0.8850072341211705, 109.99942773416693, 0.1719608650213729, 0.8450298037495694, 100.00848495502605, 0.2641867671138544, 0.716411933344426, 87.97278675821217, 0.3270014579105028, 0.7022563574372037, 86.00526684829816, 0.3576096321040613, 0.6685349348253722, 84.05390745631483, 0.448815847435506, 0.5193739475265824, 79.99582471949833, 0.6678189959385828, 0.3146808957246195, 76.01141293928634, 0.8723525580350703, 0.118925789202032, 886.3820743652051, 910.0052894778674, 922.5375264114235, 926.4689402888436, 935.5748733251787, 952.8319993188597, 975.7229575870133]|1707.1855971719874105|      0.25000000|[148, 48, 4, 16]                                                           |  | used linear model with 49 points | iterate success | actual_k=4
       5|[120.00012052623187, 0.0109573452190035, 0.8850072341211705, 109.99942773416693, 0.1719608650213729, 0.8450298037495694, 100.00848495502605, 0.2641867671138544, 0.716411933344426, 87.97278675821217, 0.3270014579105028, 0.7022563574372037, 86.00526684829816, 0.3576096321040613, 0.6685349348253722, 84.05390745631483, 0.448815847435506, 0.5193739475265824, 79.99582471949833, 0.6678189959385828, 0.3146808957246195, 76.01141293928634, 0.8723525580350703, 0.118925789202032, 886.3820743652051, 910.0052894778674, 922.5375264114235, 926.4689402888436, 935.5748733251787, 952.8319993188597, 975.7229575870133]|1707.1855971719874105|      0.12500000|[185, 60, 5, 20]                                                           |  | used linear model with 49 points | iterate failure | actual_k=4
       6|[120.00612597860133, -0.0221186293363782, 0.8670541315074555, 110.01635342467883, 0.1067293395106312, 0.8225461846178734, 100.01626634543847, 0.2907213618281849, 0.7031826801610676, 87.97792807264561, 0.3304168543420994, 0.703332047280545, 86.0238256172181, 0.3709755109351158, 0.6813574270321564, 84.0646279365212, 0.454375219181528, 0.5236010766653599, 79.98965818419218, 0.6677783812223154, 0.3107607129690455, 76.04249930286898, 0.8351698032517031, 0.1038123750457571, 886.3825954259501, 909.9933710314053, 922.4929754311315, 926.4523580860154, 935.5724904792179, 952.8514808536411, 975.6796293041026]|1050.3152376041559819|      0.25000000|[222, 72, 6, 24]                                                           |  | used linear model with 49 points | iterate success | actual_k=4
       7|[120.00612597860133, -0.0221186293363782, 0.8670541315074555, 110.01635342467883, 0.1067293395106312, 0.8225461846178734, 100.01626634543847, 0.2907213618281849, 0.7031826801610676, 87.97792807264561, 0.3304168543420994, 0.703332047280545, 86.0238256172181, 0.3709755109351158, 0.6813574270321564, 84.0646279365212, 0.454375219181528, 0.5236010766653599, 79.98965818419218, 0.6677783812223154, 0.3107607129690455, 76.04249930286898, 0.8351698032517031, 0.1038123750457571, 886.3825954259501, 909.9933710314053, 922.4929754311315, 926.4523580860154, 935.5724904792179, 952.8514808536411, 975.6796293041026]|1050.3152376041559819|      0.12500000|[259, 84, 7, 28]                                                           |  | used linear model with 49 points | iterate failure | actual_k=4
       8|[120.01780399532419, -0.0328993989921926, 0.8563781974254354, 110.04446380787064, 0.1119481208037885, 0.8406810727067142, 100.04201225493976, 0.2252023495053547, 0.691284660856694, 87.97419429572048, 0.3819593590714399, 0.7177114029576909, 86.05307050335533, 0.3740055296652453, 0.6745221301720103, 84.04789863681823, 0.4548708652007536, 0.5326166001314694, 80.00504374301893, 0.6925386297119411, 0.313181280943447, 76.03812110552113, 0.8261351505715155, 0.1399451137981791, 886.4014623898406, 910.0022914080603, 922.4949864655205, 926.4728715694487, 935.5944782354912, 952.8639524611389, 975.6464077900746]|800.0914204840023558|      0.25000000|[296, 96, 8, 32]                                                           |  | used linear model with 49 points | iterate success | actual_k=4
       9|[120.01780399532419, -0.0328993989921926, 0.8563781974254354, 110.04446380787064, 0.1119481208037885, 0.8406810727067142, 100.04201225493976, 0.2252023495053547, 0.691284660856694, 87.97419429572048, 0.3819593590714399, 0.7177114029576909, 86.05307050335533, 0.3740055296652453, 0.6745221301720103, 84.04789863681823, 0.4548708652007536, 0.5326166001314694, 80.00504374301893, 0.6925386297119411, 0.313181280943447, 76.03812110552113, 0.8261351505715155, 0.1399451137981791, 886.4014623898406, 910.0022914080603, 922.4949864655205, 926.4728715694487, 935.5944782354912, 952.8639524611389, 975.6464077900746]|800.0914204840023558|      0.12500000|[333, 108, 9, 36]                                                          |  | used linear model with 49 points | iterate failure | actual_k=4
      10|[120.01780399532419, -0.0328993989921926, 0.8563781974254354, 110.04446380787064, 0.1119481208037885, 0.8406810727067142, 100.04201225493976, 0.2252023495053547, 0.691284660856694, 87.97419429572048, 0.3819593590714399, 0.7177114029576909, 86.05307050335533, 0.3740055296652453, 0.6745221301720103, 84.04789863681823, 0.4548708652007536, 0.5326166001314694, 80.00504374301893, 0.6925386297119411, 0.313181280943447, 76.03812110552113, 0.8261351505715155, 0.1399451137981791, 886.4014623898406, 910.0022914080603, 922.4949864655205, 926.4728715694487, 935.5944782354912, 952.8639524611389, 975.6464077900746]|800.0914204840023558|      0.06250000|[370, 120, 10, 40]                                                         |  | used linear model with 49 points | iterate failure | actual_k=4
      11|[120.01967539708401, -0.0054704889014601, 0.8779769847028702, 110.04526027610103, 0.0741842150908256, 0.8272881263493767, 100.0483206711506, 0.2428323231951835, 0.6982794104149782, 87.97246278999872, 0.3827618621399105, 0.7080800674004764, 86.04657908844364, 0.3740107847512558, 0.6755014755722927, 84.05513138832957, 0.4596735240235945, 0.5310150162038733, 80.00399989992101, 0.678617482505971, 0.3154472117500092, 76.03962865951725, 0.8277702648315776, 0.1458717003833003, 886.4082637935844, 909.9944922242438, 922.4921068079151, 926.4743025077664, 935.5944206822264, 952.8672918648298, 975.6368099527976]|606.9515673584279511|      0.12500000|[407, 132, 11, 44]                                                         |  | used linear model with 49 points | iterate success | actual_k=4
