k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.50000000|[49, 16, 1, 2]                                                             |  | used linear model with 65 points | iterate failure | actual_k=16
       2|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.25000000|[98, 32, 2, 4]                                                             |  | used linear model with 65 points | iterate failure | actual_k=16
       3|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.12500000|[147, 48, 3, 6]                                                            |  | used linear model with 65 points | iterate failure | actual_k=16
       4|[119.99613739684612, -0.0186655825643471, 0.8708374967600463, 110.0122541149316, 0.1948643727115154, 0.8220548172843808, 99.98946838016057, 0.2863865296544739, 0.718737756152446, 88.00410706176348, 0.3281381149714119, 0.6942311014456336, 86.0085089038489, 0.3568012609756449, 0.6436824383400651, 84.00727217358029, 0.4870556271857412, 0.5370017650090054, 79.99345814775032, 0.6602574670197732, 0.333798567720061, 75.99931172728817, 0.8747279012381614, 0.1194158612093126, 886.3716286509007, 910.0014832715405, 922.5091765447701, 926.4541962502163, 935.558538198287, 952.835653028398, 975.7375659249248]|2308.2324814145576966|      0.25000000|[196, 64, 4, 8]                                                            |  | used linear model with 65 points | iterate success | actual_k=16
       5|[119.99613739684612, -0.0186655825643471, 0.8708374967600463, 110.0122541149316, 0.1948643727115154, 0.8220548172843808, 99.98946838016057, 0.2863865296544739, 0.718737756152446, 88.00410706176348, 0.3281381149714119, 0.6942311014456336, 86.0085089038489, 0.3568012609756449, 0.6436824383400651, 84.00727217358029, 0.4870556271857412, 0.5370017650090054, 79.99345814775032, 0.6602574670197732, 0.333798567720061, 75.99931172728817, 0.8747279012381614, 0.1194158612093126, 886.3716286509007, 910.0014832715405, 922.5091765447701, 926.4541962502163, 935.558538198287, 952.835653028398, 975.7375659249248]|2308.2324814145576966|      0.12500000|[245, 80, 5, 10]                                                           |  | used linear model with 65 points | iterate failure | actual_k=16
       6|[119.99613739684612, -0.0186655825643471, 0.8708374967600463, 110.0122541149316, 0.1948643727115154, 0.8220548172843808, 99.98946838016057, 0.2863865296544739, 0.718737756152446, 88.00410706176348, 0.3281381149714119, 0.6942311014456336, 86.0085089038489, 0.3568012609756449, 0.6436824383400651, 84.00727217358029, 0.4870556271857412, 0.5370017650090054, 79.99345814775032, 0.6602574670197732, 0.333798567720061, 75.99931172728817, 0.8747279012381614, 0.1194158612093126, 886.3716286509007, 910.0014832715405, 922.5091765447701, 926.4541962502163, 935.558538198287, 952.835653028398, 975.7375659249248]|2308.2324814145576966|      0.06250000|[294, 96, 6, 12]                                                           |  | used linear model with 65 points | iterate failure | actual_k=16
       7|[119.99511051146511, 0.0121634130795744, 0.8714981414777629, 110.01663891204213, 0.1582706210878816, 0.8031635768743803, 99.99223679673153, 0.290665153603715, 0.7199676305513134, 87.99448170316536, 0.3288324689031188, 0.7009613632367907, 86.00529406468365, 0.3553816139458473, 0.6544067211216217, 84.0096883079664, 0.4883671077961333, 0.5237235127604147, 80.0031638851413, 0.6640111522302652, 0.3261854968752791, 76.00135045337495, 0.8749442105418902, 0.1353442050725885, 886.3663554912998, 909.9970768643161, 922.5229921317491, 926.4624314038641, 935.5624219470519, 952.8382847575933, 975.7407120467069]|1443.7354497830463060|      0.12500000|[343, 112, 7, 14]                                                          |  | used linear model with 65 points | iterate success | actual_k=16
       8|[119.99398578056375, -0.0401181696044891, 0.834249027141128, 110.00160306487648, 0.1252715302510831, 0.7865902040598044, 99.99517157036472, 0.2398615006556741, 0.6917978421454162, 88.01019503115398, 0.3950850568150456, 0.7239999809881358, 85.99200183628687, 0.3755014856677409, 0.6630866975824257, 84.01765212008708, 0.4743992309567772, 0.5218476087373327, 80.00747899078621, 0.6628391455812728, 0.3304144386971071, 76.00312889855844, 0.8695331118575022, 0.1453813693924493, 886.3699820546997, 909.9984359506108, 922.5171300905213, 926.4568187937459, 935.5732216285036, 952.830076071028, 975.7378649701891]|733.8526838213123256|      0.25000000|[392, 128, 8, 16]                                                          |  | used linear model with 65 points | iterate success | actual_k=16
       9|[119.99398578056375, -0.0401181696044891, 0.834249027141128, 110.00160306487648, 0.1252715302510831, 0.7865902040598044, 99.99517157036472, 0.2398615006556741, 0.6917978421454162, 88.01019503115398, 0.3950850568150456, 0.7239999809881358, 85.99200183628687, 0.3755014856677409, 0.6630866975824257, 84.01765212008708, 0.4743992309567772, 0.5218476087373327, 80.00747899078621, 0.6628391455812728, 0.3304144386971071, 76.00312889855844, 0.8695331118575022, 0.1453813693924493, 886.3699820546997, 909.9984359506108, 922.5171300905213, 926.4568187937459, 935.5732216285036, 952.830076071028, 975.7378649701891]|733.8526838213123256|      0.12500000|[441, 144, 9, 18]                                                          |  | used linear model with 65 points | iterate failure | actual_k=16
      10|[119.99398578056375, -0.0401181696044891, 0.834249027141128, 110.00160306487648, 0.1252715302510831, 0.7865902040598044, 99.99517157036472, 0.2398615006556741, 0.6917978421454162, 88.01019503115398, 0.3950850568150456, 0.7239999809881358, 85.99200183628687, 0.3755014856677409, 0.6630866975824257, 84.01765212008708, 0.4743992309567772, 0.5218476087373327, 80.00747899078621, 0.6628391455812728, 0.3304144386971071, 76.00312889855844, 0.8695331118575022, 0.1453813693924493, 886.3699820546997, 909.9984359506108, 922.5171300905213, 926.4568187937459, 935.5732216285036, 952.830076071028, 975.7378649701891]|733.8526838213123256|      0.06250000|[490, 160, 10, 20]                                                         |  | used linear model with 65 points | iterate failure | actual_k=16
      11|[119.9933317063098, -0.001641076028945, 0.8514396501642467, 109.99460957451274, 0.0900989074493223, 0.773447971070979, 99.9912580441699, 0.2488731242431649, 0.6897259479075142, 88.00734560467981, 0.4017768968193011, 0.7214375562456822, 85.99501931959125, 0.3842805763744313, 0.6628511222918958, 84.01522338019363, 0.4709714185046275, 0.5250605913268712, 80.01260482442878, 0.6669683355403223, 0.327022533306518, 76.00587091109028, 0.8722161955144007, 0.1504984132324174, 886.373080926572, 909.9892809932021, 922.5132882370682, 926.4579363932894, 935.5642121017291, 952.8366702681884, 975.7296932339196]|509.1549018399971942|      0.12500000|[539, 176, 11, 22]                                                         |  | used linear model with 65 points | iterate success | actual_k=16
      12|[119.9933317063098, -0.001641076028945, 0.8514396501642467, 109.99460957451274, 0.0900989074493223, 0.773447971070979, 99.9912580441699, 0.2488731242431649, 0.6897259479075142, 88.00734560467981, 0.4017768968193011, 0.7214375562456822, 85.99501931959125, 0.3842805763744313, 0.6628511222918958, 84.01522338019363, 0.4709714185046275, 0.5250605913268712, 80.01260482442878, 0.6669683355403223, 0.327022533306518, 76.00587091109028, 0.8722161955144007, 0.1504984132324174, 886.373080926572, 909.9892809932021, 922.5132882370682, 926.4579363932894, 935.5642121017291, 952.8366702681884, 975.7296932339196]|509.1549018399971942|      0.06250000|[588, 192, 12, 24]                                                         |  | used linear model with 65 points | iterate failure | actual_k=16
      13|[119.9933317063098, -0.001641076028945, 0.8514396501642467, 109.99460957451274, 0.0900989074493223, 0.773447971070979, 99.9912580441699, 0.2488731242431649, 0.6897259479075142, 88.00734560467981, 0.4017768968193011, 0.7214375562456822, 85.99501931959125, 0.3842805763744313, 0.6628511222918958, 84.01522338019363, 0.4709714185046275, 0.5250605913268712, 80.01260482442878, 0.6669683355403223, 0.327022533306518, 76.00587091109028, 0.8722161955144007, 0.1504984132324174, 886.373080926572, 909.9892809932021, 922.5132882370682, 926.4579363932894, 935.5642121017291, 952.8366702681884, 975.7296932339196]|509.1549018399971942|      0.03125000|[637, 208, 13, 26]                                                         |  | used linear model with 65 points | iterate failure | actual_k=16
