k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]                                                  |  0.7790700756449387|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]                                                  |  0.7790700756449387|      0.50000000|[13, 4, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=4
       2|[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]                                                  |  0.7790700756449387|      0.25000000|[26, 8, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=4
       3|[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]                                                  |  0.7790700756449387|      0.12500000|[39, 12, 3, 6]                                                             |  | used linear model with 17 points | iterate failure | actual_k=4
       4|[1.0158625838480182, 2.0272648117871066, 1.0692093673596834, 0.9312982782459662, 1.0140743961260723, 1.0701573712682306]|  0.5978475981339101|      0.25000000|[52, 16, 4, 8]                                                             |  | used linear model with 17 points | iterate success | actual_k=4
       5|[1.1788665187810083, 1.949372028687373, 1.0976560676580178, 0.7891611289280411, 1.086116893228723, 1.0096583946284186]|  0.4208689028070715|      0.50000000|[65, 20, 5, 10]                                                            |  | used linear model with 17 points | iterate success | actual_k=4
       6|[1.1788665187810083, 1.949372028687373, 1.0976560676580178, 0.7891611289280411, 1.086116893228723, 1.0096583946284186]|  0.4208689028070715|      0.25000000|[78, 24, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       7|[1.1788665187810083, 1.949372028687373, 1.0976560676580178, 0.7891611289280411, 1.086116893228723, 1.0096583946284186]|  0.4208689028070715|      0.12500000|[91, 28, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       8|[1.1788665187810083, 1.949372028687373, 1.0976560676580178, 0.7891611289280411, 1.086116893228723, 1.0096583946284186]|  0.4208689028070715|      0.06250000|[104, 32, 8, 16]                                                           |  | used linear model with 17 points | iterate failure | actual_k=4
       9|[1.2096512372559178, 1.9498182854307429, 1.1302630880533366, 0.7594958084513689, 1.10386715800513, 1.0361164944404346]|  0.3778410450178603|      0.12500000|[117, 36, 9, 18]                                                           |  | used linear model with 17 points | iterate success | actual_k=4
      10|[1.289427073152914, 1.945009254978849, 1.1538178281265687, 0.7341404891089034, 1.190195955222264, 1.0603509741174424]|  0.3258521470859160|      0.25000000|[130, 40, 10, 20]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      11|[1.289427073152914, 1.945009254978849, 1.1538178281265687, 0.7341404891089034, 1.190195955222264, 1.0603509741174424]|  0.3258521470859160|      0.12500000|[143, 44, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      12|[1.3481331147817517, 1.9268762109378783, 1.2105309408415614, 0.6530688732817247, 1.228870195445286, 1.0841230688211125]|  0.3193001126874208|      0.25000000|[156, 48, 12, 24]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      13|[1.3481331147817517, 1.9268762109378783, 1.2105309408415614, 0.6530688732817247, 1.228870195445286, 1.0841230688211125]|  0.3193001126874208|      0.12500000|[169, 52, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      14|[1.4171882948813546, 1.935705899081143, 1.2577303085216158, 0.7037458678995504, 1.296692103443976, 1.0469388058698417]|  0.2959603206022540|      0.25000000|[182, 56, 14, 28]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      15|[1.4171882948813546, 1.935705899081143, 1.2577303085216158, 0.7037458678995504, 1.296692103443976, 1.0469388058698417]|  0.2959603206022540|      0.12500000|[195, 60, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      16|[1.4171882948813546, 1.935705899081143, 1.2577303085216158, 0.7037458678995504, 1.296692103443976, 1.0469388058698417]|  0.2959603206022540|      0.06250000|[208, 64, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      17|[1.4171882948813546, 1.935705899081143, 1.2577303085216158, 0.7037458678995504, 1.296692103443976, 1.0469388058698417]|  0.2959603206022540|      0.03125000|[221, 68, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      18|[1.4171882948813546, 1.935705899081143, 1.2577303085216158, 0.7037458678995504, 1.296692103443976, 1.0469388058698417]|  0.2959603206022540|      0.01562500|[234, 72, 18, 36]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      19|[1.4079010660470144, 1.935636957470538, 1.264152294176295, 0.6984454375472328, 1.2919064555366322, 1.0550409268928322]|  0.2948692242299799|      0.03125000|[247, 76, 19, 38]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      20|[1.4079010660470144, 1.935636957470538, 1.264152294176295, 0.6984454375472328, 1.2919064555366322, 1.0550409268928322]|  0.2948692242299799|      0.01562500|[260, 80, 20, 40]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      21|[1.4079010660470144, 1.935636957470538, 1.264152294176295, 0.6984454375472328, 1.2919064555366322, 1.0550409268928322]|  0.2948692242299799|      0.00781250|[273, 84, 21, 42]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      22|[1.4079010660470144, 1.935636957470538, 1.264152294176295, 0.6984454375472328, 1.2919064555366322, 1.0550409268928322]|  0.2948692242299799|      0.00390625|[286, 88, 22, 44]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      23|[1.409833010249133, 1.9364972677478471, 1.262769964227194, 0.6997574945994636, 1.2942021046173835, 1.053668370012149]|  0.2947016395133875|      0.00781250|[299, 92, 23, 46]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      24|[1.4137800973799062, 1.938749507912817, 1.2620483399077598, 0.703162181808527, 1.2994764043374516, 1.0543408278058517]|  0.2946210210224269|      0.01562500|[312, 96, 24, 48]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      25|[1.4137800973799062, 1.938749507912817, 1.2620483399077598, 0.703162181808527, 1.2994764043374516, 1.0543408278058517]|  0.2946210210224269|      0.00781250|[325, 100, 25, 50]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      26|[1.4119763115095179, 1.9411487476940068, 1.2659886134132041, 0.6994630274266912, 1.299960225262244, 1.0590928358162106]|  0.2944475602959734|      0.01562500|[338, 104, 26, 52]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      27|[1.4119763115095179, 1.9411487476940068, 1.2659886134132041, 0.6994630274266912, 1.299960225262244, 1.0590928358162106]|  0.2944475602959734|      0.00781250|[351, 108, 27, 54]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      28|[1.4147217199713429, 1.9431148129308027, 1.2628917598828737, 0.7025725475088909, 1.3043991329991242, 1.0558264988332977]|  0.2943304544995897|      0.01562500|[364, 112, 28, 56]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      29|[1.4147217199713429, 1.9431148129308027, 1.2628917598828737, 0.7025725475088909, 1.3043991329991242, 1.0558264988332977]|  0.2943304544995897|      0.00781250|[377, 116, 29, 58]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      30|[1.4133624398782954, 1.946628173925106, 1.2673440647130265, 0.6997723373206862, 1.3047105430005004, 1.0601948665850636]|  0.2941917953754336|      0.01562500|[390, 120, 30, 60]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
