k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, 10.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0]                                    |1607.3529257951240652|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.558851878872996, 9.611968363930792, 9.63473612156782, 9.424343363706448, 0.1730853869736993, 0.1227365614227982, 0.2558207601551855, 0.2820539750107046]|1567.3098668918944441|      2.00000000|[9, 0, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=0
       2|[8.974880507894271, 8.410836558296529, 8.627832273700282, 8.536994732476735, 0.4703878467044916, 0.1162697463845356, 0.7160727623547687, 0.6208081534171931]|1463.8949149323086658|      4.00000000|[18, 0, 2, 6]                                                              |  | used linear model with 9 points | iterate success | actual_k=0
       3|[7.171882202828877, 6.948671763591616, 6.600423610725088, 8.166490238874871, 0.8306980292848458, -1.5895715261112677, -0.2963457777155682, 2.137021391610119]|1008.9845690252875556|      8.00000000|[27, 0, 3, 9]                                                              |  | used linear model with 9 points | iterate success | actual_k=0
       4|[5.147844263525542, 0.8371677658159102, 5.670569449986538, 6.971360321709028, 1.0543671696663857, -4.307316471493386, 1.5534074717294755, 5.20330129891524]|476.5805534382613473|     16.00000000|[36, 0, 4, 12]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       5|[-0.0484731513524661, -1.773302945710339, -3.4506527875275763, -1.3305070425309822, 2.285185725110064, 2.214220406830015, -2.728097616044343, 2.4303267660076404]|288.6196588462983073|     32.00000000|[45, 0, 5, 15]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       6|[-0.0484731513524661, -1.773302945710339, -3.4506527875275763, -1.3305070425309822, 2.285185725110064, 2.214220406830015, -2.728097616044343, 2.4303267660076404]|288.6196588462983073|     16.00000000|[54, 0, 6, 18]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       7|[-0.0484731513524661, -1.773302945710339, -3.4506527875275763, -1.3305070425309822, 2.285185725110064, 2.214220406830015, -2.728097616044343, 2.4303267660076404]|288.6196588462983073|      8.00000000|[63, 0, 7, 21]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       8|[0.3438835307075208, -0.4849775579346927, -1.7754811270487847, 1.1446088013748148, 2.3943725457522143, 1.310424931003892, 0.7081357969973552, -3.9428519780415883]|132.9876803937779073|     16.00000000|[72, 0, 8, 24]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       9|[0.3438835307075208, -0.4849775579346927, -1.7754811270487847, 1.1446088013748148, 2.3943725457522143, 1.310424931003892, 0.7081357969973552, -3.9428519780415883]|132.9876803937779073|      8.00000000|[81, 0, 9, 27]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
      10|[-1.7140734246869511, 2.7017615010538236, 1.1235583997259206, -0.1693771968455149, -1.6608178160967006, -0.977532539555467, 4.845081814381258, -3.1152788092703565]| 59.1748530856635568|     16.00000000|[90, 0, 10, 30]                                                            |  | used linear model with 9 points | iterate success | actual_k=0
      11|[-1.7140734246869511, 2.7017615010538236, 1.1235583997259206, -0.1693771968455149, -1.6608178160967006, -0.977532539555467, 4.845081814381258, -3.1152788092703565]| 59.1748530856635568|      8.00000000|[99, 0, 11, 33]                                                            |  | used linear model with 9 points | iterate failure | actual_k=0
