k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[11.0, 3.0, 0.5, 40.0, -0.7, -1.3, 25.0, -0.3, 1.4]                             |1153.9439484858455671|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.541806440038362, 3.1105009141522264, 0.3527199732275064, 39.977233158106316, -0.4221651202158369, -1.0726291995033774, 25.58734108249536, -0.3592100701202342, 0.8724837507036731]|936.5604174076787558|      2.00000000|[13, 4, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=4
       2|[10.541806440038362, 3.1105009141522264, 0.3527199732275064, 39.977233158106316, -0.4221651202158369, -1.0726291995033774, 25.58734108249536, -0.3592100701202342, 0.8724837507036731]|936.5604174076787558|      1.00000000|[26, 8, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=4
       3|[10.541806440038362, 3.1105009141522264, 0.3527199732275064, 39.977233158106316, -0.4221651202158369, -1.0726291995033774, 25.58734108249536, -0.3592100701202342, 0.8724837507036731]|936.5604174076787558|      0.50000000|[39, 12, 3, 6]                                                             |  | used linear model with 17 points | iterate failure | actual_k=4
       4|[10.729318705295322, 3.0384616930794124, 0.5514754733620674, 40.04187852979092, -0.3569867723587361, -1.2824770700720822, 25.895204146929387, -0.5080711358625906, 0.8452239094865047]|878.9965091359107419|      1.00000000|[52, 16, 4, 8]                                                             |  | used linear model with 17 points | iterate success | actual_k=4
       5|[10.729318705295322, 3.0384616930794124, 0.5514754733620674, 40.04187852979092, -0.3569867723587361, -1.2824770700720822, 25.895204146929387, -0.5080711358625906, 0.8452239094865047]|878.9965091359107419|      0.50000000|[65, 20, 5, 10]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       6|[10.729318705295322, 3.0384616930794124, 0.5514754733620674, 40.04187852979092, -0.3569867723587361, -1.2824770700720822, 25.895204146929387, -0.5080711358625906, 0.8452239094865047]|878.9965091359107419|      0.25000000|[78, 24, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       7|[10.625711222565382, 3.1822651343645987, 0.5445134057502249, 40.11801175533429, -0.3652921020055326, -1.2570057456267918, 25.89707036673035, -0.6611197453268658, 0.8121150756954889]|872.6262608225799795|      0.50000000|[91, 28, 7, 14]                                                            |  | used linear model with 17 points | iterate success | actual_k=4
       8|[10.625711222565382, 3.1822651343645987, 0.5445134057502249, 40.11801175533429, -0.3652921020055326, -1.2570057456267918, 25.89707036673035, -0.6611197453268658, 0.8121150756954889]|872.6262608225799795|      0.25000000|[104, 32, 8, 16]                                                           |  | used linear model with 17 points | iterate failure | actual_k=4
       9|[10.699392159357739, 3.1336428668043053, 0.5341951911957167, 40.162961821300634, -0.4755705977945422, -1.1729520563607538, 25.90128615068458, -0.7695908385346545, 0.9589820238491291]|869.1722286591399325|      0.50000000|[117, 36, 9, 18]                                                           |  | used linear model with 17 points | iterate success | actual_k=4
      10|[10.699392159357739, 3.1336428668043053, 0.5341951911957167, 40.162961821300634, -0.4755705977945422, -1.1729520563607538, 25.90128615068458, -0.7695908385346545, 0.9589820238491291]|869.1722286591399325|      0.25000000|[130, 40, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      11|[10.654121343680464, 3.140376603903875, 0.6345972027105562, 40.308205784952484, -0.4822905806391224, -1.2786114845353715, 26.011299206046328, -0.8128751354911673, 0.8953945919588883]|861.1146087103121545|      0.50000000|[143, 44, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      12|[10.654121343680464, 3.140376603903875, 0.6345972027105562, 40.308205784952484, -0.4822905806391224, -1.2786114845353715, 26.011299206046328, -0.8128751354911673, 0.8953945919588883]|861.1146087103121545|      0.25000000|[156, 48, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      13|[10.612858143638334, 3.0853884939290444, 0.5931540098015478, 40.28355036401076, -0.6166677269587848, -1.2242208142466955, 26.150880872206788, -0.7324474352975106, 0.9874869863752214]|857.1991123956679530|      0.50000000|[169, 52, 13, 26]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      14|[10.612858143638334, 3.0853884939290444, 0.5931540098015478, 40.28355036401076, -0.6166677269587848, -1.2242208142466955, 26.150880872206788, -0.7324474352975106, 0.9874869863752214]|857.1991123956679530|      0.25000000|[182, 56, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      15|[10.612858143638334, 3.0853884939290444, 0.5931540098015478, 40.28355036401076, -0.6166677269587848, -1.2242208142466955, 26.150880872206788, -0.7324474352975106, 0.9874869863752214]|857.1991123956679530|      0.12500000|[195, 60, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      16|[10.669304263711362, 3.0774005711833285, 0.5637551595234629, 40.314227793514256, -0.6227695241818612, -1.261208866197072, 26.119268793428834, -0.7014351835627247, 1.0723586562158323]|852.7832171594188821|      0.25000000|[208, 64, 16, 32]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      17|[10.669304263711362, 3.0774005711833285, 0.5637551595234629, 40.314227793514256, -0.6227695241818612, -1.261208866197072, 26.119268793428834, -0.7014351835627247, 1.0723586562158323]|852.7832171594188821|      0.12500000|[221, 68, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      18|[10.63836959975425, 3.0759470216091835, 0.5314867950464549, 40.29289249074751, -0.6568315906517539, -1.3123662431936696, 26.163552976607825, -0.6222113729976798, 1.1063393659741418]|850.9068656589079183|      0.25000000|[234, 72, 18, 36]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      19|[10.63836959975425, 3.0759470216091835, 0.5314867950464549, 40.29289249074751, -0.6568315906517539, -1.3123662431936696, 26.163552976607825, -0.6222113729976798, 1.1063393659741418]|850.9068656589079183|      0.12500000|[247, 76, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      20|[10.617332064008579, 3.094876887710001, 0.5523036990188371, 40.37527957511087, -0.6340063687807322, -1.292393364153425, 26.220984526355576, -0.6430485726333979, 1.1606590553377545]|847.1596932721654412|      0.25000000|[260, 80, 20, 40]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      21|[10.617332064008579, 3.094876887710001, 0.5523036990188371, 40.37527957511087, -0.6340063687807322, -1.292393364153425, 26.220984526355576, -0.6430485726333979, 1.1606590553377545]|847.1596932721654412|      0.12500000|[273, 84, 21, 42]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      22|[10.613189485348725, 3.0667970364771455, 0.5864240549240904, 40.40035803225411, -0.6852607436504683, -1.3656915090355692, 26.240837371671496, -0.5792627682510633, 1.1844043707222873]|845.7623175379183067|      0.25000000|[286, 88, 22, 44]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      23|[10.613189485348725, 3.0667970364771455, 0.5864240549240904, 40.40035803225411, -0.6852607436504683, -1.3656915090355692, 26.240837371671496, -0.5792627682510633, 1.1844043707222873]|845.7623175379183067|      0.12500000|[299, 92, 23, 46]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      24|[10.613189485348725, 3.0667970364771455, 0.5864240549240904, 40.40035803225411, -0.6852607436504683, -1.3656915090355692, 26.240837371671496, -0.5792627682510633, 1.1844043707222873]|845.7623175379183067|      0.06250000|[312, 96, 24, 48]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      25|[10.630867682843553, 3.047410253085498, 0.5525223176800076, 40.42711849908112, -0.6703961125660198, -1.367389137616476, 26.26707697517186, -0.5754611513083144, 1.2050350591931454]|843.9008232166281687|      0.12500000|[325, 100, 25, 50]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      26|[10.630867682843553, 3.047410253085498, 0.5525223176800076, 40.42711849908112, -0.6703961125660198, -1.367389137616476, 26.26707697517186, -0.5754611513083144, 1.2050350591931454]|843.9008232166281687|      0.06250000|[338, 104, 26, 52]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      27|[10.636360614168074, 3.0664480791415003, 0.5287435510321398, 40.46077342448224, -0.6783226084973232, -1.3515899288629987, 26.29128229939209, -0.5592399892581293, 1.2306101835061747]|842.4032717657090643|      0.12500000|[351, 108, 27, 54]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      28|[10.636360614168074, 3.0664480791415003, 0.5287435510321398, 40.46077342448224, -0.6783226084973232, -1.3515899288629987, 26.29128229939209, -0.5592399892581293, 1.2306101835061747]|842.4032717657090643|      0.06250000|[364, 112, 28, 56]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      29|[10.619169602119262, 3.0600456183077562, 0.5250025851616558, 40.487472699685256, -0.6705086689675656, -1.3685112731258098, 26.296247264698188, -0.5767601559724354, 1.2771277588210639]|841.6602257742929396|      0.12500000|[377, 116, 29, 58]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
